,opera_id,dcTitle_opera,autori
799,70112,Un sourire,"Messiaen, Olivier: compositore"
800,70113,"L'Icône paradoxale, 2voci femm,orch","Grisey, Gérard: compositore"
801,70114,Gran Septuor avec clarinette concertante,"Petrassi, Goffredo: compositore"
802,70115,"L'orologio di Acervia, 13strumenti","Clementi, Aldo: compositore"
803,70116,"Rien de plus, sp,10str","Gentilucci, Armando: compositore"
804,70117,"Sequenza III, voce femm","Berio, Luciano: compositore"
805,70118,"Ikhoor, vl,vla,vlc","Xenakis, Iannis: compositore"
806,70119,"Orpheus, orch, R 415","Liszt, Franz: compositore"
807,70120,"Faust-Symphonie, orch, R 425","Liszt, Franz: compositore, Goethe, Johann Wolfgang : von: testo di"
808,70121,"Quattro pezzi romantici , vl,pf, op. 75, B 150","Dvorák, Antonín: compositore"
809,70122,"Sarà dolce tacere, 8voci","Nono, Luigi: compositore, Pavese, Cesare: testo di"
810,70123,"Sonata, vlc,pf n. 1, Re min., L 144","Debussy, Claude: compositore"
811,70124,"Sonata, vlc,pf, op. 6, Fa","Strauss, Richard: compositore"
812,70125,"Sonata, vlc n. 8","Kodály, Zoltán: compositore"
813,70126,Autoritratto nella notte,"Sciarrino, Salvatore: compositore"
814,70127,"Quartetto, archi","Rota, Nino: compositore"
815,70128,"Schuberts Winterreise, tn,orch","Müller, Wilhelm: testo di, Zender, Hans: compositore"
816,70129,Atmosphères,"Ligeti, György: compositore"
817,70130,"Nuper rosarum flores, 4voci","Dufay, Guillaume: compositore"
818,70131,"À un moment de terre perdue, cc","Furrer, Beat: compositore"
819,70132,"Trois chansons de Charles d'Orléans, coro a cappella","Debussy, Claude: compositore"
820,70133,"""... Zwei gefühle ..."". Musik mit Leonardo","Lachenmann, Helmut Friedrich: compositore"
821,70134,"Trois Chansons, coro","Ravel, Maurice: compositore"
822,70135,"Six Morceaux, pf, op. 51","Čajkovskij, Pëtr Il'ič: compositore"
823,70136,"Cinq Rechants, 3sp,3ct,3tn,3bs","Messiaen, Olivier: compositore"
824,70137,"Valse-scherzo, vl,orch, op. 34, Do","Čajkovskij, Pëtr Il'ič: compositore"
825,70138,"Tres sacrae cantiones, 6-7 voci","Gesualdo da Venosa, Carlo: compositore"
826,70139,"Souvenir de Florence, archi, op. 70, Re","Čajkovskij, Pëtr Il'ič: compositore"
827,70140,"Cries of London, 6voc","Berio, Luciano: compositore"
828,70141,"Haîkaî, pf,8vl,13fiati,xilofono,marimba,4percuss","Messiaen, Olivier: compositore"
829,70142,"Le Temps et l'écume, 4percuss,2sintetizzatori,cc","Grisey, Gérard: compositore"
830,70143,"Le Sacre du printemps, orch","Stravinskij, Igor': compositore"
831,70144,Viderunt omnes,Perotinus: compositore
832,70146,"Heilinger Denkgesang... nach L. van Beethoven, 12voci","Beethoven, Ludwig van: autore delle musiche, Hidalgo, Manuel: compositore"
833,70147,"Sonata, vlc,pf","Carter, Elliott Cook: compositore"
834,70148,"Estremità, vlc,live elettr","Gatti, Antonio: compositore"
835,70149,"Oiseaux exotiques, pf,11fiati,xilofono,glockenspiel,2percuss","Messiaen, Olivier: compositore"
836,70150,Voci,"Francesconi, Luca: compositore"
837,70151,"Histoires naturelles, voce,pf, trascrizione per ms,13strumenti","Ravel, Maurice: compositore"
838,70152,Testo a fronte,"Tadini, Michele: compositore"
839,70153,Natura morta con fiamme,"Romitelli, Fausto: compositore"
840,70154,Una... voce... chiama,"Manzoni, Giacomo: compositore"
841,70155,"Les Anges, voce,pf","Satie, Erik: compositore"
842,70156,"Élégie, voce,pf, trascrizione per ms,ensemble","Satie, Erik: compositore"
843,70157,"Sylvie, voce,pf, trascrizione per ms,ensemble","Satie, Erik: compositore"
844,70158,"Trois Mélodies, voce,pf","Satie, Erik: compositore"
845,70159,"Tendrement, voce,pf, trascrizione per ms,ensemble","Satie, Erik: compositore"
846,70160,"Stèle, 2percuss","Grisey, Gérard: compositore"
847,70161,"Quintetto, 2vl,vla,vlc,pf","Schnittke, Alfred: compositore"
848,70162,"Concerto, pf,orch","Schnittke, Alfred: compositore"
849,70163,Reigen selinger geister,"Lachenmann, Helmut Friedrich: compositore"
850,70164,"Wiegenmusik, pf","Lachenmann, Helmut Friedrich: compositore"
851,70165,Permanenza per orchestra micropolifonica ripartita nello spazio,"Fómina, Silvia: compositore"
852,70166,"Quintetto, Re min., Collage","Calandrelli, Jorge: compositore"
853,70167,"Kammersymphonie, op. 9, Mi","Schönberg, Arnold: compositore"
854,70168,"Quintetto, cl,2vl,vla,vlc, op. 115, Si min., trascrizione per vla,orch","Brahms, Johannes: compositore"
855,70169,"Deux Nocturnes, pf, op. 55","Chopin, Fryderyk: compositore"
856,70170,"Deux Valses, pf, op. 69","Chopin, Fryderyk: compositore"
857,70171,"Trois Valses brillantes, pf, op. 34","Chopin, Fryderyk: compositore"
858,70172,"Catalogue d'oiseaux, pf","Messiaen, Olivier: compositore"
859,70173,"Quatre Études de rythme, pf","Messiaen, Olivier: compositore"
860,70174,"Douze Études: I libro: Pour les cinq doigts, pf n. 1","Debussy, Claude: compositore"
861,70175,"Études pour piano, pf, Libro III","Ligeti, György: compositore"
862,70176,"Études pour piano, pf, Libro II","Ligeti, György: compositore"
863,70177,"Triplo concerto, pf,vl,vlc, op. 56, Do","Beethoven, Ludwig van: compositore"
864,70178,"Metamorphosen, 10vl,5vla,5vlc,3cb","Strauss, Richard: compositore"
865,70179,"Sinfonia n. 2, op. 36, Re","Beethoven, Ludwig van: compositore"
866,70180,"Concerto, pf,orch n. 17, Sol, K 453, 2. Ployer-Konzert","Mozart, Wolfgang Amadeus: compositore"
867,70181,Cantando sotto la pioggia,"Green, Adolph: librettista, Comden, Betty: librettista, Hayton, Lennie: compositore"
868,70183,Thayambaka,AA. VV.: compositore
869,70184,Primal light,"Mahler, Gustav: autore delle musiche, Caine, Uri: compositore"
870,70185,"Pêle mêle, cl,chit,vla,vlc,org elettr,elettronica","Blondeau, Thierry: compositore"
871,70186,"In advance of the broken time, fl,cl,vl,vla,vlc,pf","Dalbavie, Marc-André: compositore"
872,70187,"Orée-Oraison Hors-Raison, 2vl,vla,2vlc","Dessy, Jean-Paul: compositore"
873,70188,"La pluma de hu, fl,cl,tast,2vl,vla,vlc","López López, José Manuel: compositore"
874,70189,"Blood on the floor, painting 1986, fl,cl,tast,2vl,chit elettr,vla,vlc,elettronica","Romitelli, Fausto: compositore"
875,70190,Sesto libro di madrigali a 5 voci,"Gesualdo da Venosa, Carlo: compositore"
876,70191,Quinto libro dei madrigali a 5 voci,"Gesualdo da Venosa, Carlo: compositore"
877,70192,"Donde estas hermano?, coro","Nono, Luigi: compositore"
878,70193,L'alibi della parola,"Sciarrino, Salvatore: compositore"
879,70194,"Tre canti senza pietre, 7voci","Sciarrino, Salvatore: compositore"
880,70195,Die Lustige Witwe / La vedova allegra,"Meilhac, Henri: testo di, Lehár, Franz: compositore, Léon, Viktor: librettista, Stein, Leo: librettista"
881,70196,Moondata,"Garuti, Mario: compositore, Carrara, Stefano: compositore, Lazzaroni, Armando: video immagini di"
882,70200,"Two Études Australes, pf","Cage, John: compositore"
883,70201,"Tierkreis: Löwe, Zwillinge, Fische","Stockhausen, Karlheinz: compositore"
884,70202,Anything,"Zappa, Frank: compositore"
885,70203,How could I be such a fool,"Zappa, Frank: compositore"
886,70204,Let's make the water turn black,"Zappa, Frank: compositore"
887,70205,Outside now,"Zappa, Frank: compositore"
888,70206,Pygmy twylyte,"Zappa, Frank: compositore"
889,70207,You are what you is,"Zappa, Frank: compositore"
890,70208,La sfinge della casa,"Casadei, Giorgio: compositore"
891,70209,Nebula,"Casadei, Giorgio: compositore"
892,70210,The Simpson,"Elfman, Danny: compositore"
893,70211,Sleep Dirt,"Zappa, Frank: compositore"
894,70212,Burnt weeny sandwich,"Zappa, Frank: compositore"
895,70213,Ship arriving too late to save a drowning witch,"Zappa, Frank: compositore"
896,70214,Weasels ripped my flesh,"Zappa, Frank: compositore"
897,70215,Studio tan,"Zappa, Frank: compositore"
898,70216,Zappa in New York,"Zappa, Frank: compositore"
899,70217,Mystery disc - Box one,"Zappa, Frank: compositore"
900,70218,Zoot allures,"Zappa, Frank: compositore"
901,70219,Joe's garage act II,"Zappa, Frank: compositore"
902,70220,"String Quartet, archi n. 4","Carter, Elliott Cook: compositore"
903,70221,"III Quartetto, archi, op. 22","Hindemith, Paul: compositore"
904,70222,"Quartetto, archi n. 1, Sonata a Kreutzer","Janácek, Leós: compositore"
905,70223,"Quartetto, archi n. 7","Sciarrino, Salvatore: compositore"
906,70224,"Fünf Sätze fur Streichquartette, 2vl,vla,vlc, op. 5","Webern, Anton: compositore"
907,70225,"Sechs Bagatellen, 2vl,vla,vlc, op. 9","Webern, Anton: compositore"
908,70226,"Quartetto, archi, Re, KV 499, Hoffmeister","Mozart, Wolfgang Amadeus: compositore"
909,70227,"Quartetto, archi, Fa, KV 590","Mozart, Wolfgang Amadeus: compositore"
910,70228,"Quartetto, archi, op. 10, Sol min.","Debussy, Claude: compositore"
911,70229,"Quartetto, archi n. 2, op. 10","Kodály, Zoltán: compositore"
912,70230,"Quartetto, archi n. 1","Lutoslawski, Witold: compositore"
913,70231,"Quartetto, archi, Sib, KV 589","Mozart, Wolfgang Amadeus: compositore"
914,70232,"Quartetto, archi, op. post. 161, Sol, D 887","Schubert, Franz: compositore"
915,70233,"Quartetto, archi n. 1, op. 29, La min., D 804, Rosamunda","Schubert, Franz: compositore"
916,70234,Sette spose per sette fratelli,"Kasha, Lawrence: librettista, Landay, David: librettista, Mercer, Johnny: compositore, De Paul, Gene: compositore"
917,70235,"Die Kunst der Fuge / L'arte della fuga, BWV 1080","Bach, Johann Sebastian: compositore"
918,70236,"Sinfonia n. 4, op. 98, Mi min.","Brahms, Johannes: compositore"
919,70237,"Ungarische Tänze, pf 4mani, trascrizione per orch","Brahms, Johannes: compositore"
920,70238,"Berlin im Licht Song, vr,orch","Weill, Kurt: compositore"
921,70239,"Concerto, vl,fiati, op. 12","Weill, Kurt: compositore"
922,70240,Marie Galante,"Weill, Kurt: compositore"
923,70241,"Vom Tod im Wald, bs,10fiati, op. 23","Weill, Kurt: compositore"
924,70242,"Öl-Musik, vr,fiati","Weill, Kurt: compositore"
925,70243,"Kleine Dreigroschenmusik, fiati","Weill, Kurt: compositore"
926,70244,"Concerto, vl,orch n. 4, Re min.","Paganini, Niccolò: compositore"
927,70245,"Sinfonia n. 4, op. 90, La, Italienische","Mendelssohn-Bartholdy, Felix: compositore"
928,70246,"An die Sonne: «O Sonne, Königin der Welt»","Schubert, Franz: compositore"
929,70247,"Grande polonaise brillante précédée d'un Andante spianato, 2fl,2ob,2cl,2fag,2cor,trb,timp,archi n. 6, op. 22","Chopin, Fryderyk: compositore"
930,70248,"Scherzo, pf n. 3, op. 39, Do# min.","Chopin, Fryderyk: compositore"
931,70249,"Der fliegende Holländer, WWV 63","Wagner, Richard: compositore"
932,70250,Madama di Tebe,"Lombardo, Carlo: compositore"
933,70251,Ave Maris Stella,"Victoria, Tomás Luis de: compositore"
934,70252,"Vere languores nostros, sp,ct,tn,bs","Victoria, Tomás Luis de: compositore"
935,70253,"O Domine Jesu Christe, sp,2ct,2tn,bs","Victoria, Tomás Luis de: compositore"
936,70254,"O vos omnes, qui transitis per viam, sp,ct,tn,bs","Victoria, Tomás Luis de: compositore"
937,70255,Ave Virgo Sanctissima,"Guerrero, Francisco: compositore"
938,70256,Ave Maria,"Guerrero, Francisco: compositore"
939,70257,"Missa Papae Marcelli, sp,ct,2tn,2bs","Palestrina, Giovanni Pierluigi da: compositore"
940,70258,"Trio, vl,vlc,pf, Sol min.","Smetana, Bedrich: compositore"
941,70259,"Trio, vl,vlc,pf n. 2, op. 67, Mi min.","Šostakovič, Dmitrij: compositore"
942,70260,"Die Feen, WWV 32","Wagner, Richard: compositore, Wagner, Richard: librettista, Gozzi, Carlo: testo di"
943,70261,Péchés de Vieillesse,"Rossini, Gioachino: compositore"
944,70262,Ammore,"Donizetti, Gaetano: compositore"
945,70263,"Soirées d'autumne à l'Infrascata, voce,pf","Donizetti, Gaetano: compositore"
946,70264,"La mort d'Ophélie, sp(o tn),pf, n.2, op. 18","Berlioz, Hector: compositore"
947,70265,"Zaïde, sp,orch n. 1, op. 19","Berlioz, Hector: compositore"
948,70266,Sapho,"Gounod, Charles: compositore, Augier, Émile: librettista"
949,70267,Au printemps,"Gounod, Charles: compositore, Barbier, Jules: librettista"
950,70268,"L'âme des oiseax, melodie: «Le printemps a jeté sa lyre», voce,pf","Massenet, Jules: compositore, Vacarescu, Elena: librettista"
951,70269,Le Cid,"Massenet, Jules: compositore, Gallet, Louis: librettista, Blau, Édouard: librettista, Ennery, Adolphe-Philippe d': librettista"
952,70270,"Trio, vl,vlc,pf, op. 90, Si min., B 166, {Dumky","Dvorák, Antonín: compositore"
953,70271,"Quatuor pour la Fin du Temps, vl,vlc,cl,pf","Messiaen, Olivier: compositore"
954,70272,"Sonata, vl,pf n. 3, Sol min., L 148","Debussy, Claude: compositore"
955,70273,"Tzigane, vl,pf","Ravel, Maurice: compositore"
956,70274,"Duo concertant, vl,pf","Stravinskij, Igor': compositore"
957,70275,"Rapsodia, vl,pf n. 1, BB 94a, SZ 86","Bartók, Béla: compositore"
958,70276,"Rapsodia, vl,pf n. 2","Bartók, Béla: compositore"
959,70277,"Sonata, pf n. 2, op. 37, Sol, Grande Sonate","Čajkovskij, Pëtr Il'ič: compositore"
960,70278,"Scherzo, pf n. 1, op. 20, Si min.","Chopin, Fryderyk: compositore"
961,70279,"Scherzo n. 2, op. 31, Sib min.","Chopin, Fryderyk: compositore"
962,70280,"Scherzo n. 4, op. 54, Mi","Chopin, Fryderyk: compositore"
963,70281,"Concerto, pf,orch n. 20, Re min., K 466","Mozart, Wolfgang Amadeus: compositore"
964,70282,"Messa, coro,sp,ct,tn,bs,2ob,cor ingl,2fag,2tr,3trb","Stravinskij, Igor': compositore"
965,70283,"Musicalische Exequien, op. 7, SWV 279-281","Schütz, Heinrich: compositore"
966,70284,"Sinfonia, Fa, Le Dissonanze","Bach, Wilhelm Friedemann: compositore"
967,70285,"Concerto, vlc,archi, La min., WQ166","Bach, Carl Philipp Emanuel: compositore"
968,70286,"Sinfonia, archi,bc, Do, WQ182/3, di Amburgo","Bach, Carl Philipp Emanuel: compositore"
969,70287,"Concerto, clav,archi,bc, Fa min., BWV 1056","Bach, Johann Sebastian: compositore"
970,70288,Un giorno di regno,"Verdi, Giuseppe: compositore, Romani, Felice: librettista"
971,70289,Die Dreigroschenoper,"Weill, Kurt: compositore, Brecht, Bertolt: librettista"
972,70290,Aufstieg und Fall der Stadt Mahagonny,"Weill, Kurt: compositore, Brecht, Bertolt: librettista"
973,70291,Je ne t'aime pas,"Weill, Kurt: compositore"
974,70292,Knickerbocker Holiday,"Weill, Kurt: compositore"
975,70293,One Touch of Venus,"Weill, Kurt: compositore"
976,70294,Street Scene,"Weill, Kurt: compositore"
977,70295,Der gute Mensch von Sezuan,"Weill, Kurt: compositore"
978,70296,Musiche da ballo,AA. VV.: compositore
979,70297,Les feuilles mortes,"Prévert, Jacques: librettista, Kosma, Joseph: compositore"
980,70298,Les amants d'un jour,"Delécluse, Claude: librettista, Senlis, M.: librettista, Monnot, M.: compositore"
981,70299,Au suivant,"Brel, Jacques: compositore, Brel, Jacques: librettista"
982,70300,Barbara,"Prévert, Jacques: librettista, Kosma, Joseph: compositore"
983,70301,Amsterdam,"Brel, Jacques: compositore, Brel, Jacques: librettista"
984,70302,Les enfants qui s'aiment,"Prévert, Jacques: librettista, Kosma, Joseph: compositore"
985,70303,Pages d'écriture,"Prévert, Jacques: librettista, Kosma, Joseph: compositore"
986,70304,"Non, je ne regrette rien","Vaucaire, Michel: librettista, Dumont, Charles: compositore"
987,70305,Kids can squawl,"Guthrie, Woody: compositore"
988,70306,I want my milk and i want it now,"Guthrie, Woody: compositore"
989,70307,Brani in prosa,"Guthrie, Woody: compositore"
990,70308,Kid,"Guthrie, Woody: compositore"
991,70309,Don't you push me down,"Guthrie, Woody: compositore"
992,70310,I ain't got no home,"Guthrie, Woody: compositore"
993,70311,Deportees,"Guthrie, Woody: compositore"
994,70312,Me and the others,"Guthrie, Woody: compositore"
995,70313,Little boxes,"Reynolds, Malvina: compositore"
996,70314,Only a Hobo,"Dylan, Bob: compositore"
997,70315,I pity the poor immigrant,"Dylan, Bob: compositore"
998,70316,The ghost of Tom Joad,"Springsteen, Bruce: compositore"
999,70317,Stackabones own song,"Guthrie, Woody: compositore"
1000,70318,1913 Massacre,"Guthrie, Woody: compositore"
1001,70319,Song to Woody,"Dylan, Bob: compositore"
1002,70320,Mail myself to you,"Guthrie, Woody: compositore"
1003,70321,"Sechs Kleine Klavierstücke, pf, op. 19","Schönberg, Arnold: compositore"
1004,70322,"3 Mouvements de ""Pétrouchka""","Stravinskij, Igor': compositore"
1005,70323,"Quartetto, archi","Webern, Anton: compositore"
1006,70324,"Quartetto, archi","Gianferrari, Vincenzo: compositore"
1007,70325,"Déploration sur la mort de Johannes Ockeghem, coro","Despres, Josquin: compositore"
1008,70326,"Tenebrae factae sunt, coro","Gesualdo da Venosa, Carlo: compositore"
1009,70327,"Oltre il mare aperto, sp,vlc,fl,trb","Gentilucci, Armando: compositore"
1010,70328,Moby Dick,"Gentilucci, Armando: compositore"
1011,70329,"Quattro mottetti per la Passione, coro","Petrassi, Goffredo: compositore"
1012,70331,"Frauenliebe und Leben, op. 42","Schumann, Robert: compositore"
1013,70332,"Spanisches Liederspiel: In der Nacht n. 4, op. 74","Schumann, Robert: compositore"
1014,70333,"Vier Duette: Tanzlied n. 1, op. 78","Schumann, Robert: compositore"
1015,70334,"Romanzen und Balladen, voce,pf, op. 64","Schumann, Robert: compositore"
1016,70335,"Quintetto, archi,pf, op. 44, Mib","Schumann, Robert: compositore"
1017,70336,Alexandr Nevskij,"Prokof'ev, Sergej: compositore"
1018,70337,"Quartetto, archi n. 3, op. 40","Cambini, Giuseppe: compositore"
1019,70338,"Quartetto, archi, Re","Boccherini, Luigi: compositore"
1020,70339,"Crisantemi, archi","Puccini, Giacomo: compositore"
1021,70340,"Die Schöpfung / La creazione, sp,tn,bs,coro,orch, Hob.XXI:2","Haydn, Franz Joseph: compositore"
1022,70341,"Concerto, pf,orch, Do, K 415","Mozart, Wolfgang Amadeus: compositore"
1023,70342,"Sinfonia, archi n. 9, Do min.","Mendelssohn-Bartholdy, Felix: compositore"
1024,70343,"Concerto n. 4, Re min.","Mudge, Richard: compositore"
1025,70344,"Sonata, vlc,pf, op. 38, Mi min.","Brahms, Johannes: compositore"
1026,70345,"Adagio e Allegro, cor(o vlc),pf, op. 70, La bemolle","Schumann, Robert: compositore"
1027,70346,"Sonata, vlc,pf n. 2, op. 99, Fa","Brahms, Johannes: compositore"
1028,70347,"Fünf Stücke im Volkston, vlc,pf, op. 102","Schumann, Robert: compositore"
1029,70348,"Vanitas, voce,vlc,pf","Sciarrino, Salvatore: compositore"
1030,70349,"Nachtstücke, pf, op. 23","Schumann, Robert: compositore"
1031,70350,"Waldszenen, pf, op. 82","Schumann, Robert: compositore"
1032,70351,"Märchenbilder, vla,pf, op. 113","Schumann, Robert: compositore"
1033,70352,"Phantasiestücke, pf, op. 12","Schumann, Robert: compositore"
1034,70353,"Gesänge der Frühe, pf, op. 133","Schumann, Robert: compositore"
1035,70354,"Davidsbündlertränze, pf, op. 6","Schumann, Robert: compositore"
1036,70355,"Skies of America, complesso jazz, orch","Coleman, Ornette: compositore"
1037,70356,"Ouverture, archi, Do min., D 8","Schubert, Franz: compositore"
1038,70357,"Suite n. 3, op. 55, Sol","Čajkovskij, Pëtr Il'ič: compositore"
1039,70358,"Le Tombeau de Couperin, orch","Ravel, Maurice: compositore"
1040,70359,"Concerto, pf,orch, Sol","Ravel, Maurice: compositore"
1041,70361,"Sinfonia, orch n. 6, La min.","Mahler, Gustav: compositore"
1042,70362,Die Befreiung des Prometheus,"Goebbels, Heiner: compositore, Müller, Heiner: testo di"
1043,70363,L'acqua cheta,"Pietri, Giuseppe: compositore, Novelli, Augusto: librettista"
1044,70364,"Saul, HWV 53","Händel, Georg Friedrich: compositore, Jennens, Charles: librettista"
1045,70365,"Sinfonia, orch n. 35, Re, K 385, Haffner","Mozart, Wolfgang Amadeus: compositore"
1046,70366,"Concerto, pf,orch n. 1, op. 23, Sib min.","Čajkovskij, Pëtr Il'ič: compositore"
1047,70367,Ave Maria,"Bruckner, Anton: compositore"
1048,70368,"Messa, soli,coro,orch n. 3, Fa min., Grosse Messe","Bruckner, Anton: compositore"
1049,70369,"Sinfonia, Re, Hob.I 86","Haydn, Franz Joseph: compositore"
1050,70370,"Sinfonia, orch n. 38, Re, K 504, Praga","Mozart, Wolfgang Amadeus: compositore"
1051,70371,Piano Concerto n. 5,"Finnissy, Michael: compositore"
1052,70372,"Flight, fl","Benjamin, George: compositore"
1053,70373,"Unbrocken Circle, ott,cl basso,vla,vlc,pf","Maxwell Davies, Peter: compositore"
1054,70374,Façade,"Walton, William Turner: compositore, Sitwell, Edith: testi secondari di"
1055,70375,"Il Fiume Giallo, pf,orch","Xinghai, Xian: compositore"
1056,70376,"Concerto, vl,orch n. 1, op. 6, Re","Paganini, Niccolò: compositore"
1057,70377,"Novelletten, op. 21","Schumann, Robert: compositore"
1058,70378,"Humoreske, pf, op. 20, Sib","Schumann, Robert: compositore"
1059,70379,"Fantaisie, pf n. 14, op. 49, Fa min.","Chopin, Fryderyk: compositore"
1060,70380,"Prélude n. 26, op. 45, Do# min.","Chopin, Fryderyk: compositore"
1061,70381,"Prélude à l'aprés-midi d'un faune, riduzione per 2pf","Debussy, Claude: compositore"
1062,70382,"Lindaraja, 2pf","Debussy, Claude: compositore"
1063,70383,"Dolly, pf 4mani, op. 56","Fauré, Gabriel: compositore"
1064,70384,"Rhapsodie espagnole, orch, riduzione per pf 4mani","Ravel, Maurice: compositore"
1065,70385,"La Valse, orch, trascrizione per 2pf","Ravel, Maurice: compositore"
1066,70386,"Sonata, vl,pf n. 10, op. 96, Sol","Beethoven, Ludwig van: compositore"
1067,70387,"Suite Italienne / Suite Italiana, vl,pf","Stravinskij, Igor': compositore"
1068,70388,"Cinque Intermezzi, op. 40","Fuchs, Robert: compositore"
1069,70389,"Zehn Phantasiestücke, op. 74","Fuchs, Robert: compositore"
1070,70390,"Sette Intermezzi, op. 82","Fuchs, Robert: compositore"
1071,70391,"Poème, vl,orch, op. 25, Mib","Chausson, Amédée-Ernest: compositore"
1072,70392,"Tzigane, vl,pf, trascrizione per vl,orch","Ravel, Maurice: compositore"
1073,70393,Daphnis et Chloé: Suite n. 2,"Ravel, Maurice: compositore"
1074,70394,"Miroirs, pf","Ravel, Maurice: compositore"
1075,70395,Alborada del gracioso,"Ravel, Maurice: compositore"
1076,70396,"Suite per archi, Re min.","Purcell, Henry: compositore"
1077,70397,"Serenata notturna, orch, Re, K 239","Mozart, Wolfgang Amadeus: compositore"
1078,70398,"Concerto, fl,orch, Mi min.","Mercadante, Saverio: compositore"
1079,70399,"Sinfonia, archi n. 10, Si min.","Mendelssohn-Bartholdy, Felix: compositore"
1080,70400,"Kettenbrücke-Walzer n. 139, op. 4","Strauss, Johann: compositore"
1081,70401,"Eingesendet n. 93, op. 240","Strauss, Josef: compositore"
1082,70402,"Hofball-Tänze n. 128, op. 51","Strauss, Johann: compositore"
1083,70403,"Pizzicato-Polka, orch n. 364","Strauss, Johann: compositore, Strauss, Josef: compositore"
1084,70404,"Concerto, vlc,archi, Do min., RV401","Vivaldi, Antonio: compositore"
1085,70405,"Quattro sonate, cemb, La, K 323, trascrizione per chit","Scarlatti, Domenico: compositore"
1086,70406,"Quattro sonate, cemb, La, K 209, trascrizione per chit","Scarlatti, Domenico: compositore"
1087,70407,"Sonata III, vl, Do, BWV 1005, trascrizione per chit","Bach, Johann Sebastian: compositore"
1088,70408,"Danza paraguaya, chit","Barrios Mangoré, Augustin: compositore"
1089,70409,"Vals, chit n. 3, op. 8","Barrios Mangoré, Augustin: compositore"
1090,70410,"Romanza in imitación al violoncello, chit","Barrios Mangoré, Augustin: compositore"
1091,70411,"Sueño en la floresta, chit","Barrios Mangoré, Augustin: compositore"
1092,70412,"Sequenza XI, chit","Berio, Luciano: compositore"
1093,70413,"Concerto, vlc,archi, Re","Boccherini, Luigi: compositore"
1094,70414,"Grand solo, chit, op. 14","Sor, Fernando Macari: compositore"
1095,70415,"Spirali, 2vl,vla,vlc","Stroppa, Marco: compositore"
1096,70416,"Concerto, fl,arp,orch, Do, K 299","Mozart, Wolfgang Amadeus: compositore"
1097,70417,Skazka o Tsare Saltane / La fiaba dello zar Saltan,"Bel'skij, Vladimir: librettista, Puškin, Aleksandr Sergeevic: testo di, Rimskij-Korsakov, Nikolaj: compositore"
1098,70418,Il cappello di paglia di Firenze,"Rota, Nino: compositore, Rota, Nino: librettista, Rota, Ernesta: librettista, Labiche, Eugène Marin: testo di, Michel, Marc: testo di"
1099,70419,Barca di Venetia per Padova dentrovi la nuova mescolanza,"Banchieri, Adriano: compositore"
1100,70420,"Madrigali guerrieri et amorosi, Libro VIII","Monteverdi, Claudio: compositore"
1101,70421,"La grande Pasqua russa, op. 36","Rimskij-Korsakov, Nikolaj: compositore"
1102,70422,"Concerto, pf,orch, op. 92, Fa min.","Glazunov, Aleksandr: compositore"
1103,70423,"Canti di nozze, pf 4mani","Balakirev, Milij Alekseevic: compositore"
1104,70424,"Canti sacri, pf 4mani","Balakirev, Milij Alekseevic: compositore"
1105,70425,"Canti epici, pf 4mani","Balakirev, Milij Alekseevic: compositore"
1106,70426,"Sinfonia, Si min., Eroica","Borodin, Aleksandr P.: compositore"
1107,70427,Il catalogo è questo IV,"Bussotti, Sylvano: compositore"
1108,70428,"Suite da 'Romeo e Giulietta' n. 2, op. 64ter","Prokof'ev, Sergej: compositore"
1109,70429,"Suite da 'Romeo e Giulietta' n. 1, op. 64bis","Prokof'ev, Sergej: compositore"
1110,70430,"Suite da 'Romeo e Giulietta' n. 3, op. 101","Prokof'ev, Sergej: compositore"
1111,70431,"Serenata alla spagnola, archi","Borodin, Aleksandr P.: compositore"
1112,70432,"Trio, 2vl,vlc, Sol min.","Borodin, Aleksandr P.: compositore"
1113,70433,"Pelléas et Mélisande, orch, op. 80","Fauré, Gabriel: compositore"
1114,70434,"Requies (frammento), orch","Berio, Luciano: compositore"
1115,70435,"Sechs frühe Lieder, br,orch","Berio, Luciano: compositore"
1116,70436,"Concerto, pf,orch n. 1, op. 11, Mi min.","Chopin, Fryderyk: compositore"
1117,70437,"Sei Momens musicals, op. 94, D 780","Schubert, Franz: compositore"
1118,70438,"Sei Klavierstücke, op. 118","Brahms, Johannes: compositore"
1119,70439,Helikopter Quartet,"Stockhausen, Karlheinz: compositore"
1120,70440,"Sei Sonate, pf, op. 13, Hob.XVI","Haydn, Franz Joseph: compositore"
1121,70441,"Sei Sonate, pf, op. 30, Hob.XVI","Haydn, Franz Joseph: compositore"
1122,70442,"Sonata, pf, Mi min., Hob.XVI 34","Haydn, Franz Joseph: compositore"
1123,70443,"Prélude, choral et fugue, Si min., M.21","Franck, César: compositore"
1124,70444,"Fantasia, pf, Do min., K 475","Mozart, Wolfgang Amadeus: compositore"
1125,70445,"Sonata, pf, Do min., K 457","Mozart, Wolfgang Amadeus: compositore"
1126,70446,"Ah, lo previdi... Ah, t'invola agli occhi miei","Mozart, Wolfgang Amadeus: compositore, Cigna-Santi, Vittorio Amedeo: librettista"
1127,70447,"Berenice, che fai","Haydn, Franz Joseph: compositore, Metastasio, Pietro: librettista"
1128,70448,"Sinfonia n. 5, Sib, D 485","Schubert, Franz: compositore"
1129,70450,Tír na mBan,"Mircovich, Elisabetta de: compositore"
