,opera_id,dcTitle_opera,autori
53,69365,"Ljubov'k trëm apel'sinam / L'amore delle tre melarance, op. 33","Prokof'ev, Sergej: compositore, Prokof'ev, Sergej: librettista, Gozzi, Carlo: testo di"
54,69366,La bohème,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Murger, Henry: autore dell'opera letteraria del libretto"
55,69367,Boléro,"Ravel, Maurice: compositore"
56,69368,"Sinfonia n. 8, Si min., D 759, Die Unvollendete / Incompiuta","Schubert, Franz: compositore"
57,69369,"Talea, fl,cl,vl,vlc,pf","Grisey, Gérard: compositore"
58,69370,La fanciulla del West,"Puccini, Giacomo: compositore, Civinini, Guelfo: librettista, Zangarini, Carlo: librettista, Belasco, David: testo di"
59,69371,Madama Butterfly,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Belasco, David: testo di"
60,69372,"Egmont, sp,orch, op. 84","Beethoven, Ludwig van: compositore"
61,69373,Manon Lescaut,"Leoncavallo, Ruggero: librettista, Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Prévost, Antoine-François: testo di, Oliva, Domenico: librettista, Ricordi, Giulio: librettista"
62,69374,Tosca,"Puccini, Giacomo: compositore, Illica, Luigi: librettista, Giacosa, Giuseppe: librettista, Sardou, Victorien: testo di"
63,69375,Turandot,"Puccini, Giacomo: compositore, Simoni, Renato: librettista, Adami, Giuseppe: librettista, Gozzi, Carlo: testo di"
64,69376,Le Villi,"Puccini, Giacomo: compositore, Fontana, Ferdinando: librettista"
65,69377,Dido and Aeneas,"Purcell, Henry: compositore, Tate, Nahum: librettista"
66,69378,Hippolyte et Aricie,"Rameau, Jean-Philippe: compositore, Pellegrin, Simon-Joseph: librettista"
67,69379,"An der schönen, blauen Donau","Strauss, Johann: compositore"
68,69380,"Die Ebriden, orch, op. 26, Fingalshöhle","Mendelssohn-Bartholdy, Felix: compositore"
69,69381,L'Oiseau de feu,"Stravinskij, Igor': compositore"
70,69382,"Kaiser-Walzer, orch n. 244, op. 437, trascrizione per pf,cl,2vl,vla,vlc","Strauss, Johann: compositore"
71,69383,"Sinfonia, Re, Hob.I 101, Die Uhr/The Clock","Haydn, Franz Joseph: compositore"
72,69384,"Rondò capriccioso, pf, op. 14, Mi","Mendelssohn-Bartholdy, Felix: compositore"
73,69385,"Prélude à l'aprés-midi d'un faune, orch","Debussy, Claude: compositore"
74,69386,"Peer Gynt. Prima Suite, orch, op. 46","Grieg, Edvard: compositore"
75,69387,"Peer Gynt. Seconda Suite , orch, op. 55","Grieg, Edvard: compositore"
76,69388,Armida,"Rossini, Gioachino: compositore, Schmidt, Giovanni: librettista"
77,69389,Il barbiere di Siviglia,"Rossini, Gioachino: compositore, Sterbini, Cesare: librettista"
78,69390,La cambiale di matrimonio,"Rossini, Gioachino: compositore, Rossi, Gaetano: librettista"
79,69391,"Toccata e fuga, org, Re min., BWV 538, {Dorica","Bach, Johann Sebastian: compositore"
80,69392,Ave Maria,"Schubert, Franz: compositore"
81,69393,"Quando Diodoro declinò lo sguardo rivelando l'eccentrico oblìo, fl,cl,pf","Garuti, Mario: compositore"
82,69394,Aida,"Verdi, Giuseppe: compositore, Ghislanzoni, Antonio: librettista, Mariette, Auguste-Ferdinand-François: testo di"
83,69395,"Non t'amo più!, voce,pf","Tosti, Francesco Paolo: compositore, Errico, Carmelo: librettista"
84,69396,Romance op. 26,"Svendsen, Johann Severin: compositore"
85,69397,"Il poveretto, voce,pf","Verdi, Giuseppe: compositore, Maggioni, Manfredo: librettista"
86,69398,"Sinfonia n. 1, op. 21, Do","Beethoven, Ludwig van: compositore"
87,69399,"Sinfonia n. 3, op. 55, Mib, Eroica","Beethoven, Ludwig van: compositore"
88,69400,"Sinfonia n. 5, op. 67, Do min.","Beethoven, Ludwig van: compositore"
89,69401,"Sinfonia n. 6, op. 68, Fa, Pastorale","Beethoven, Ludwig van: compositore"
90,69402,"Sinfonia n. 7, op. 92, La","Beethoven, Ludwig van: compositore"
91,69403,"Sinfonia n. 8, op. 93, Fa, «Sinfonia Linz nel mese di ottobre 1812»","Beethoven, Ludwig van: compositore"
92,69404,"Sinfonia n. 5 (9), op. 95, Mi min., B 178, {Dal nuovo mondo","Dvorák, Antonín: compositore"
93,69405,"Concerto brandeburghese n. 1, Fa, BWV 1046","Bach, Johann Sebastian: compositore"
94,69406,"Concerto brandeburghese n. 2, Fa, BWV 1047","Bach, Johann Sebastian: compositore"
95,69407,"Concerto brandeburghese n. 4, Sol, BWV 1049","Bach, Johann Sebastian: compositore"
96,69408,"Concerto brandeburghese n. 5, Re, BWV 1050","Bach, Johann Sebastian: compositore"
97,69409,"Concerto brandeburghese n. 6, Sib, BWV 1051","Bach, Johann Sebastian: compositore"
98,69410,"Sonata quasi una fantasia, pf n. 2, op. 27, Do# min., Al chiaro di luna","Beethoven, Ludwig van: compositore"
99,69411,"Tragische Ouvertüre, op. 81, in Re min.","Brahms, Johannes: compositore"
100,69412,"Sonata (con il Rondò «Alla turca»), pf, La, K 331","Mozart, Wolfgang Amadeus: compositore"
101,69413,"Gavotta, Re min., K 64","Scarlatti, Domenico: compositore"
102,69414,La Cenerentola ossia la bontà in trionfo,"Rossini, Gioachino: compositore, Ferretti, Jacopo: librettista"
103,69415,La donna del lago,"Rossini, Gioachino: compositore, Tottola, Leone Andrea: librettista"
104,69416,La gazza ladra,"Rossini, Gioachino: compositore, Gherardini, Giovanni: librettista"
105,69417,Guglielmo Tell,"Rossini, Gioachino: compositore, Jouy, Victor-Joseph Étienne de: librettista, Bis, Hippolyte-Louis-Florent: librettista"
106,69418,L'inganno felice,"Rossini, Gioachino: compositore, Foppa, Giuseppe Maria: librettista"
107,69419,L'Italiana in Algeri,"Rossini, Gioachino: compositore, Anelli, Angelo: librettista"
108,69420,"Petite messe solennelle, soli,coro,harm,2pf","Rossini, Gioachino: compositore"
109,69421,La scala di seta,"Rossini, Gioachino: compositore, Foppa, Giuseppe Maria: librettista"
110,69422,Il Signor Bruschino ossia Il figlio per azzardo,"Rossini, Gioachino: compositore, Foppa, Giuseppe Maria: librettista"
111,69423,Il Trovatore,"Verdi, Giuseppe: compositore, Cammarano, Salvatore: librettista, Gutiérrez, Antonio García: testo di"
112,69424,Otello,"Boito, Arrigo: librettista, Verdi, Giuseppe: compositore, Shakespeare, William: testo di"
113,69425,Falstaff,"Boito, Arrigo: librettista, Verdi, Giuseppe: compositore, Shakespeare, William: testo di"
114,69426,"Messa da Requiem, soli,coro,orch","Verdi, Giuseppe: compositore"
115,69427,"Exultate, jubilate, sp,orch, Fa, K 165","Mozart, Wolfgang Amadeus: compositore"
116,69428,"Ah, perfido!... Per pietà","Beethoven, Ludwig van: compositore"
117,69429,Tancredi,"Rossini, Gioachino: compositore, Rossi, Gaetano: librettista"
118,69430,Il turco in Italia,"Rossini, Gioachino: compositore, Romani, Felice: librettista"
119,69431,Samson et Dalila,"Lemaire, Ferdinand: librettista, Saint-Saëns, Camille: compositore"
120,69432,"Sei romanze, voce,pf","Verdi, Giuseppe: compositore"
121,69433,"Inno delle nazioni, tn,coro,orch","Boito, Arrigo: librettista, Verdi, Giuseppe: compositore"
122,69434,Alzira,"Verdi, Giuseppe: compositore, Cammarano, Salvatore: librettista, Voltaire: testo di"
123,69435,Quattro Pezzi sacri,"Verdi, Giuseppe: compositore"
124,69436,Giovanna d'Arco,"Verdi, Giuseppe: compositore, Solera, Temistocle: librettista, Schiller, Friedrich: testo di"
125,69437,"Fantasia, pf,soli,coro,orch, op. 80, Do min.","Beethoven, Ludwig van: compositore"
126,69438,Le Vêpres siciliennes / I vespri siciliani,"Verdi, Giuseppe: compositore, Scribe, Eugène: librettista, Duveyrier, Charles: librettista"
127,69439,"Märchenerzählungen, cl,vla,pf, op. 132","Schumann, Robert: compositore"
128,69440,"Hommage à R. Sch., cl,vla,pf, op. 15/d","Kurtág, György: compositore"
129,69441,"Vox balenae, fl,vlc,pf amplif","Crumb, George: compositore"
130,69442,"Gottes Zeit ist die allerbeste Zeit «Actus tragicus», sp,ct,tn,bs,coro,2fl,2vle da gamba,cont, BWV 106","Bach, Johann Sebastian: compositore"
131,69443,Messe de Nostre Dame,"Machault, Guillaume de: compositore"
132,69444,"Tod und Verklärung / Morte e trasfigurazione, op. 24","Strauss, Richard: compositore"
133,69445,"Sinfonia n. 1, op. 68, Do min.","Brahms, Johannes: compositore"
134,69446,"The Rake's Progress / La carriera del libertino, op. 5","Stravinskij, Igor': compositore, Auden, Wystan Hugh: librettista, Kallman, Chester: librettista"
135,69447,Attila,"Verdi, Giuseppe: compositore, Solera, Temistocle: librettista, Werner, Zacharias: testo di"
136,69448,"Pavane pour une infante défunte, pf","Ravel, Maurice: compositore"
137,69449,"Sonatine, pf","Ravel, Maurice: compositore"
138,69450,"Preludes, pf","Gershwin, George: compositore"
139,69451,"Masques, pf","Debussy, Claude: compositore"
140,69452,"Estampes, pf","Debussy, Claude: compositore"
141,69453,"Sonata, pf n. 3, op. 5, Fa min., B.W. XIII, 55","Brahms, Johannes: compositore"
142,69454,"Concerto, vlc,orch, op. 129, La min.","Schumann, Robert: compositore"
143,69455,"Sinfonia, orch n. 5, Do# min.","Mahler, Gustav: compositore"
144,69456,Hollywood,"Togni, Gianni: compositore, Morra, Guido: librettista"
145,69457,"Sinfonia, orch n. 5, Sib","Bruckner, Anton: compositore"
146,69458,"Sinfonia, orch n. 40, Sol min., K 550","Mozart, Wolfgang Amadeus: compositore"
147,69459,24 Préludes op. 28,"Chopin, Fryderyk: compositore"
148,69460,Douze Études: I libro,"Debussy, Claude: compositore"
149,69461,Douze Etudes: II libro,"Debussy, Claude: compositore"
150,69462,"Gaspard de la nuit, pf","Ravel, Maurice: compositore, Bertrand, Aloysius: testo di"
151,69463,Il trionfo della grazia ovvero La conversione di S. Maddalena,"Scarlatti, Alessandro: compositore"
152,69464,"Die Verklärte Nacht / La notte trasfigurata, 2vl,2vla,2vcl, op. 4","Schönberg, Arnold: compositore"
153,69465,"Gurrelieder, sp,ms,2tn,bs,cori,orch","Schönberg, Arnold: compositore"
154,69466,"Sonata, vl,pf n. 1, op. 80, Fa min.","Prokof'ev, Sergej: compositore"
155,69467,3 Romanze,"Schumann, Clara Josephine: compositore"
156,69468,"Sonata, vl,pf n. 3, op. 108, Re min.","Brahms, Johannes: compositore"
157,69469,"Voices, archi","Vasks, Peteris: compositore"
158,69470,Aria mit verschiedenen Veränderungen (Variazioni Goldberg),"Bach, Johann Sebastian: compositore"
159,69471,"Concerto, cemb,archi,cn, Mi, BWV 1053","Bach, Johann Sebastian: compositore"
160,69472,"Passion secundum Johannem / Passione secondo Giovanni, soli,coro,orch, BWV 245, Johannes-Passion","Bach, Johann Sebastian: compositore"
161,69473,"Ouverture (Suite per orchestra) n. 3, Re, BWV 1068","Bach, Johann Sebastian: compositore"
162,69474,"Ouverture (Suite per orchestra) n. 1, Do, BWV 1066","Bach, Johann Sebastian: compositore"
163,69475,"Partita n. 1, Sib, BWV 825","Bach, Johann Sebastian: compositore"
164,69476,"Concerto brandeburghese n. 3, Sol, BWV 1048","Bach, Johann Sebastian: compositore"
165,69477,"Concerto, vl,cemb,archi","Balakauskas, Osvaldas: compositore"
166,69478,Darf ich,"Pärt, Arvo: compositore"
167,69479,"Musikalisches Opfer / L'offerta musicale, BWV 1079","Bach, Johann Sebastian: compositore"
168,69480,La Traviata,"Verdi, Giuseppe: compositore, Piave, Francesco Maria: librettista"
169,69481,"Sonata, pf n. 1, op. 1, Do","Brahms, Johannes: compositore"
170,69482,"Frammenti poetici di Marina Cvetaeva, sp,vl,cor,pf","Gentilucci, Armando: compositore"
171,69483,"Quattro versi di Marina Cvetaeva, vl,sp","Manzoni, Giacomo: compositore"
172,69484,"Perdo il futuro della tua grazia. Trio, fl,vl,percuss,sp,vr n. 5","Guarnieri, Adriano: compositore"
173,69485,"E chi è passato resta per memoria, pf,cb,sp","Razzi, Fausto: compositore"
174,69486,"Sonata, pf, Sol","Salieri, Antonio: compositore"
175,69487,Night and day,"Porter, Cole: compositore"
176,69488,"Trio, pf,vl,vlc, La, Hob.XV 18","Haydn, Franz Joseph: compositore"
177,69489,"Sonata a quattro, archi","Paisiello, Giovanni: compositore"
178,69490,"Rinaldo, HWV 7a","Händel, Georg Friedrich: compositore, Rossi, Giacomo: librettista, Hill, Aaron: librettista"
179,69491,"Concerto, archi,bc n. 11, op. 38, Sol min., RV 157","Vivaldi, Antonio: compositore"
180,69492,Pelléas et Mélisande,"Debussy, Claude: compositore, Maeterlinck, Maurice-Polydore-Marie-Bernard: librettista"
181,69493,Giù la testa,"Morricone, Ennio: compositore"
182,69494,C'era una volta il West,"Morricone, Ennio: compositore"
183,69495,And I love her,"Lennon, John: compositore, McCartney, Paul: compositore"
184,69496,La Ronda,"Rota, Nino: compositore"
185,69497,"Trio, vl,vlc,pf, op. 67, La min.","Ravel, Maurice: compositore"
186,69498,"Trio, vl,vlc,pf, op. 100, Mib, D 929","Schubert, Franz: compositore"
187,69499,"Concerto, cor,archi, Fa","Händel, Georg Friedrich: compositore"
188,69500,"Divertimento, archi, Fa, K 138","Mozart, Wolfgang Amadeus: compositore"
189,69501,"Concerto, cor,2ob,2vl,vla,bc, Re, Hob.VIId 3","Haydn, Franz Joseph: compositore"
190,69502,"Sei sonate a quattro, 2vl,vlc,cb","Rossini, Gioachino: compositore"
191,69503,Adagio,"Nardini, Pietro: compositore"
192,69504,"Gran duo concertant pour violon et contrebase avec accompaignement d'orchestre ou de piano, vl,cb,archi,pf,orch","Bottesini, Giovanni: compositore"
193,69505,Macbeth,"Verdi, Giuseppe: compositore, Maffei, Andrea: librettista, Shakespeare, William: testo di, Piave, Francesco Maria: librettista"
