"id";"fullpath";"published";"dcTitle";"dcDescription";"from";"to";"datetext";"Luogo rappresentazione";"Enti collegati";"Persone collegate";"Recite collegate";"Opere musicali collegate"
"53836";"/Produzioni/1997 Woyzeck (53836)";"1";"Woyzeck";"Nuova Scena/Arena del Sole, Bologna (EN-)";"1997-04-07";"1997-04-07";"1997";"[
    {
        ""Id"": 119,
        ""nome"": ""Bologna"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8855,
        ""nome"": ""Arena del Sole"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 31597,
        ""Nome"": ""Arena del Sole Nuova Scena"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11541,
        ""Nome"": ""Magris, Claudio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 26679,
        ""Nome"": ""Garella, Nanni"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11549,
        ""Nome"": ""Abbondanza, Michele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11550,
        ""Nome"": ""Bertoni, Alessandra"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10159,
        ""Nome"": ""Saccomandi, Gigi"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11052,
        ""Nome"": ""Fiorentino, Antonio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11551,
        ""Nome"": ""Falqui, Stefano"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11552,
        ""Nome"": ""Zoffoli, Stefano"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57413,
        ""Nome"": ""Woyzeck"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57412,
        ""Nome"": ""Woyzeck"",
        ""Ruolo"": """"
    }
]";"[]"
"53837";"/Produzioni/1996 Cantando sotto la pioggia (53837)";"1";"Cantando sotto la pioggia";"";"1996-07-09";"1996-07-09";"1996";"[
    {
        ""Id"": 205,
        ""nome"": ""Trieste"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9204,
        ""nome"": ""Teatro Tripcovich"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29718,
        ""Nome"": ""Compagnia della Rancia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11564,
        ""Nome"": ""Gennaro, Peter"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10731,
        ""Nome"": ""Lee, Baayork"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11577,
        ""Nome"": ""Marconi, Saverio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11579,
        ""Nome"": ""De Vincentiis, Zaira"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11580,
        ""Nome"": ""Vinattieri, Paolo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31541,
        ""Nome"": ""De Lorenzo, Aldo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11563,
        ""Nome"": ""Steele, Tommy"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57418,
        ""Nome"": ""Cantando sotto la pioggia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57421,
        ""Nome"": ""Cantando sotto la pioggia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57419,
        ""Nome"": ""Cantando sotto la pioggia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57420,
        ""Nome"": ""Cantando sotto la pioggia"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 72784,
        ""Nome"": ""Cantando sotto la pioggia"",
        ""Ruolo"": """"
    }
]"
"53838";"/Produzioni/1998 La bottega del caffè (53838)";"1";"La bottega del caffè";"ERT Emilia Romagna Teatro (EN-)";"1998-02-05";"1998-02-05";"1998";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9415,
        ""nome"": ""Teatro Ariosto"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29688,
        ""Nome"": ""ERT Emilia Romagna Teatro"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11237,
        ""Nome"": ""Nidi, Alessandro"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10345,
        ""Nome"": ""Dall'Aglio, Gigi"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10255,
        ""Nome"": ""Mannini, Elena"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11561,
        ""Nome"": ""Mannini, Armando"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57414,
        ""Nome"": ""La bottega del caffé"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57415,
        ""Nome"": ""La bottega del caffé"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57416,
        ""Nome"": ""La bottega del caffé"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57417,
        ""Nome"": ""La bottega del caffé"",
        ""Ruolo"": """"
    }
]";"[]"
"53839";"/Produzioni/1997 Caligola (53839)";"1";"Caligola";"";"1997-01-22";"1997-01-22";"1997";"[
    {
        ""Id"": 2059,
        ""nome"": ""Codroipo"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9051,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29735,
        ""Nome"": ""Teatridithalia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11581,
        ""Nome"": ""Cuomo, Franco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11595,
        ""Nome"": ""De Capitani, Elio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11593,
        ""Nome"": ""Sala, Carlo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11594,
        ""Nome"": ""Frigerio, Nando"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57422,
        ""Nome"": ""Caligola"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57423,
        ""Nome"": ""Caligola"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57424,
        ""Nome"": ""Caligola"",
        ""Ruolo"": """"
    }
]";"[]"
"53840";"/Produzioni/1996 I viaggi di Gulliver (53840)";"1";"I viaggi di Gulliver";"";"1996-11-02";"1996-11-02";"1996";"[
    {
        ""Id"": 1617,
        ""nome"": ""Budrio"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29707,
        ""Nome"": ""Compagnia Paolo Poli"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11094,
        ""Nome"": ""Poli, Paolo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10725,
        ""Nome"": ""Luzzati, Emanuele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10848,
        ""Nome"": ""Calì, Santuzza"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10162,
        ""Nome"": ""Lawrence, Claudia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11602,
        ""Nome"": ""Perrotin, Jacquelin"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57425,
        ""Nome"": ""I viaggi di Gulliver"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57426,
        ""Nome"": ""I viaggi di Gulliver"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57427,
        ""Nome"": ""I viaggi di Gulliver"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57428,
        ""Nome"": ""I viaggi di Gulliver"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57429,
        ""Nome"": ""I viaggi di Gulliver"",
        ""Ruolo"": """"
    }
]";"[]"
"53841";"/Produzioni/Zozós (53841)";"1";"Zozós";"Associazione culturale Fant&agrave;sia (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 29780,
        ""Nome"": ""Associazione culturale Fantàsia"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11610,
        ""Nome"": ""Pace, Massimiliano"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11607,
        ""Nome"": ""Boccaccini, Claudio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11608,
        ""Nome"": ""Cioncolini, Stefano"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11609,
        ""Nome"": ""Santos, O."",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57430,
        ""Nome"": ""Zozós"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57431,
        ""Nome"": ""Zozós"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57432,
        ""Nome"": ""Zozós"",
        ""Ruolo"": """"
    }
]";"[]"
"53842";"/Produzioni/Un'idiozia conquistata a fatica (53842)";"1";"Un'idiozia conquistata a fatica";"Go Igest (EN-)";"";"";"";"[]";"[
    {
        ""Identificativo"": 29699,
        ""Nome"": ""Go Igest S.r.l."",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11618,
        ""Nome"": ""Benetti, Marco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11619,
        ""Nome"": ""Tocchi, Alberto"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57433,
        ""Nome"": ""Un'idiozia conquistata a fatica"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57434,
        ""Nome"": ""Un'idiozia conquistata a fatica"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57435,
        ""Nome"": ""Un'idiozia conquistata a fatica"",
        ""Ruolo"": """"
    }
]";"[]"
"53844";"/Produzioni/1996 Zio Vanja (53844)";"1";"Zio Vanja";"";"1996-10-10";"1996-10-10";"1996";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8715,
        ""nome"": ""Teatro Municipale Valli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29685,
        ""Nome"": ""Teatro Due"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29698,
        ""Nome"": ""Teatro di Roma"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11620,
        ""Nome"": ""Martinelli, Milli"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11621,
        ""Nome"": ""Stein, Peter"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11622,
        ""Nome"": ""Wögerbauer, Ferdinand"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11623,
        ""Nome"": ""Bickel, Moidele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11629,
        ""Nome"": ""Coloretti, Claudio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10168,
        ""Nome"": ""De Marchi, Michele"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57436,
        ""Nome"": ""Zio Vanja"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57437,
        ""Nome"": ""Zio Vanja"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57438,
        ""Nome"": ""Zio Vanja"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57439,
        ""Nome"": ""Zio Vanja"",
        ""Ruolo"": """"
    }
]";"[]"
"53845";"/Produzioni/1994 Come vi piace (53845)";"1";"Come vi piace";"";"1994-10-17";"1994-10-17";"1994";"[
    {
        ""Id"": 190,
        ""nome"": ""Roma"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9207,
        ""nome"": ""Teatro Vascello"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 31727,
        ""Nome"": ""CRT La Fabbrica dell'Attore"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11630,
        ""Nome"": ""Nanni, Giancarlo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11639,
        ""Nome"": ""Taddei, Andrea"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57440,
        ""Nome"": ""Come vi piace"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57441,
        ""Nome"": ""Come vi piace"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57442,
        ""Nome"": ""Come vi piace"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57443,
        ""Nome"": ""Come vi piace"",
        ""Ruolo"": """"
    }
]";"[]"
"53846";"/Produzioni/1996 La rosa tatuata (53846)";"1";"La rosa tatuata";"Teatro Stabile d&#39;Abruzzo , (EN-), Teatro Stabile delle Marche , (EN-)";"1996-09-08";"1996-09-08";"1996";"[
    {
        ""Id"": 116,
        ""nome"": ""Benevento"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29773,
        ""Nome"": ""Teatro Stabile delle Marche"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29774,
        ""Nome"": ""Teatro Stabile d'Abruzzo"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11650,
        ""Nome"": ""D'Amico, Masolino"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10239,
        ""Nome"": ""Vacis, Gabriele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10240,
        ""Nome"": ""Diana, Lucio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10241,
        ""Nome"": ""Tarasco, Roberto"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57444,
        ""Nome"": ""La rosa tatuata"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58073,
        ""Nome"": ""La rosa tatuata"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58074,
        ""Nome"": ""La rosa tatuata"",
        ""Ruolo"": """"
    }
]";"[]"
"53847";"/Produzioni/1996 Ritorno a casa Gori (53847)";"1";"Ritorno a casa Gori";"Compagnia Alessandro Benvenuti, Roma (EN-)";"1996-11-22";"1996-11-22";"1996";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9415,
        ""nome"": ""Teatro Ariosto"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29775,
        ""Nome"": ""Compagnia Alessandro Benvenuti"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11653,
        ""Nome"": ""Fariselli, Patrizio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11652,
        ""Nome"": ""Benvenuti, Alessandro"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11654,
        ""Nome"": ""Viani, Maurizio"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57445,
        ""Nome"": ""Ritorno a casa Gori"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57446,
        ""Nome"": ""Ritorno a casa Gori"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57447,
        ""Nome"": ""Ritorno a casa Gori"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57448,
        ""Nome"": ""Ritorno a casa Gori"",
        ""Ruolo"": """"
    }
]";"[]"
"53848";"/Produzioni/1996 Uomo e galantuomo (53848)";"1";"Uomo e galantuomo";"Compagnia di Teatro Luca De Filippo (EN-)";"1996-11-16";"1996-11-16";"1996";"[
    {
        ""Id"": 116,
        ""nome"": ""Benevento"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 31704,
        ""Nome"": ""Compagnia di Teatro di Luca De Filippo"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11655,
        ""Nome"": ""De Filippo, Luca"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11666,
        ""Nome"": ""Polidori, Silvia"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11665,
        ""Nome"": ""Garofalo, Bruno"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11495,
        ""Nome"": ""Piovani, Nicola"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57449,
        ""Nome"": ""Uomo e galantuomo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57450,
        ""Nome"": ""Uomo e galantuomo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57451,
        ""Nome"": ""Uomo e galantuomo"",
        ""Ruolo"": """"
    }
]";"[]"
"53849";"/Produzioni/1996 Rabelais (53849)";"1";"Rabelais";"AGiDi Impresa Teatrale, Modena (EN-)";"1996-03-23";"1996-03-23";"1996";"[
    {
        ""Id"": 7610,
        ""nome"": ""Orvieto"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9130,
        ""nome"": ""Teatro Mancinelli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29684,
        ""Nome"": ""AGiDi Impresa Teatrale"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15668,
        ""Nome"": ""Dell'Aquila, Emanuele"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11698,
        ""Nome"": ""Solari, Giampiero"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15667,
        ""Nome"": ""Consagra, Maria"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11701,
        ""Nome"": ""Baratta, Giordano"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11700,
        ""Nome"": ""Gabbioneta, Elisabetta"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57456,
        ""Nome"": ""Rabelais"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57457,
        ""Nome"": ""Rabelais"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57458,
        ""Nome"": ""Rabelais"",
        ""Ruolo"": """"
    }
]";"[]"
"53850";"/Produzioni/1997 Un patriota per me (53850)";"1";"Un patriota per me";"";"1997-01-18";"1997-01-18";"1997";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9415,
        ""nome"": ""Teatro Ariosto"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29674,
        ""Nome"": ""Teatro Stabile del Friuli Venezia Giulia"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29688,
        ""Nome"": ""ERT Emilia Romagna Teatro"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 32055,
        ""Nome"": ""Teatro Biondo di Palermo"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11857,
        ""Nome"": ""Villatico, Dino"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11690,
        ""Nome"": ""Lombardo, Agostino"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10687,
        ""Nome"": ""Cobelli, Giancarlo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11689,
        ""Nome"": ""Spiazzi, Alberto"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10415,
        ""Nome"": ""Levi, Guido"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11688,
        ""Nome"": ""Serafini, Enrico"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57452,
        ""Nome"": ""Un patriota per me"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57453,
        ""Nome"": ""Un patriota per me"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57454,
        ""Nome"": ""Un patriota per me"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57455,
        ""Nome"": ""Un patriota per me"",
        ""Ruolo"": """"
    }
]";"[]"
"53851";"/Produzioni/1996 Il prigioniero della Seconda Strada (53851)";"1";"Il prigioniero della Seconda Strada";"Plexus T (EN-)";"1996-11-09";"1996-11-09";"1996";"[
    {
        ""Id"": 7610,
        ""nome"": ""Orvieto"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9130,
        ""nome"": ""Teatro Mancinelli"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29691,
        ""Nome"": ""Plexus T"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10192,
        ""Nome"": ""Kezich, Tullio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10193,
        ""Nome"": ""Levantesi, Alessandra"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11706,
        ""Nome"": ""Pulci, Tonino"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11702,
        ""Nome"": ""Bono, Mariolina"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31550,
        ""Nome"": ""Chiti, Alessandro"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57459,
        ""Nome"": ""Il prigioniero della Seconda Strada"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57460,
        ""Nome"": ""Il prigioniero della Seconda Strada"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57461,
        ""Nome"": ""Il prigioniero della Seconda Strada"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57462,
        ""Nome"": ""Il prigioniero della Seconda Strada"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57463,
        ""Nome"": ""Il prigioniero della Seconda Strada"",
        ""Ruolo"": """"
    }
]";"[]"
"53852";"/Produzioni/1997 Antigone (53852)";"1";"Antigone";"";"1997-02-14";"1997-02-14";"1997";"[
    {
        ""Id"": 187,
        ""nome"": ""Reggio Emilia"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 9415,
        ""nome"": ""Teatro Ariosto"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29730,
        ""Nome"": ""Cooperativa Argôt-Società per attori"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 11716,
        ""Nome"": ""Nunzi, Massimo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11720,
        ""Nome"": ""Franci, Adolfo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11711,
        ""Nome"": ""Panici, Maurizio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11717,
        ""Nome"": ""Palmieri, Marco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 11715,
        ""Nome"": ""Pomodoro, Arnaldo"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 57464,
        ""Nome"": ""Antigone"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57465,
        ""Nome"": ""Antigone"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 57466,
        ""Nome"": ""Antigone"",
        ""Ruolo"": """"
    }
]";"[]"
"53853";"/Produzioni/1996 Il visitatore (53853)";"1";"Il visitatore";"Teatro Stabile , Catania (EN-), Plexus T , Roma (EN-), Teatro Stabile del Friuli Venezia Giulia , Trieste (EN-)";"1996-02-23";"1996-02-23";"1996";"[
    {
        ""Id"": 173,
        ""nome"": ""Parma"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8686,
        ""nome"": ""Teatro Due"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29674,
        ""Nome"": ""Teatro Stabile del Friuli Venezia Giulia"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29691,
        ""Nome"": ""Plexus T"",
        ""Ruolo"": ""produzione""
    },
    {
        ""Identificativo"": 29776,
        ""Nome"": ""Teatro Stabile di Catania"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 10522,
        ""Nome"": ""Siciliano, Enzo"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10379,
        ""Nome"": ""Calenda, Antonio"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 10255,
        ""Nome"": ""Mannini, Elena"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 31651,
        ""Nome"": ""Buonincontri, Bruno"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 12267,
        ""Nome"": ""Centazzo, Andrea"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 58550,
        ""Nome"": ""Il visitatore"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58567,
        ""Nome"": ""Il visitatore"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58568,
        ""Nome"": ""Il visitatore"",
        ""Ruolo"": """"
    }
]";"[]"
"53854";"/Produzioni/1993 La locandiera (53854)";"1";"La locandiera";"Teatro Stabile , Bolzano (EN-)";"1993-10-05";"1993-10-05";"1993";"[
    {
        ""Id"": 120,
        ""nome"": ""Bolzano"",
        ""relazione"": ""luogo della prima rappresentazione/esecuzione""
    },
    {
        ""Id"": 8654,
        ""nome"": ""Teatro Comunale"",
        ""relazione"": ""edificio della prima rappresentazione/esecuzione""
    }
]";"[
    {
        ""Identificativo"": 29668,
        ""Nome"": ""Teatro Stabile di Bolzano"",
        ""Ruolo"": ""produzione""
    }
]";"[
    {
        ""Identificativo"": 15244,
        ""Nome"": ""Maurina, Franco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 14154,
        ""Nome"": ""Bernardi, Marco"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15243,
        ""Nome"": ""Banci, Roberto"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15246,
        ""Nome"": ""Travaglia, Andrea"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 15242,
        ""Nome"": ""Jäckel, Gisbert"",
        ""Ruolo"": """"
    }
]";"[
    {
        ""Identificativo"": 58569,
        ""Nome"": ""La locandiera"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58570,
        ""Nome"": ""La locandiera"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58571,
        ""Nome"": ""La locandiera"",
        ""Ruolo"": """"
    },
    {
        ""Identificativo"": 58572,
        ""Nome"": ""La locandiera"",
        ""Ruolo"": """"
    }
]";"[]"
