production_id,credit_type,person_id,person_name,person_role,work_title,performance_start_date,performance_end_date,year,date_text,first_location,first_venue,related_work_id,source_id
32454,artistic,3918,Pier Luigi Pizzi,"Costumista,Scenografo",Moïse et Pharaon,1974-02-15,1974-02-22,1974,15-02-1974 - 22-02-1974,Torino,Teatro Regio,40385,object_id_3240
32454,technical,7166,"Tirelli, Roma",Sartoria,Moïse et Pharaon,1974-02-15,1974-02-22,1974,15-02-1974 - 22-02-1974,Torino,Teatro Regio,40385,object_id_3240
32455,artistic,8601,Susanna Egri,Coreografo,Andrea Chénier,1974-02-28,1974-04-09,1974,28-02-1974 - 09-04-1974,Torino,Teatro Regio,40102,object_id_3245
32455,artistic,5482,Marco Parodi,Regista,Andrea Chénier,1974-02-28,1974-04-09,1974,28-02-1974 - 09-04-1974,Torino,Teatro Regio,40102,object_id_3245
32455,artistic,9260,Peter Hall,"Costumista,Scenografo",Andrea Chénier,1974-02-28,1974-04-09,1974,28-02-1974 - 09-04-1974,Torino,Teatro Regio,40102,object_id_3245
32455,technical,8588,Casa d’arte Cerratelli,Sartoria,Andrea Chénier,1974-02-28,1974-04-09,1974,28-02-1974 - 09-04-1974,Torino,Teatro Regio,40102,object_id_3245
32456,artistic,9689,Wolfgang Kersten,Regista,Principe Igor,1974-03-29,1974-04-04,1974,29-03-1974 - 04-04-1974,Torino,Teatro Regio,,object_id_3255
32456,artistic,9697,Zvonimir Reljić,Coreografo,Principe Igor,1974-03-29,1974-04-04,1974,29-03-1974 - 04-04-1974,Torino,Teatro Regio,,object_id_3255
32456,artistic,9691,Zvonko Agbaba,Scenografo,Principe Igor,1974-03-29,1974-04-04,1974,29-03-1974 - 04-04-1974,Torino,Teatro Regio,,object_id_3255
32456,artistic,9169,Aleksandar Augustinčić,Scenografo,Principe Igor,1974-03-29,1974-04-04,1974,29-03-1974 - 04-04-1974,Torino,Teatro Regio,,object_id_3255
32456,artistic,9692,Ljubica Wagner,Costumista,Principe Igor,1974-03-29,1974-04-04,1974,29-03-1974 - 04-04-1974,Torino,Teatro Regio,,object_id_3255
32457,artistic,3922,Piero Faggioni,Regista,Fanciulla del West,1974-11-26,1974-12-22,1974,26-11-1974 - 22-12-1974,Torino,Teatro Regio,,object_id_3261
