id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
63713,Di segno in segno,,Di segno in segno,1998-12-03,1998-12-03,03/12/1998,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/03-12-1998 Di segno in segno (63713)
63714,Di segno in segno,,Di segno in segno,1998-12-04,1998-12-04,04/12/1998,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/04-12-1998 Di segno in segno (63714)
63715,Aquarium,,Aquarium,1999-01-26,1999-01-26,26/01/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/26-01-1999 Aquarium (63715)
63716,Aquarium,,Aquarium,1999-01-26,1999-01-26,26/01/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/26-01-1999 Aquarium (63716)
63717,Aquarium,,Aquarium,1999-01-27,1999-01-27,27/01/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/27-01-1999 Aquarium (63717)
63718,Il Risveglio dell'umanità,,Il Risveglio dell'umanità,1999-04-13,1999-04-13,13/04/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/13-04-1999 Il Risveglio dell'umanità (63718)
63719,Il Risveglio dell'umanità,,Il Risveglio dell'umanità,1999-04-14,1999-04-14,14/04/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/14-04-1999 Il Risveglio dell'umanità (63719)
63720,Il Risveglio dell'umanità,,Il Risveglio dell'umanità,1999-04-15,1999-04-15,15/04/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/15-04-1999 Il Risveglio dell'umanità (63720)
63721,Il Risveglio dell'umanità,,Il Risveglio dell'umanità,1999-04-16,1999-04-16,16/04/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/16-04-1999 Il Risveglio dell'umanità (63721)
63722,L'istruttoria,,L'istruttoria,1999-05-04,1999-05-04,04/05/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/04-05-1999 L'istruttoria (63722)
63723,L'istruttoria,,L'istruttoria,1999-05-05,1999-05-05,05/05/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/05-05-1999 L'istruttoria (63723)
63724,L'istruttoria,,L'istruttoria,1999-05-06,1999-05-06,06/05/1999,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/06-05-1999 L'istruttoria (63724)
63725,Biancotraviata,,Biancotraviata,1999-02-23,1999-02-23,23/02/1999,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/23-02-1999 Biancotraviata (63725)
