id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
62312,Studenti della scuole di Reggio Emilia,31398,interprete
62317,Icarus Ensemble,29542,ensemble/gruppo
62318,Icarus Ensemble,29542,ensemble/gruppo
62319,Tempo Reale Electroacustic Ensemble,31254,interprete
62320,Shechter Junior,31399,interprete
62321,Shechter Junior,31399,interprete
62322,Shechter Junior,31399,interprete
62323,Shechter Junior,31399,interprete
62324,Shechter Junior,31399,interprete
62325,Shechter Junior,31399,interprete
62326,Festina Lente Teatro,31014,interprete
62327,Festina Lente Teatro,31014,interprete
62328,Festina Lente Teatro,31014,interprete
62329,Artemisia Teater,29807,interprete
62330,Orchestra 1813,30931,interprete
62331,Orchestra 1813,30931,interprete
62332,Orchestra 1813,30931,interprete
62333,Orchestra 1813,30931,interprete
62334,Orchestra 1813,30931,interprete
62337,Hofesh Shechter Company,31401,interprete
62339,Orchestra dell'Opera Italiana,31402,orchestra
62339,Coro Claudio Merulo di Reggio Emilia,29459,coro
62340,Orchestra dell'Opera Italiana,31402,orchestra
62340,Coro Claudio Merulo di Reggio Emilia,29459,coro
62341,Orchestra I Pomeriggi Musicali,31010,orchestra
62341,Coro di voci bianche Mousikè-Smim Vida,28559,coro
62342,Orchestra I Pomeriggi Musicali,31010,orchestra
62342,Coro di voci bianche Mousikè-Smim Vida,28559,coro
62354,Banda di Quartiere,31290,interprete
62361,Aterballetto,29463,compagnia di balletto/danza
62363,Teatro Municipale Romolo Valli,29664,produzione
62378,Orchestra del Teatro Comunale di Bologna,29914,orchestra
62378,Coro del Teatro Comunale di Bologna,29474,coro
62379,Orchestra del Teatro Comunale di Bologna,29914,orchestra
62379,Coro del Teatro Comunale di Bologna,29474,coro
62386,Peeping Tom,31345,interprete
62387,Peeping Tom,31345,interprete
62388,Corpo di ballo Daniele Cipriani Entertainment,31416,interprete
62389,Aterballetto,29463,compagnia di balletto/danza
62390,Orchestra Regionale dell'Emilia Romagna,36268,orchestra
62390,Coro del Teatro Municipale di Piacenza,30326,coro
62391,Orchestra Regionale dell'Emilia Romagna,36268,orchestra
62391,Coro del Teatro Municipale di Piacenza,30326,coro
62394,Ballet de Lorraine,31239,interprete
62395,Orchestra Regionale dell'Emilia Romagna,36268,orchestra
62395,Coro del Teatro Comunale di Modena,29457,coro
62396,Orchestra Regionale dell'Emilia Romagna,36268,orchestra
62396,Coro del Teatro Comunale di Modena,29457,coro
62402,Centre chorégraphique de la Rochelle Accrorap,31421,interprete
62403,Nederlands Dans Theater II,29637,interprete
62404,Teatro Municipale Romolo Valli,29664,produzione
62419,Ensemble strumentale della Fondazione I Teatri,31425,interprete
62419,Coro di voci bianche della Fondazione I Teatri,31426,interprete
62420,Ensemble strumentale della Fondazione I Teatri,31425,interprete
62420,Coro di voci bianche della Fondazione I Teatri,31426,interprete
62421,Ensemble strumentale della Fondazione I Teatri,31425,interprete
62421,Coro di voci bianche della Fondazione I Teatri,31426,interprete
