id_recita,curatore_nome,curatore_id,curatore_ruolo
57314,"Di Stefano, Giovanni",9994,maestro del coro
57315,"Nance, Chris",10846,direzione d'orchestra
57316,"Carignani, Paolo",10858,direzione d'orchestra
57317,"Carignani, Paolo",10858,direzione d'orchestra
57318,"Benini, Maurizio",10662,direzione d'orchestra
57319,"Benini, Maurizio",10662,direzione d'orchestra
57320,"Benini, Maurizio",10662,direzione d'orchestra
57321,"DeMain, John",10862,direzione d'orchestra
57321,"Oppeneiger, Markus",10863,maestro del coro
57322,"Östman, Arnold",10871,direzione d'orchestra
57322,"Faelli, Marco",10051,maestro del coro
57323,"DeMain, John",10862,direzione d'orchestra
57323,"Oppeneiger, Markus",10863,maestro del coro
57324,"DeMain, John",10862,direzione d'orchestra
57324,"Oppeneiger, Markus",10863,maestro del coro
57325,"Östman, Arnold",10871,direzione d'orchestra
57325,"Faelli, Marco",10051,maestro del coro
57326,"Benini, Maurizio",10662,direzione d'orchestra
57326,"Fusi, Franco",10694,direzione d'orchestra
57326,"Di Stefano, Giovanni",9994,maestro del coro
57326,"Lassen, Marta",10036,maestro del coro
57327,"Benini, Maurizio",10662,direzione d'orchestra
57327,"Fusi, Franco",10694,direzione d'orchestra
57327,"Di Stefano, Giovanni",9994,maestro del coro
57327,"Lassen, Marta",10036,maestro del coro
57328,"Benini, Maurizio",10662,direzione d'orchestra
57328,"Fusi, Franco",10694,direzione d'orchestra
57328,"Di Stefano, Giovanni",9994,maestro del coro
57328,"Lassen, Marta",10036,maestro del coro
57329,"Benini, Maurizio",10662,direzione d'orchestra
57329,"Fusi, Franco",10694,direzione d'orchestra
57329,"Di Stefano, Giovanni",9994,maestro del coro
57329,"Lassen, Marta",10036,maestro del coro
57330,"Hengelbrok, Thomas",10943,direzione d'orchestra
57331,"Hengelbrok, Thomas",10943,direzione d'orchestra
57332,"Grassi, Danilo",10563,direzione d'orchestra
57335,"Garforth, David",11017,direzione d'orchestra
57361,"Morandi, Pier Giorgio",10543,direzione d'orchestra
57361,"Colò, Stefano",10544,maestro del coro
57385,"Garforth, David",11017,direzione d'orchestra
57386,"Garforth, David",11017,direzione d'orchestra
57387,"Grassi, Danilo",10563,direzione d'orchestra
57387,"Zambon, Loris",10096,ballerino/danzatore
57388,"Grassi, Danilo",10563,direzione d'orchestra
57687,"Tenan, Carlo",12354,direzione d'orchestra
57688,"Tenan, Carlo",12354,direzione d'orchestra
57695,"Gatti, Daniele",10077,direzione d'orchestra
57695,"Monti, Piero",10366,maestro del coro
57696,"Gatti, Daniele",10077,direzione d'orchestra
57696,"Monti, Piero",10366,maestro del coro
57730,"Rovaris, Corrado",12503,direzione d'orchestra
57730,"Sebastiani, Franco",10009,maestro del coro
57731,"Rovaris, Corrado",12503,direzione d'orchestra
57731,"Sebastiani, Franco",10009,maestro del coro
57732,"Rovaris, Corrado",12503,direzione d'orchestra
57732,"Sebastiani, Franco",10009,maestro del coro
57734,"Desderi, Claudio",12505,direzione d'orchestra
57736,"Tolomelli, Roberto",12547,direzione d'orchestra
57736,"Faggiani, Martino",12549,maestro del coro
57737,"Tolomelli, Roberto",12547,direzione d'orchestra
57737,"Faggiani, Martino",12549,maestro del coro
57738,"Benini, Maurizio",10662,direzione d'orchestra
57738,"Monti, Piero",10366,maestro del coro
57739,"Soudant, Hubert",10547,direzione d'orchestra
57739,"Indrigo, Dario",11367,maestro del coro
57740,"Soudant, Hubert",10547,direzione d'orchestra
57740,"Indrigo, Dario",11367,maestro del coro
57741,"Soudant, Hubert",10547,direzione d'orchestra
57741,"Indrigo, Dario",11367,maestro del coro
57742,"Gelmetti, Gianluigi",12559,direzione d'orchestra
57742,"Monti, Piero",10366,maestro del coro
57743,"Gelmetti, Gianluigi",12559,direzione d'orchestra
57743,"Monti, Piero",10366,maestro del coro
57744,"Campori, Angelo",31575,direzione d'orchestra
57744,"Faelli, Marco",10051,maestro del coro
57745,"Campori, Angelo",31575,direzione d'orchestra
57745,"Faelli, Marco",10051,maestro del coro
57746,"Campori, Angelo",31575,direzione d'orchestra
57746,"Faelli, Marco",10051,maestro del coro
57747,"Jenkins, Graeme",10880,direzione d'orchestra
57748,"Jenkins, Graeme",10880,direzione d'orchestra
57749,"Neuhold, Günther",10883,direzione d'orchestra
57749,"Tanzi, Adolfo",10884,maestro del coro
57750,"Neuhold, Günther",10883,direzione d'orchestra
57750,"Tanzi, Adolfo",10884,maestro del coro
57751,"Benini, Maurizio",10662,direzione d'orchestra
57751,"Monti, Piero",10366,maestro del coro
57752,"Benini, Maurizio",10662,direzione d'orchestra
57752,"Monti, Piero",10366,maestro del coro
57771,"Campori, Angelo",31575,direzione d'orchestra
57771,"Di Stefano, Giovanni",9994,maestro del coro
57772,"Campori, Angelo",31575,direzione d'orchestra
57772,"Di Stefano, Giovanni",9994,maestro del coro
57912,"Renzetti, Donato",31748,direzione d'orchestra
57912,"Egaddi, Edgardo",10302,maestro del coro
57913,"Renzetti, Donato",31748,direzione d'orchestra
57913,"Egaddi, Edgardo",10302,maestro del coro
57914,"Maag, Peter",10675,direzione d'orchestra
57914,"Angius, Fulvio",13074,maestro del coro
57915,"Maag, Peter",10675,direzione d'orchestra
57915,"Angius, Fulvio",13074,maestro del coro
57916,"Renzetti, Donato",31748,direzione d'orchestra
57916,"Egaddi, Edgardo",10302,maestro del coro
57917,"Benini, Maurizio",10662,direzione d'orchestra
57918,"Benini, Maurizio",10662,direzione d'orchestra
57919,"Fedose'ev, Vladimir",13103,direzione d'orchestra
57919,"Sapszon, Ferenc",13104,maestro del coro
57920,"Fedose'ev, Vladimir",13103,direzione d'orchestra
57920,"Sapszon, Ferenc",13104,maestro del coro
57921,"Fedose'ev, Vladimir",13103,direzione d'orchestra
57921,"Sapszon, Ferenc",13104,maestro del coro
57922,"Kikuchi, Yoshinori",13105,direzione d'orchestra
57922,"Monti, Piero",10366,maestro del coro
57923,"Kikuchi, Yoshinori",13105,direzione d'orchestra
57923,"Monti, Piero",10366,maestro del coro
57924,"Campanella, Bruno",31652,direzione d'orchestra
57924,"Egaddi, Edgardo",10302,maestro del coro
57925,"Campanella, Bruno",31652,direzione d'orchestra
57925,"Egaddi, Edgardo",10302,maestro del coro
57929,"Garforth, David",11017,direzione d'orchestra
57930,"Garforth, David",11017,direzione d'orchestra
57931,"Carminati, Fabrizio Maria",13156,direzione d'orchestra
57931,"Metti, Valentino",13157,maestro del coro
57932,"Carminati, Fabrizio Maria",13156,direzione d'orchestra
57932,"Metti, Valentino",13157,maestro del coro
57933,"Campanella, Bruno",31652,direzione d'orchestra
57933,"Egaddi, Edgardo",10302,maestro del coro
57934,"Campanella, Bruno",31652,direzione d'orchestra
57934,"Egaddi, Edgardo",10302,maestro del coro
57935,"Campanella, Bruno",31652,direzione d'orchestra
57935,"Egaddi, Edgardo",10302,maestro del coro
57936,"Campanella, Bruno",31652,direzione d'orchestra
57936,"Egaddi, Edgardo",10302,maestro del coro
57937,"Campanella, Bruno",31652,direzione d'orchestra
57937,"Egaddi, Edgardo",10302,maestro del coro
57938,"Campori, Angelo",31575,direzione d'orchestra
57938,"Egaddi, Edgardo",10302,maestro del coro
57939,"Campori, Angelo",31575,direzione d'orchestra
57939,"Egaddi, Edgardo",10302,maestro del coro
57940,"Malgoire, Jean-Claude",13207,direzione d'orchestra
57940,"Aldwinckle, Robert",13208,maestro del coro
57941,"Malgoire, Jean-Claude",13207,direzione d'orchestra
57941,"Aldwinckle, Robert",13208,maestro del coro
57942,"Malgoire, Jean-Claude",13207,direzione d'orchestra
57942,"Aldwinckle, Robert",13208,maestro del coro
57943,"Kozin, Valentin",13229,direzione d'orchestra
57943,"Travkin, Mikhail",13230,maestro del coro
57944,"Kozin, Valentin",13229,direzione d'orchestra
57944,"Travkin, Mikhail",13230,maestro del coro
57959,"Alessandrini, Rinaldo",13239,direzione d'orchestra
57960,"Alessandrini, Rinaldo",13239,direzione d'orchestra
57961,"Campori, Angelo",31575,direzione d'orchestra
57961,"Faelli, Marco",10051,maestro del coro
57962,"Campori, Angelo",31575,direzione d'orchestra
57962,"Faelli, Marco",10051,maestro del coro
57963,"Harding, Daniel",31736,direzione d'orchestra
57963,"Gershon, Grant",15672,maestro del coro
58001,"Aprea, Bruno",10461,direzione d'orchestra
58001,"Di Stefano, Giovanni",9994,maestro del coro
58009,"Rota, Marcello",10754,direzione d'orchestra
58023,"Nance, Chris",10846,direzione d'orchestra
58024,"Vedernikov, Aleksandr",13372,direzione d'orchestra
58025,"Vedernikov, Aleksandr",13372,direzione d'orchestra
58027,"Moretti, Bruno",11889,direzione d'orchestra
58028,"Moretti, Bruno",11889,direzione d'orchestra
58029,"Moretti, Bruno",11889,direzione d'orchestra
58030,"Moretti, Bruno",11889,direzione d'orchestra
58045,"Garforth, David",11017,direzione d'orchestra
58046,"Garforth, David",11017,direzione d'orchestra
58054,"Rota, Marcello",10754,direzione d'orchestra
58055,"Rota, Marcello",10754,direzione d'orchestra
58056,"Rota, Marcello",10754,direzione d'orchestra
58057,"Rota, Marcello",10754,direzione d'orchestra
58061,"Rota, Marcello",10754,direzione d'orchestra
58062,"Rota, Marcello",10754,direzione d'orchestra
58063,"Rota, Marcello",10754,direzione d'orchestra
58075,"Garforth, David",11017,direzione d'orchestra
58083,"Garforth, David",11017,direzione d'orchestra
58084,"Garforth, David",11017,direzione d'orchestra
58096,"Benini, Maurizio",10662,direzione d'orchestra
58097,"Rota, Marcello",10754,direzione d'orchestra
58098,"Rota, Marcello",10754,direzione d'orchestra
