id_recita,curatore_nome,curatore_id,curatore_ruolo
35533,Bruno Casoni,7195,Maestro del coro
35534,Bruno Campanella,4305,Direttore d'orchestra
35534,Bruno Casoni,7195,Maestro del coro
35535,Claudio Abbado,3955,Direttore d'orchestra
35535,Bruno Casoni,7195,Maestro del coro
35535,Jan Rozenhal,7963,Maestro del coro
35535,Margherita Brügger,7962,Maestro del coro
35536,Claudio Abbado,3955,Direttore d'orchestra
35536,Bruno Casoni,7195,Maestro del coro
35536,Jan Rozenhal,7963,Maestro del coro
35536,Margherita Brügger,7962,Maestro del coro
35537,David Angus,7918,Direttore d'orchestra
35538,David Angus,7918,Direttore d'orchestra
35539,David Angus,7918,Direttore d'orchestra
35540,David Angus,7918,Direttore d'orchestra
35541,David Angus,7918,Direttore d'orchestra
35542,David Angus,7918,Direttore d'orchestra
35543,David Angus,7918,Direttore d'orchestra
35544,David Angus,7918,Direttore d'orchestra
35545,David Angus,7918,Direttore d'orchestra
35546,Daniel Oren,7996,Direttore d'orchestra
35546,Bruno Casoni,7195,Maestro del coro
35547,Daniel Oren,7996,Direttore d'orchestra
35547,Bruno Casoni,7195,Maestro del coro
35548,Daniel Oren,7996,Direttore d'orchestra
35548,Bruno Casoni,7195,Maestro del coro
35549,Daniel Oren,7996,Direttore d'orchestra
35549,Bruno Casoni,7195,Maestro del coro
35550,Daniel Oren,7996,Direttore d'orchestra
35550,Bruno Casoni,7195,Maestro del coro
35551,Daniel Oren,7996,Direttore d'orchestra
35551,Bruno Casoni,7195,Maestro del coro
35552,Daniel Oren,7996,Direttore d'orchestra
35552,Bruno Casoni,7195,Maestro del coro
35553,Daniel Oren,7996,Direttore d'orchestra
35553,Bruno Casoni,7195,Maestro del coro
35554,Daniel Oren,7996,Direttore d'orchestra
35554,Bruno Casoni,7195,Maestro del coro
35555,Daniel Oren,7996,Direttore d'orchestra
35555,Bruno Casoni,7195,Maestro del coro
35556,Daniel Oren,7996,Direttore d'orchestra
35556,Bruno Casoni,7195,Maestro del coro
35557,Fabrizio Carminati,6480,Direttore d'orchestra
35557,Bruno Casoni,7195,Maestro del coro
35558,Fabrizio Carminati,6480,Direttore d'orchestra
35558,Bruno Casoni,7195,Maestro del coro
35559,Corrado Rovaris,5855,Direttore d'orchestra
35560,Corrado Rovaris,5855,Direttore d'orchestra
35561,Corrado Rovaris,5855,Direttore d'orchestra
35562,Corrado Rovaris,5855,Direttore d'orchestra
35563,Corrado Rovaris,5855,Direttore d'orchestra
35564,Corrado Rovaris,5855,Direttore d'orchestra
35565,Alain Guingal,4362,Direttore d'orchestra
35565,Bruno Casoni,7195,Maestro del coro
35566,Alain Guingal,4362,Direttore d'orchestra
35566,Bruno Casoni,7195,Maestro del coro
35567,Alain Guingal,4362,Direttore d'orchestra
35567,Bruno Casoni,7195,Maestro del coro
35568,Alain Guingal,4362,Direttore d'orchestra
35568,Bruno Casoni,7195,Maestro del coro
35569,Alain Guingal,4362,Direttore d'orchestra
35569,Bruno Casoni,7195,Maestro del coro
35570,Alain Guingal,4362,Direttore d'orchestra
35570,Bruno Casoni,7195,Maestro del coro
35571,Alain Guingal,4362,Direttore d'orchestra
35571,Bruno Casoni,7195,Maestro del coro
35572,Alain Guingal,4362,Direttore d'orchestra
35572,Bruno Casoni,7195,Maestro del coro
35573,John Mauceri,7653,Direttore d'orchestra
35573,Bruno Casoni,7195,Maestro del coro
35574,John Mauceri,7653,Direttore d'orchestra
35574,Bruno Casoni,7195,Maestro del coro
35575,John Mauceri,7653,Direttore d'orchestra
35575,Bruno Casoni,7195,Maestro del coro
35576,John Mauceri,7653,Direttore d'orchestra
35576,Bruno Casoni,7195,Maestro del coro
35577,John Mauceri,7653,Direttore d'orchestra
35577,Bruno Casoni,7195,Maestro del coro
35578,John Mauceri,7653,Direttore d'orchestra
35578,Bruno Casoni,7195,Maestro del coro
35579,Mitch Hanlon,7896,Direttore d'orchestra
35579,Bruno Casoni,7195,Maestro del coro
35580,John Mauceri,7653,Direttore d'orchestra
35580,Bruno Casoni,7195,Maestro del coro
35581,Mitch Hanlon,7896,Direttore d'orchestra
35581,Bruno Casoni,7195,Maestro del coro
35582,Evelino Pidò,4005,Direttore d'orchestra
35582,Bruno Casoni,7195,Maestro del coro
35583,Evelino Pidò,4005,Direttore d'orchestra
35583,Bruno Casoni,7195,Maestro del coro
35584,Evelino Pidò,4005,Direttore d'orchestra
35584,Bruno Casoni,7195,Maestro del coro
35585,Evelino Pidò,4005,Direttore d'orchestra
35585,Bruno Casoni,7195,Maestro del coro
35586,Evelino Pidò,4005,Direttore d'orchestra
35586,Bruno Casoni,7195,Maestro del coro
35587,Evelino Pidò,4005,Direttore d'orchestra
35587,Bruno Casoni,7195,Maestro del coro
35588,Evelino Pidò,4005,Direttore d'orchestra
35588,Bruno Casoni,7195,Maestro del coro
35589,Evelino Pidò,4005,Direttore d'orchestra
35589,Bruno Casoni,7195,Maestro del coro
35590,Evelino Pidò,4005,Direttore d'orchestra
35590,Bruno Casoni,7195,Maestro del coro
35591,Evelino Pidò,4005,Direttore d'orchestra
35591,Bruno Casoni,7195,Maestro del coro
35592,Emil Tabakov,7773,Direttore d'orchestra
