id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38803,"Coro del Teatro Regio, Torino",7196,Coro
38804,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38804,"Coro del Teatro Regio, Torino",7196,Coro
38805,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38805,"Coro del Teatro Regio, Torino",7196,Coro
38806,"Orchestra d'Archi propedeutica del Conservatorio “G. Verdi”, Torino",29330,Orchestra
38806,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38807,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38811,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38814,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38814,"Coro del Teatro Regio, Torino",7196,Coro
38815,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38815,"Coro del Teatro Regio, Torino",7196,Coro
38816,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38816,"Coro del Teatro Regio, Torino",7196,Coro
38817,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38817,"Coro del Teatro Regio, Torino",7196,Coro
38818,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38818,"Coro del Teatro Regio, Torino",7196,Coro
38819,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38819,"Coro del Teatro Regio, Torino",7196,Coro
38820,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38820,"Coro del Teatro Regio, Torino",7196,Coro
38821,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38821,"Coro del Teatro Regio, Torino",7196,Coro
38823,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38823,"Coro del Teatro Regio, Torino",7196,Coro
38824,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38824,"Coro del Teatro Regio, Torino",7196,Coro
38825,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38825,"Coro del Teatro Regio, Torino",7196,Coro
38826,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38826,"Coro del Teatro Regio, Torino",7196,Coro
38830,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38830,"Coro del Teatro Regio, Torino",7196,Coro
38831,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38831,"Coro del Teatro Regio, Torino",7196,Coro
38832,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38832,"Coro del Teatro Regio, Torino",7196,Coro
38833,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38833,"Coro del Teatro Regio, Torino",7196,Coro
38834,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38834,"Coro del Teatro Regio, Torino",7196,Coro
38835,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38835,"Coro del Teatro Regio, Torino",7196,Coro
38844,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38854,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38854,"Coro del Teatro Regio, Torino",7196,Coro
38874,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38874,"Coro del Teatro Regio, Torino",7196,Coro
38875,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38875,"Coro del Teatro Regio, Torino",7196,Coro
38902,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38923,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38923,"Coro del Teatro Regio, Torino",7196,Coro
38925,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38925,"Coro del Teatro Regio, Torino",7196,Coro
38927,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38927,"Coro del Teatro Regio, Torino",7196,Coro
38928,"Orchestra China National Centre for the Performing Arts, Pechino",29507,Orchestra
38928,"Coro China National Centre for the Performing Arts, Pechino",29508,Coro
38929,"Orchestra China National Centre for the Performing Arts, Pechino",29507,Orchestra
38929,"Coro China National Centre for the Performing Arts, Pechino",29508,Coro
38930,"Coro del Teatro Regio, Torino",7196,Coro
