"id";"fullpath";"dcTitle"
"11375";"/Persone/Danz, Ingeborg (11375)";"Danz, Ingeborg"
"11376";"/Persone/Ullmann, Marcus (11376)";"Ullmann, Marcus"
"11377";"/Persone/Schmidt, Andreas (11377)";"Schmidt, Andreas"
"11378";"/Persone/Gerhaher, Christian (11378)";"Gerhaher, Christian"
"11379";"/Persone/Boffard, Florent (11379)";"Boffard, Florent"
"11380";"/Persone/Harrison, Lou (11380)";"Harrison, Lou"
"11381";"/Persone/Riley, Terry (11381)";"Riley, Terry"
"11382";"/Persone/Missaglia, Lorenzo (11382)";"Missaglia, Lorenzo"
"11383";"/Persone/Ronchini, Maria (11383)";"Ronchini, Maria"
"11384";"/Persone/Rudic, Martina (11384)";"Rudic, Martina"
"11385";"/Persone/D'Erasmo, Lorenzo (11385)";"D'Erasmo, Lorenzo"
"11386";"/Persone/Bellocchio, Maria Grazia (11386)";"Bellocchio, Maria Grazia"
"11387";"/Persone/Gorli, Sandro (11387)";"Gorli, Sandro"
"11388";"/Persone/Ingólfsson, Atli (11388)";"Ingólfsson, Atli"
"11389";"/Persone/Bortolotti, Mauro (11389)";"Bortolotti, Mauro"
"11390";"/Persone/Belcastro, Luca (11390)";"Belcastro, Luca"
"11391";"/Persone/Garbarino, Giuseppe (11391)";"Garbarino, Giuseppe"
"11392";"/Persone/Marchese, Vittorio (11392)";"Marchese, Vittorio"
"11393";"/Persone/Frauchiger, Katrin (11393)";"Frauchiger, Katrin"
"11394";"/Persone/Zago, Vittorio (11394)";"Zago, Vittorio"
"11395";"/Persone/Miller, Arthur (11395)";"Miller, Arthur"
"11396";"/Persone/Orsini, Umberto (11396)";"Orsini, Umberto"
"11397";"/Persone/Lazzarini, Giulia (11397)";"Lazzarini, Giulia"
"11398";"/Persone/Scarano, Antonello (11398)";"Scarano, Antonello"
"11399";"/Persone/Valentini, Giampaolo (11399)";"Valentini, Giampaolo"
"11400";"/Persone/Mancioppi, Alberto (11400)";"Mancioppi, Alberto"
"11401";"/Persone/Mazzoli, Dario (11401)";"Mazzoli, Dario"
"11402";"/Persone/Valerio, Roberto (11402)";"Valerio, Roberto"
"11403";"/Persone/Lupaioli, Lucilla (11403)";"Lupaioli, Lucilla"
"11404";"/Persone/D'Amico, Martino (11404)";"D'Amico, Martino"
"11405";"/Persone/Vannutelli, Vittorio (11405)";"Vannutelli, Vittorio"
"11406";"/Persone/Bruscoli, Valentina (11406)";"Bruscoli, Valentina"
"11407";"/Persone/Lucifero, Antonio (11407)";"Lucifero, Antonio"
"11408";"/Persone/Guerrieri, Gerardo (11408)";"Guerrieri, Gerardo"
"11409";"/Persone/Pasolini, Pier Paolo (11409)";"Pasolini, Pier Paolo"
"11410";"/Persone/Citti, Sergio (11410)";"Citti, Sergio"
"11411";"/Persone/Paradisi, Giulio (11411)";"Paradisi, Giulio"
"11412";"/Persone/Barberio Corsetti, Giorgio (11412)";"Barberio Corsetti, Giorgio"
"11413";"/Persone/Martone, Mario (11413)";"Martone, Mario"
"11414";"/Persone/Davoli, Ninetto (11414)";"Davoli, Ninetto"
"11415";"/Persone/Alessandri, Lorenzo (11415)";"Alessandri, Lorenzo"
"11416";"/Persone/Bizzi, Maurizio (11416)";"Bizzi, Maurizio"
"11417";"/Persone/Cattellani, Cristina (11417)";"Cattellani, Cristina"
"11418";"/Persone/Colasurdo, Marcello (11418)";"Colasurdo, Marcello"
"11419";"/Persone/Curcione, Gino (11419)";"Curcione, Gino"
"11420";"/Persone/Lanza, Alessandro (11420)";"Lanza, Alessandro"
"11421";"/Persone/Mosca, Gaetano (11421)";"Mosca, Gaetano"
"11422";"/Persone/Romano, Anna (11422)";"Romano, Anna"
"11423";"/Persone/Toschi, Nicoletta (11423)";"Toschi, Nicoletta"
"11424";"/Persone/Vazzoler, Marcello (11424)";"Vazzoler, Marcello"
"11425";"/Persone/Raspanti, Gabriele (11425)";"Raspanti, Gabriele"
"11426";"/Persone/Marlieri, Samuele (11426)";"Marlieri, Samuele"
"11427";"/Persone/Medioli, Stefano (11427)";"Medioli, Stefano"
"11428";"/Persone/Mari, Pasquale (11428)";"Mari, Pasquale"
"11429";"/Persone/Theodoridou, Sonja (11429)";"Theodoridou, Sonja"
"11430";"/Persone/Poulson, Lani (11430)";"Poulson, Lani"
"11431";"/Persone/Hirst, Linda (11431)";"Hirst, Linda"
"11432";"/Persone/Fedeli, Denise (11432)";"Fedeli, Denise"
"11433";"/Persone/Pavese, Cesare (11433)";"Pavese, Cesare"
"11434";"/Persone/Furrer, Beat (11434)";"Furrer, Beat"
"11435";"/Persone/Dufay, Guillaume (11435)";"Dufay, Guillaume"
"11436";"/Persone/Hayrabedian, Roland (11436)";"Hayrabedian, Roland"
"11437";"/Persone/Rivolta, Renato (11437)";"Rivolta, Renato"
"11438";"/Persone/Sitkoveskij, Dmitrij (11438)";"Sitkoveskij, Dmitrij"
"11439";"/Persone/Petrushanskij, Boris (11439)";"Petrushanskij, Boris"
"11440";"/Persone/Perotinus (11440)";"Perotinus"
"11441";"/Persone/Rophé, Pascal (11441)";"Rophé, Pascal"
"11442";"/Persone/Hidalgo, Manuel (11442)";"Hidalgo, Manuel"
"11443";"/Persone/Francesconi, Luca (11443)";"Francesconi, Luca"
"11444";"/Persone/Tadini, Michele (11444)";"Tadini, Michele"
"11445";"/Persone/Romitelli, Fausto (11445)";"Romitelli, Fausto"
"11446";"/Persone/Fómina, Silvia (11446)";"Fómina, Silvia"
"11447";"/Persone/Calandrelli, Jorge (11447)";"Calandrelli, Jorge"
"11448";"/Persone/Polsitskij, Igor (11448)";"Polsitskij, Igor"
"11449";"/Persone/Low, Roger (11449)";"Low, Roger"
"11450";"/Persone/Daniels, Eddie (11450)";"Daniels, Eddie"
"11451";"/Persone/Boyd, Douglas (11451)";"Boyd, Douglas"
"11452";"/Persone/Zoon, Jacques (11452)";"Zoon, Jacques"
"11453";"/Persone/Johnson, Graham (11453)";"Johnson, Graham"
"11454";"/Persone/Skanavi, Ekaterina (11454)";"Skanavi, Ekaterina"
"11455";"/Persone/Davidovich, Bella (11455)";"Davidovich, Bella"
"11456";"/Persone/Walt, Deon van der (11456)";"Walt, Deon van der"
"11457";"/Persone/Claudius, Matthias (11457)";"Claudius, Matthias"
"11458";"/Persone/Panni, Marcello (11458)";"Panni, Marcello"
"11459";"/Persone/Fabbriciani, Roberto (11459)";"Fabbriciani, Roberto"
"11460";"/Persone/Schiaffini, Giancarlo (11460)";"Schiaffini, Giancarlo"
"11461";"/Persone/Aimard, Pierre-Laurent (11461)";"Aimard, Pierre-Laurent"
"11462";"/Persone/Kocsis, Zoltán (11462)";"Kocsis, Zoltán"
"11463";"/Persone/Mirabassi, Gabriele (11463)";"Mirabassi, Gabriele"
"11464";"/Persone/Pietropaoli, Enzo (11464)";"Pietropaoli, Enzo"
"11465";"/Persone/Maras, Fulvio (11465)";"Maras, Fulvio"
"11466";"/Persone/Surman, John (11466)";"Surman, John"
"11467";"/Persone/Brahem, Anouar (11467)";"Brahem, Anouar"
"11468";"/Persone/Holland, Dave (11468)";"Holland, Dave"
"11469";"/Persone/Bregovic, Goran (11469)";"Bregovic, Goran"
"11470";"/Persone/Taylor, Cecil (11470)";"Taylor, Cecil"
"11471";"/Persone/Redman, Dewey (11471)";"Redman, Dewey"
"11472";"/Persone/Douglas, Dave (11472)";"Douglas, Dave"
"11473";"/Persone/Roseman, Joshua (11473)";"Roseman, Joshua"
"11474";"/Persone/Caine, Uri (11474)";"Caine, Uri"
"11475";"/Persone/Genus, James (11475)";"Genus, James"
"11476";"/Persone/Hargrove, Roy (11476)";"Hargrove, Roy"
"11477";"/Persone/Irby, Sherman (11477)";"Irby, Sherman"
"11478";"/Persone/Willis, Larry (11478)";"Willis, Larry"
"11479";"/Persone/Cannon, Gerald (11479)";"Cannon, Gerald"
"11480";"/Persone/Jones, Willie (11480)";"Jones, Willie"
"11481";"/Persone/De Sio, Teresa (11481)";"De Sio, Teresa"
"11482";"/Persone/Marcotulli, Rita (11482)";"Marcotulli, Rita"
"11483";"/Persone/Rodrigues, Virginia (11483)";"Rodrigues, Virginia"
"11484";"/Persone/Evora, Cesaria (11484)";"Evora, Cesaria"
"11485";"/Persone/Rivers, Sam (11485)";"Rivers, Sam"
"11486";"/Persone/Dalla Porta, Paolino (11486)";"Dalla Porta, Paolino"
"11487";"/Persone/Moses, Bob (11487)";"Moses, Bob"
"11488";"/Persone/Mathews, Doug (11488)";"Mathews, Doug"
"11489";"/Persone/Cole, Anthony (11489)";"Cole, Anthony"
"11490";"/Persone/Parlan, Horace (11490)";"Parlan, Horace"
"11491";"/Persone/Dockery, Wayne (11491)";"Dockery, Wayne"
"11492";"/Persone/McCraven, Steve (11492)";"McCraven, Steve"
"11493";"/Persone/Tognazzi, Ricky (11493)";"Tognazzi, Ricky"
"11494";"/Persone/Andreis, Alberto (11494)";"Andreis, Alberto"
"11495";"/Persone/Piovani, Nicola (11495)";"Piovani, Nicola"
"11496";"/Persone/Covatta, Giobbe (11496)";"Covatta, Giobbe"
"11497";"/Persone/Graziosi, Paolo (11497)";"Graziosi, Paolo"
"11498";"/Persone/Reza, Yasmina (11498)";"Reza, Yasmina"
"11499";"/Persone/Manfridi, Giuseppe (11499)";"Manfridi, Giuseppe"
"11500";"/Persone/Albini, Umberto (11500)";"Albini, Umberto"
"11501";"/Persone/Megnaghi, Evelina (11501)";"Megnaghi, Evelina"
"11502";"/Persone/Pireddu, Angelo (11502)";"Pireddu, Angelo"
"11503";"/Persone/Branciaroli, Franco (11503)";"Branciaroli, Franco"
"11504";"/Persone/Bigatto, Paola (11504)";"Bigatto, Paola"
"11505";"/Persone/Piccolomini, Elisabetta (11505)";"Piccolomini, Elisabetta"
"11506";"/Persone/Cesqui, Benedetta (11506)";"Cesqui, Benedetta"
"11507";"/Persone/Di Luca, Ilaria (11507)";"Di Luca, Ilaria"
"11508";"/Persone/Gai Barbieri, Barbara (11508)";"Gai Barbieri, Barbara"
"11509";"/Persone/Giglio, Melania (11509)";"Giglio, Melania"
"11510";"/Persone/Martino Ghiglia, Valentina (11510)";"Martino Ghiglia, Valentina"
"11511";"/Persone/Morandi, Silvana (11511)";"Morandi, Silvana"
"11512";"/Persone/Noce, Irene (11512)";"Noce, Irene"
"11513";"/Persone/Zanoletti, Antonio (11513)";"Zanoletti, Antonio"
"11514";"/Persone/Veneroso, Alfonso (11514)";"Veneroso, Alfonso"
"11515";"/Persone/Alocco, Massimiliano (11515)";"Alocco, Massimiliano"
"11516";"/Persone/Toloni, Marco (11516)";"Toloni, Marco"
"11517";"/Persone/Palmieri, Biagio (11517)";"Palmieri, Biagio"
"11518";"/Persone/Scappin, Jacopo (11518)";"Scappin, Jacopo"
"11519";"/Persone/Reynaud, Jacques (11519)";"Reynaud, Jacques"
"11520";"/Persone/Del Corno, Dario (11520)";"Del Corno, Dario"
"11521";"/Persone/Mauri, Glauco (11521)";"Mauri, Glauco"
"11522";"/Persone/Leveratto, Felice (11522)";"Leveratto, Felice"
"11523";"/Persone/Blanchi, Marco (11523)";"Blanchi, Marco"
"11524";"/Persone/Fontani, Amerigo (11524)";"Fontani, Amerigo"
"11525";"/Persone/Michienzi, Pino (11525)";"Michienzi, Pino"
"11526";"/Persone/Cucco, Giuseppe (11526)";"Cucco, Giuseppe"
"11527";"/Persone/Sturno, Roberto (11527)";"Sturno, Roberto"
"11528";"/Persone/Esposito, Raffaele (11528)";"Esposito, Raffaele"
"11529";"/Persone/Lama, Ernesto (11529)";"Lama, Ernesto"
"11530";"/Persone/Aprea, Gaia (11530)";"Aprea, Gaia"
"11531";"/Persone/Bocciarelli, Vincenzo (11531)";"Bocciarelli, Vincenzo"
"11532";"/Persone/Annecchino, Arturo (11532)";"Annecchino, Arturo"
"11533";"/Persone/Grasso, Giovanni (11533)";"Grasso, Giovanni"
"11534";"/Persone/Donadoni, Maurizio (11534)";"Donadoni, Maurizio"
"11535";"/Persone/Rizzuti, Giovanni (11535)";"Rizzuti, Giovanni"
"11536";"/Persone/Azim, Raffaella (11536)";"Azim, Raffaella"
"11537";"/Persone/Lanza, Giorgio (11537)";"Lanza, Giorgio"
"11538";"/Persone/Mecca, Massimiliano (11538)";"Mecca, Massimiliano"
"11539";"/Persone/Maselli, Titina (11539)";"Maselli, Titina"
"11540";"/Persone/Salvatori, Giancarlo (11540)";"Salvatori, Giancarlo"
"11541";"/Persone/Magris, Claudio (11541)";"Magris, Claudio"
"11542";"/Persone/Cara, Ruggero (11542)";"Cara, Ruggero"
"11543";"/Persone/Stefanin, Stefania (11543)";"Stefanin, Stefania"
"11544";"/Persone/Melia, Silvano (11544)";"Melia, Silvano"
"11545";"/Persone/Cossu, Giorgio (11545)";"Cossu, Giorgio"
"11546";"/Persone/Volpi, Giorgio (11546)";"Volpi, Giorgio"
"11547";"/Persone/Scudella, Laura (11547)";"Scudella, Laura"
"11548";"/Persone/Bedosti, Alessandro (11548)";"Bedosti, Alessandro"
"11549";"/Persone/Abbondanza, Michele (11549)";"Abbondanza, Michele"
"11550";"/Persone/Bertoni, Alessandra (11550)";"Bertoni, Alessandra"
"11551";"/Persone/Falqui, Stefano (11551)";"Falqui, Stefano"
"11552";"/Persone/Zoffoli, Stefano (11552)";"Zoffoli, Stefano"
"11553";"/Persone/Allegri, Eugenio (11553)";"Allegri, Eugenio"
"11554";"/Persone/Brancato, Celeste (11554)";"Brancato, Celeste"
"11555";"/Persone/Toffolatti, Sandra (11555)";"Toffolatti, Sandra"
"11556";"/Persone/Frontini, Camilla (11556)";"Frontini, Camilla"
"11557";"/Persone/Gueye, Modou (11557)";"Gueye, Modou"
"11558";"/Persone/Meloni, Paolo (11558)";"Meloni, Paolo"
"11559";"/Persone/Mora, Stefano (11559)";"Mora, Stefano"
"11560";"/Persone/Roncroffi, Paolo (11560)";"Roncroffi, Paolo"
"11561";"/Persone/Mannini, Armando (11561)";"Mannini, Armando"
"11562";"/Persone/Green, Adolph (11562)";"Green, Adolph"
"11563";"/Persone/Steele, Tommy (11563)";"Steele, Tommy"
"11564";"/Persone/Gennaro, Peter (11564)";"Gennaro, Peter"
"11565";"/Persone/Paganini, Raffaele (11565)";"Paganini, Raffaele"
"11566";"/Persone/Frattini, Manuel (11566)";"Frattini, Manuel"
"11567";"/Persone/Astolfi, Flavia (11567)";"Astolfi, Flavia"
"11568";"/Persone/Amaldi, Ilaria (11568)";"Amaldi, Ilaria"
"11569";"/Persone/Boni, Giovanni (11569)";"Boni, Giovanni"
"11570";"/Persone/Ferrari, Fabio (11570)";"Ferrari, Fabio"
"11571";"/Persone/Morini, Barbara (11571)";"Morini, Barbara"
"11572";"/Persone/Paradiso, Tiziana (11572)";"Paradiso, Tiziana"
"11573";"/Persone/Whitehead, Claire (11573)";"Whitehead, Claire"
"11574";"/Persone/De Filippis, Fabio (11574)";"De Filippis, Fabio"
"11575";"/Persone/Monti, Fabio (11575)";"Monti, Fabio"
"11576";"/Persone/Vergoni, Gianfranco (11576)";"Vergoni, Gianfranco"
"11577";"/Persone/Marconi, Saverio (11577)";"Marconi, Saverio"
"11578";"/Persone/Parrinello, Richard (11578)";"Parrinello, Richard"
"11579";"/Persone/De Vincentiis, Zaira (11579)";"De Vincentiis, Zaira"
"11580";"/Persone/Vinattieri, Paolo (11580)";"Vinattieri, Paolo"
"11581";"/Persone/Cuomo, Franco (11581)";"Cuomo, Franco"
"11582";"/Persone/Maglietta, Licia (11582)";"Maglietta, Licia"
"11583";"/Persone/Dondi, Ruggero (11583)";"Dondi, Ruggero"
"11584";"/Persone/Giovara, Massimo (11584)";"Giovara, Massimo"
"11585";"/Persone/Scarpa, Luciano (11585)";"Scarpa, Luciano"
"11586";"/Persone/Somaglino, Massimo (11586)";"Somaglino, Massimo"
"11587";"/Persone/Fantini, Fabiano (11587)";"Fantini, Fabiano"
"11588";"/Persone/Toracca, Luca (11588)";"Toracca, Luca"
"11589";"/Persone/Donati, Orazio (11589)";"Donati, Orazio"
"11590";"/Persone/Cantarutti, Antonio (11590)";"Cantarutti, Antonio"
"11591";"/Persone/Giammarini, Cristian Maria (11591)";"Giammarini, Cristian Maria"
"11592";"/Persone/Remi, Marina (11592)";"Remi, Marina"
"11593";"/Persone/Sala, Carlo (11593)";"Sala, Carlo"
"11594";"/Persone/Frigerio, Nando (11594)";"Frigerio, Nando"
"11595";"/Persone/De Capitani, Elio (11595)";"De Capitani, Elio"
"11596";"/Persone/Omboni, Ida (11596)";"Omboni, Ida"
"11597";"/Persone/Strabioli, Pino (11597)";"Strabioli, Pino"
"11598";"/Persone/Calci, Paolo (11598)";"Calci, Paolo"
"11599";"/Persone/De Filippis, Alfonso (11599)";"De Filippis, Alfonso"
"11600";"/Persone/Portanti, Paolo (11600)";"Portanti, Paolo"
"11601";"/Persone/Spadola, Rosario (11601)";"Spadola, Rosario"
"11602";"/Persone/Perrotin, Jacquelin (11602)";"Perrotin, Jacquelin"
"11603";"/Persone/Swift, Jonathan (11603)";"Swift, Jonathan"
"11604";"/Persone/Russo, Adriana (11604)";"Russo, Adriana"
"11605";"/Persone/Pirolli, Andrea (11605)";"Pirolli, Andrea"
"11606";"/Persone/Perinelli, Paolo (11606)";"Perinelli, Paolo"
"11607";"/Persone/Boccaccini, Claudio (11607)";"Boccaccini, Claudio"
"11608";"/Persone/Cioncolini, Stefano (11608)";"Cioncolini, Stefano"
"11609";"/Persone/Santos, O. (11609)";"Santos, O."
"11610";"/Persone/Pace, Massimiliano (11610)";"Pace, Massimiliano"
"11611";"/Persone/Gaber, Giorgio (11611)";"Gaber, Giorgio"
"11612";"/Persone/Luporini, Sandro (11612)";"Luporini, Sandro"
"11613";"/Persone/Campoccia, Luigi (11613)";"Campoccia, Luigi"
"11614";"/Persone/De Mattei, Claudio (11614)";"De Mattei, Claudio"
"11615";"/Persone/Martini, Gianni (11615)";"Martini, Gianni"
"11616";"/Persone/Ravagni, Luca (11616)";"Ravagni, Luca"
"11617";"/Persone/Spigno, Enrico (11617)";"Spigno, Enrico"
"11618";"/Persone/Benetti, Marco (11618)";"Benetti, Marco"
"11619";"/Persone/Tocchi, Alberto (11619)";"Tocchi, Alberto"
"11620";"/Persone/Martinelli, Milli (11620)";"Martinelli, Milli"
"11621";"/Persone/Stein, Peter (11621)";"Stein, Peter"
"11622";"/Persone/Wögerbauer, Ferdinand (11622)";"Wögerbauer, Ferdinand"
"11623";"/Persone/Bickel, Moidele (11623)";"Bickel, Moidele"
"11624";"/Persone/Crippa, Maddalena (11624)";"Crippa, Maddalena"
"11625";"/Persone/Herlitzka, Roberto (11625)";"Herlitzka, Roberto"
"11626";"/Persone/Girone, Remo (11626)";"Girone, Remo"
"11627";"/Persone/Sollazzo, Bianca (11627)";"Sollazzo, Bianca"
"11628";"/Persone/Fochi, Giovanni (11628)";"Fochi, Giovanni"
"11629";"/Persone/Coloretti, Claudio (11629)";"Coloretti, Claudio"
"11630";"/Persone/Nanni, Giancarlo (11630)";"Nanni, Giancarlo"
"11631";"/Persone/Attene, Vittorio (11631)";"Attene, Vittorio"
"11632";"/Persone/Fedele, Massimo (11632)";"Fedele, Massimo"
"11633";"/Persone/Kustermann, Manuela (11633)";"Kustermann, Manuela"
"11634";"/Persone/Lorimer, Paul (11634)";"Lorimer, Paul"
"11635";"/Persone/Palladino, Maurizio (11635)";"Palladino, Maurizio"
"11636";"/Persone/Palmieri, Sandro (11636)";"Palmieri, Sandro"
"11637";"/Persone/Vagoni, Alessandro (11637)";"Vagoni, Alessandro"
"11638";"/Persone/Venturini, Caterina (11638)";"Venturini, Caterina"
"11639";"/Persone/Taddei, Andrea (11639)";"Taddei, Andrea"
"11640";"/Persone/Williams, Tennessee (11640)";"Williams, Tennessee"
"11641";"/Persone/Venturiello, Massimo (11641)";"Venturiello, Massimo"
"11642";"/Persone/Dante, Emma (11642)";"Dante, Emma"
"11643";"/Persone/Detoni, Giovanna (11643)";"Detoni, Giovanna"
"11644";"/Persone/Fabbris, Mariella (11644)";"Fabbris, Mariella"
"11645";"/Persone/Fabris, Mattia (11645)";"Fabris, Mattia"
"11646";"/Persone/Sabet, Massimo (11646)";"Sabet, Massimo"
"11647";"/Persone/Schiros, Beatrice (11647)";"Schiros, Beatrice"
"11648";"/Persone/Tomassini, Alessandra (11648)";"Tomassini, Alessandra"
"11649";"/Persone/Torniai, Anna Maria (11649)";"Torniai, Anna Maria"
"11650";"/Persone/D'Amico, Masolino (11650)";"D'Amico, Masolino"
"11651";"/Persone/Chiti, Ugo (11651)";"Chiti, Ugo"
"11652";"/Persone/Benvenuti, Alessandro (11652)";"Benvenuti, Alessandro"
"11653";"/Persone/Fariselli, Patrizio (11653)";"Fariselli, Patrizio"
"11654";"/Persone/Viani, Maurizio (11654)";"Viani, Maurizio"
"11655";"/Persone/De Filippo, Luca (11655)";"De Filippo, Luca"
"11656";"/Persone/Nardone, Sebastiano (11656)";"Nardone, Sebastiano"
"11657";"/Persone/Porfito, Mario (11657)";"Porfito, Mario"
"11658";"/Persone/Biscione, Francesco (11658)";"Biscione, Francesco"
"11659";"/Persone/Bellissimo, Umberto (11659)";"Bellissimo, Umberto"
"11660";"/Persone/Giulivo, Lello (11660)";"Giulivo, Lello"
"11661";"/Persone/Serra, Paolo (11661)";"Serra, Paolo"
"11662";"/Persone/Micheli, Stefania (11662)";"Micheli, Stefania"
"11663";"/Persone/Esposito, Lalla (11663)";"Esposito, Lalla"
"11664";"/Persone/Salvato, Isabella (11664)";"Salvato, Isabella"
"11665";"/Persone/Garofalo, Bruno (11665)";"Garofalo, Bruno"
"11666";"/Persone/Polidori, Silvia (11666)";"Polidori, Silvia"
"11667";"/Persone/Belli, Massimo (11667)";"Belli, Massimo"
"11668";"/Persone/Pala, Alessandro (11668)";"Pala, Alessandro"
"11669";"/Persone/Ciompi Benelli, Lorenzo (11669)";"Ciompi Benelli, Lorenzo"
"11670";"/Persone/Robutti, Enzo (11670)";"Robutti, Enzo"
"11671";"/Persone/Cicciò, Giampiero (11671)";"Cicciò, Giampiero"
"11672";"/Persone/Sciacca, Franco (11672)";"Sciacca, Franco"
"11673";"/Persone/Esposito, Pasquale (11673)";"Esposito, Pasquale"
"11674";"/Persone/Giachero, Cristina (11674)";"Giachero, Cristina"
"11675";"/Persone/Ginex, Giorgio (11675)";"Ginex, Giorgio"
"11676";"/Persone/Valli, Carlo (11676)";"Valli, Carlo"
"11677";"/Persone/Foglino, Remo (11677)";"Foglino, Remo"
"11678";"/Persone/Moratti, Bedy (11678)";"Moratti, Bedy"
"11679";"/Persone/Deramo, Nicola (11679)";"Deramo, Nicola"
"11680";"/Persone/Spinazzè, Simone (11680)";"Spinazzè, Simone"
"11681";"/Persone/Giordano, Sandro (11681)";"Giordano, Sandro"
"11682";"/Persone/Oppes, Giuliano (11682)";"Oppes, Giuliano"
"11683";"/Persone/Scola, Gualtiero (11683)";"Scola, Gualtiero"
"11684";"/Persone/Palombi, Salvatore (11684)";"Palombi, Salvatore"
"11685";"/Persone/Morelli, Filippo (11685)";"Morelli, Filippo"
"11686";"/Persone/Osborne, John (11686)";"Osborne, John"
"11687";"/Persone/Greco, Gabriele (11687)";"Greco, Gabriele"
"11688";"/Persone/Serafini, Enrico (11688)";"Serafini, Enrico"
"11689";"/Persone/Spiazzi, Alberto (11689)";"Spiazzi, Alberto"
"11690";"/Persone/Lombardo, Agostino (11690)";"Lombardo, Agostino"
"11691";"/Persone/Rossi, Paolo (11691)";"Rossi, Paolo"
"11692";"/Persone/Piferi, Riccardo (11692)";"Piferi, Riccardo"
"11693";"/Persone/Vignali, Luigi (11693)";"Vignali, Luigi"
"11694";"/Persone/Mozzati, Michele (11694)";"Mozzati, Michele"
"11695";"/Persone/Fo, Dario (11695)";"Fo, Dario"
"11696";"/Persone/Fo, Jacopo (11696)";"Fo, Jacopo"
"11697";"/Persone/Modesti, Fabio (11697)";"Modesti, Fabio"
"11698";"/Persone/Solari, Giampiero (11698)";"Solari, Giampiero"
"11699";"/Persone/Minutolo, Saverio (11699)";"Minutolo, Saverio"
"11700";"/Persone/Gabbioneta, Elisabetta (11700)";"Gabbioneta, Elisabetta"
"11701";"/Persone/Baratta, Giordano (11701)";"Baratta, Giordano"
"11702";"/Persone/Bono, Mariolina (11702)";"Bono, Mariolina"
"11703";"/Persone/Zernitz, Virgilio (11703)";"Zernitz, Virgilio"
"11704";"/Persone/De Sanctis, Silvana (11704)";"De Sanctis, Silvana"
"11705";"/Persone/Bianchi, Lu (11705)";"Bianchi, Lu"
"11706";"/Persone/Pulci, Tonino (11706)";"Pulci, Tonino"
"11707";"/Persone/Villoresi, Pamela (11707)";"Villoresi, Pamela"
"11708";"/Persone/Armando, Bruno (11708)";"Armando, Bruno"
"11709";"/Persone/Falzarano, Fulvio (11709)";"Falzarano, Fulvio"
"11710";"/Persone/Romano, Dora (11710)";"Romano, Dora"
"11711";"/Persone/Panici, Maurizio (11711)";"Panici, Maurizio"
"11712";"/Persone/Genuardi, Pietro (11712)";"Genuardi, Pietro"
"11713";"/Persone/Croce, Massimiliano (11713)";"Croce, Massimiliano"
"11714";"/Persone/Porfidia, Enzo (11714)";"Porfidia, Enzo"
"11715";"/Persone/Pomodoro, Arnaldo (11715)";"Pomodoro, Arnaldo"
"11716";"/Persone/Nunzi, Massimo (11716)";"Nunzi, Massimo"
"11717";"/Persone/Palmieri, Marco (11717)";"Palmieri, Marco"
"11718";"/Persone/Artale, Ruggero (11718)";"Artale, Ruggero"
"11719";"/Persone/Anouilh, Jean (11719)";"Anouilh, Jean"
"11720";"/Persone/Franci, Adolfo (11720)";"Franci, Adolfo"
"11721";"/Persone/Mazzotta, Giuseppe (11721)";"Mazzotta, Giuseppe"
"11722";"/Persone/Allocca, Lucio (11722)";"Allocca, Lucio"
"11723";"/Persone/Ilari, Giancarlo (11723)";"Ilari, Giancarlo"
"11724";"/Persone/Grassi, Moira (11724)";"Grassi, Moira"
"11725";"/Persone/Carpentieri, Renato (11725)";"Carpentieri, Renato"
"11726";"/Persone/Serao, Lello (11726)";"Serao, Lello"
"11727";"/Persone/Marfella, Antonio (11727)";"Marfella, Antonio"
"11728";"/Persone/Esposito, Giovanni (11728)";"Esposito, Giovanni"
"11729";"/Persone/Mozzo, Arrigo (11729)";"Mozzo, Arrigo"
"11730";"/Persone/Resteghini, Robert John (11730)";"Resteghini, Robert John"
"11731";"/Persone/Lombardi, Sandro (11731)";"Lombardi, Sandro"
"11732";"/Persone/Contartese, Tony (11732)";"Contartese, Tony"
"11733";"/Persone/Castrini, Giselda (11733)";"Castrini, Giselda"
"11734";"/Persone/Arrigo, Adriano (11734)";"Arrigo, Adriano"
"11735";"/Persone/Arcidiacono, Alessandra (11735)";"Arcidiacono, Alessandra"
"11736";"/Persone/Israel, Davide (11736)";"Israel, Davide"
"11737";"/Persone/Corneille, Pierre (11737)";"Corneille, Pierre"
"11738";"/Persone/Longoni, Angelo (11738)";"Longoni, Angelo"
"11739";"/Persone/Gassman, Vittorio (11739)";"Gassman, Vittorio"
"11740";"/Persone/Tognazzi, Gianmarco (11740)";"Tognazzi, Gianmarco"
"11741";"/Persone/Renzi, Sandra (11741)";"Renzi, Sandra"
"11742";"/Persone/Martino, Stefano (11742)";"Martino, Stefano"
"11743";"/Persone/Conte, Paolo (11743)";"Conte, Paolo"
"11744";"/Persone/Veber, Francis (11744)";"Veber, Francis"
"11745";"/Persone/Jacquier, Sergio (11745)";"Jacquier, Sergio"
"11746";"/Persone/Pambieri, Giuseppe (11746)";"Pambieri, Giuseppe"
"11747";"/Persone/Spada, Sofia (11747)";"Spada, Sofia"
"11748";"/Persone/Marchi, Mario (11748)";"Marchi, Mario"
"11749";"/Persone/Beruschi, Enrico (11749)";"Beruschi, Enrico"
