"id";"fullpath";"dcTitle"
"9661";"/Persone/Vinco, Ivo (9661)";"Vinco, Ivo"
"9662";"/Persone/Maazel, Lorin (9662)";"Maazel, Lorin"
"9663";"/Persone/Ferrin, Agostino (9663)";"Ferrin, Agostino"
"9664";"/Persone/Scotto, Renata (9664)";"Scotto, Renata"
"9665";"/Persone/Aragall, Giacomo (9665)";"Aragall, Giacomo"
"9666";"/Persone/Vivaldi, Antonio (9666)";"Vivaldi, Antonio"
"9667";"/Persone/Caroli, Paolo (9667)";"Caroli, Paolo"
"9668";"/Persone/Rossi Lemeni, Nicola (9668)";"Rossi Lemeni, Nicola"
"9669";"/Persone/Corelli, Franco (9669)";"Corelli, Franco"
"9670";"/Persone/Cava, Carlo (9670)";"Cava, Carlo"
"9671";"/Persone/Carreras, José (9671)";"Carreras, José"
"9672";"/Persone/Cillario, Carlo Felice (9672)";"Cillario, Carlo Felice"
"9673";"/Persone/Ferraro, Piermiranda (9673)";"Ferraro, Piermiranda"
"9674";"/Persone/Rescigno, Nicola (9674)";"Rescigno, Nicola"
"9675";"/Persone/Cappuccilli, Piero (9675)";"Cappuccilli, Piero"
"9676";"/Persone/Raimondi, Ruggero (9676)";"Raimondi, Ruggero"
"9677";"/Persone/Bruscantini, Sesto (9677)";"Bruscantini, Sesto"
"9678";"/Persone/Panerai, Rolando (9678)";"Panerai, Rolando"
"9679";"/Persone/Siepi, Cesare (9679)";"Siepi, Cesare"
"9680";"/Persone/Tagliavini, Ferruccio (9680)";"Tagliavini, Ferruccio"
"9681";"/Persone/Campi, Enrico (9681)";"Campi, Enrico"
"9682";"/Persone/Zilio, Elena (9682)";"Zilio, Elena"
"9683";"/Persone/Cioni, Renato (9683)";"Cioni, Renato"
"9684";"/Persone/Trimarchi, Domenico (9684)";"Trimarchi, Domenico"
"9685";"/Persone/Scarlini, Glauco (9685)";"Scarlini, Glauco"
"9686";"/Persone/Sanzogno, Nino (9686)";"Sanzogno, Nino"
"9687";"/Persone/Zambon, Amedeo (9687)";"Zambon, Amedeo"
"9688";"/Persone/Shirley-Quirk, John (9688)";"Shirley-Quirk, John"
"9689";"/Persone/Wailly, Léon de (9689)";"Wailly, Léon de"
"9690";"/Persone/Barbier, Auguste (9690)";"Barbier, Auguste"
"9691";"/Persone/Ghiuselev, Nicolai (9691)";"Ghiuselev, Nicolai"
"9692";"/Persone/Pappas, George (9692)";"Pappas, George"
"9693";"/Persone/Gandonnière, Almire (9693)";"Gandonnière, Almire"
"9694";"/Persone/Nerval, Gérard de (9694)";"Nerval, Gérard de"
"9695";"/Persone/Daudet, Alphonse (9695)";"Daudet, Alphonse"
"9696";"/Persone/Meilhac, Henri (9696)";"Meilhac, Henri"
"9697";"/Persone/Freni, Mirella (9697)";"Freni, Mirella"
"9698";"/Persone/Guelfi, Giangiacomo (9698)";"Guelfi, Giangiacomo"
"9699";"/Persone/Gallet, Louis (9699)";"Gallet, Louis"
"9700";"/Persone/Cormon, Eugène (9700)";"Cormon, Eugène"
"9701";"/Persone/Carré, Michel (9701)";"Carré, Michel"
"9702";"/Persone/Tebaldi, Renata (9702)";"Tebaldi, Renata"
"9703";"/Persone/Danieli, Lucia (9703)";"Danieli, Lucia"
"9704";"/Persone/Crozier, Eric (9704)";"Crozier, Eric"
"9705";"/Persone/Slater, Montagu (9705)";"Slater, Montagu"
"9706";"/Persone/Silovskij, Konstantin S. (9706)";"Silovskij, Konstantin S."
"9707";"/Persone/Zanardini, Angelo (9707)";"Zanardini, Angelo"
"9708";"/Persone/Gaetani, Lorenzo (9708)";"Gaetani, Lorenzo"
"9709";"/Persone/Guelfi, Piero (9709)";"Guelfi, Piero"
"9710";"/Persone/Illica, Luigi (9710)";"Illica, Luigi"
"9711";"/Persone/Gardino, Jolanda (9711)";"Gardino, Jolanda"
"9712";"/Persone/Marimpietri, Lydia (9712)";"Marimpietri, Lydia"
"9713";"/Persone/Mariotti, Alfredo (9713)";"Mariotti, Alfredo"
"9714";"/Persone/Jouy, Victor-Joseph Étienne de (9714)";"Jouy, Victor-Joseph Étienne de"
"9715";"/Persone/Natali, Valiano (9715)";"Natali, Valiano"
"9716";"/Persone/Giulini, Carlo Maria (9716)";"Giulini, Carlo Maria"
"9717";"/Persone/Ganzarolli, Wladimiro (9717)";"Ganzarolli, Wladimiro"
"9718";"/Persone/Montarsolo, Paolo (9718)";"Montarsolo, Paolo"
"9719";"/Persone/Carbonari, Virgilio (9719)";"Carbonari, Virgilio"
"9720";"/Persone/Santunione, Orianna (9720)";"Santunione, Orianna"
"9721";"/Persone/Borgonovo, Otello (9721)";"Borgonovo, Otello"
"9722";"/Persone/Ligabue, Ilva (9722)";"Ligabue, Ilva"
"9723";"/Persone/Hoffman, François-Benôit (9723)";"Hoffman, François-Benôit"
"9724";"/Persone/Gardelli, Lamberto (9724)";"Gardelli, Lamberto"
"9725";"/Persone/Colautti, Arturo (9725)";"Colautti, Arturo"
"9726";"/Persone/Olivero, Magda (9726)";"Olivero, Magda"
"9727";"/Persone/Marenco, Leopoldo (9727)";"Marenco, Leopoldo"
"9728";"/Persone/Protti, Aldo (9728)";"Protti, Aldo"
"9729";"/Persone/Zerbini, Antonio (9729)";"Zerbini, Antonio"
"9730";"/Persone/Alva, Luigi (9730)";"Alva, Luigi"
"9731";"/Persone/Petrosellini, Giuseppe (9731)";"Petrosellini, Giuseppe"
"9732";"/Persone/Bertati, Giovanni (9732)";"Bertati, Giovanni"
"9733";"/Persone/Badioli, Carlo (9733)";"Badioli, Carlo"
"9734";"/Persone/Gondinet, Edmond (9734)";"Gondinet, Edmond"
"9735";"/Persone/Gille, Philippe (9735)";"Gille, Philippe"
"9736";"/Persone/Browning, Lucielle (9736)";"Browning, Lucielle"
"9737";"/Persone/Ferretti, Jacopo (9737)";"Ferretti, Jacopo"
"9738";"/Persone/Benelli, Ugo (9738)";"Benelli, Ugo"
"9739";"/Persone/Fusco, Cecilia (9739)";"Fusco, Cecilia"
"9740";"/Persone/Gencer, Leyla (9740)";"Gencer, Leyla"
"9741";"/Persone/Carlin, Mario (9741)";"Carlin, Mario"
"9742";"/Persone/Cammarano, Salvatore (9742)";"Cammarano, Salvatore"
"9743";"/Persone/Taddei, Giuseppe (9743)";"Taddei, Giuseppe"
"9744";"/Persone/Pecile, Mirna (9744)";"Pecile, Mirna"
"9745";"/Persone/Grilli, Umberto (9745)";"Grilli, Umberto"
"9746";"/Persone/Rinaldi, Alberto (9746)";"Rinaldi, Alberto"
"9747";"/Persone/Gracis, Ettore (9747)";"Gracis, Ettore"
"9748";"/Persone/Ruffini, Giovanni (9748)";"Ruffini, Giovanni"
"9749";"/Persone/Molinari Pradelli, Francesco (9749)";"Molinari Pradelli, Francesco"
"9750";"/Persone/Basiola, Mario (9750)";"Basiola, Mario"
"9751";"/Persone/Carteri, Rosanna (9751)";"Carteri, Rosanna"
"9752";"/Persone/Royer, Alphonse (9752)";"Royer, Alphonse"
"9753";"/Persone/Vaëz, Gustave (9753)";"Vaëz, Gustave"
"9754";"/Persone/Barbieri, Fedora (9754)";"Barbieri, Fedora"
"9755";"/Persone/Vernoy de Saint-Georges, Jules-Henry (9755)";"Vernoy de Saint-Georges, Jules-Henry"
"9756";"/Persone/Bayard, Jean-François-Alfred (9756)";"Bayard, Jean-François-Alfred"
"9757";"/Persone/Rossi, Gaetano (9757)";"Rossi, Gaetano"
"9758";"/Persone/Ariè, Raffaele (9758)";"Ariè, Raffaele"
"9759";"/Persone/Casellato, Renzo (9759)";"Casellato, Renzo"
"9760";"/Persone/Verrett, Shirley (9760)";"Verrett, Shirley"
"9761";"/Persone/Tagger, Nicola (9761)";"Tagger, Nicola"
"9762";"/Persone/Colzani, Anselmo (9762)";"Colzani, Anselmo"
"9763";"/Persone/Gimenez, Eduardo (9763)";"Gimenez, Eduardo"
"9764";"/Persone/Meneguzzer, Jolanda (9764)";"Meneguzzer, Jolanda"
"9765";"/Persone/Andreolli, Florindo (9765)";"Andreolli, Florindo"
"9766";"/Persone/Cattini, Umberto (9766)";"Cattini, Umberto"
"9767";"/Persone/Pontiggia, Luigi (9767)";"Pontiggia, Luigi"
"9768";"/Persone/Davia, Federico (9768)";"Davia, Federico"
"9769";"/Persone/Bondino, Ruggero (9769)";"Bondino, Ruggero"
"9770";"/Persone/Glossop, Peter (9770)";"Glossop, Peter"
"9771";"/Persone/Dvorák, Antonín (9771)";"Dvorák, Antonín"
"9772";"/Persone/Kvapil, Jaroslav (9772)";"Kvapil, Jaroslav"
"9773";"/Persone/Forzano, Giovacchino (9773)";"Forzano, Giovacchino"
"9774";"/Persone/Friedrich, Wilhelm (9774)";"Friedrich, Wilhelm"
"9775";"/Persone/Rizzieri, Elena (9775)";"Rizzieri, Elena"
"9776";"/Persone/Bettarini, Luciano (9776)";"Bettarini, Luciano"
"9777";"/Persone/Goldoni, Carlo (9777)";"Goldoni, Carlo"
"9778";"/Persone/Heyward, Du Bose (9778)";"Heyward, Du Bose"
"9779";"/Persone/Gershwin, Ira (9779)";"Gershwin, Ira"
