id,dcType,dcTitle,dcDescription,to,from,datetext,fullpath,luoghi_collegati,enti_collegati,persone_collegate,produzioni_collegate,manifestazioni_recite_concerti_collegati,operemusicali_collegate,produzioni_collegate_id,manifestazioni_recite_concerti_collegati_id,operemusicali_collegate_id,persone_collegate_id,enti_collegati_id,luoghi_collegati_id
49444,Lirica,Stagione lirica 1964,,1964-01-25,1964-01-03,1964,/Stagioni/1964 Stagione lirica 1964 (49444),,,,"/Produzioni/1963 Il gallo d'oro (55385),/Produzioni/1964 Così fan tutte (55386),/Produzioni/Il flauto magico (55412),/Produzioni/Petruška (55793),/Produzioni/1963 L'uccello di fuoco (55794),/Produzioni/1963 Danubio blu (55796),/Produzioni/Rapsodia in blu (55797),/Produzioni/1963-1964 Ernani (55384),/Produzioni/1964 Otello (55383)","/Recite/03-01-1964 Otello (60080),/Recite/05-01-1964 Otello (60081),/Recite/08-01-1964 Balletto del Teatro dell'Opera di Sarajevo (60693),/Recite/12-01-1964 Ernani (60082),/Recite/14-01-1964 Ernani (60083),/Concerti/16-01-1964 Concerto vocale strumentale (52585),/Recite/21-01-1964 Il gallo d'oro (60690),/Recite/23-01-1964 Balletto del Teatro Nazionale dell'Opera di Lubiana (60691),/Recite/25-01-1964 Così fan tutte (60084)",,"55385, 55386, 55412, 55793, 55794, 55796, 55797, 55384, 55383","60080, 60081, 60693, 60082, 60083, 52585, 60690, 60691, 60084",,,,
49463,Lirica,150°: Musical Operetta 2006-07,,2007-04-29,2006-12-08,2006 - 2007,/Stagioni/2006 - 2007 150°: Musical Operetta 2006-07 (49463),,,,"/Produzioni/2007 Cin Ci Là (55724),/Produzioni/2005 Tutti insieme appassionatamente (55640),/Produzioni/2005 Datemi tre caravelle (55728),/Produzioni/2006-2007 Pover Crist Superstar (55767)","/Recite/08-12-2006 Tutti insieme appassionatamente (60408),/Recite/09-12-2006 Tutti insieme appassionatamente (60409),/Recite/10-12-2006 Tutti insieme appassionatamente (60410),/Recite/10-12-2006 Tutti insieme appassionatamente (60411),/Recite/23-02-2007 Cin Ci Là (60597),/Recite/24-02-2007 Cin Ci Là (60598),/Recite/25-02-2007 Cin Ci Là (60599),/Recite/25-02-2007 Cin Ci Là (60600),/Recite/09-03-2007 Datemi tre caravelle (60607),/Recite/10-03-2007 Datemi tre caravelle (60608),/Recite/11-03-2007 Datemi tre caravelle (60609),/Recite/11-03-2007 Datemi tre caravelle (60610),/Recite/27-04-2007 Pover Crist Superstar (60656),/Recite/28-04-2007 Pover Crist Superstar (61010),/Recite/29-04-2007 Pover Crist Superstar (61011)",,"55724, 55640, 55728, 55767","60408, 60409, 60410, 60411, 60597, 60598, 60599, 60600, 60607, 60608, 60609, 60610, 60656, 61010, 61011",,,,
49466,Lirica,150°: Opera 2007,,2007-11-30,2007-01-01,2007,/Stagioni/2007 150°: Opera 2007 (49466),,,,"/Produzioni/2007 Boris Godunov (55726),/Produzioni/2007 Progetto Miracolo a Milano (56729),/Produzioni/2007 Orfeo ed Euridice (55693),/Produzioni/2007 Simon Boccanegra (55884)","/Manifestazioni/24-01-2007 Intorno a 'Orfeo ed Euridice' di Gluck (64718),/Recite/26-01-2007 Orfeo ed Euridice (60513),/Recite/28-01-2007 Orfeo ed Euridice (60514),/Recite/03-03-2007 Boris Godunov (60605),/Recite/04-03-2007 Boris Godunov (60606),/Recite/06-11-2007 Totò il buonooooo (62912),/Recite/06-11-2007 Miracolo a Milano (62914),/Recite/06-11-2007 Petrolio: Ken Saro-Wiwa poeta e martire (Nigeria 1941-1995) (62916),/Recite/08-11-2007 Totò il buonooooo (62913),/Recite/08-11-2007 Miracolo a Milano (62915),/Recite/08-11-2007 Petrolio: Ken Saro-Wiwa poeta e martire (Nigeria 1941-1995) (62917),/Recite/25-11-2007 Simon Boccanegra (60834),/Recite/27-11-2007 Simon Boccanegra (60835)",,"55726, 56729, 55693, 55884","64718, 60513, 60514, 60605, 60606, 62912, 62914, 62916, 62913, 62915, 62917, 60834, 60835",,,,
49476,Lirica,"XI Concorso Internazionale di canto ""Premio A. Peri"" [1970]",,1970-06-02,1970-06-01,01/06/1970 - 02/06/1970,"/Stagioni/01-06-1970 - 02-06-1970 XI Concorso Internazionale di canto ""Premio A. Peri"" [1970] (49476)",,,,,/Concerti/02-06-1970 Premio Achille Peri [1970]: Concerto dei vincitori (52417),,,52417,,,,
49479,Lirica,X Concorso Internazionale di canto 'Premio A. Peri' [1969],,1969-06-15,1969-06-11,11/06/1969 - 15/06/1969,/Stagioni/11-06-1969 - 15-06-1969 X Concorso Internazionale di canto 'Premio A. Peri' [1969] (49479),,,,,/Concerti/15-06-1969 Premio Achille Peri [1969]: Concerto dei finalisti e proclamazione dei vincitori (52425),,,52425,,,,
49491,Lirica,150°: Off Opera 2007,,2007-04-28,2007-01-11,2007,/Stagioni/2007 150°: Off Opera 2007 (49491),,,,/Produzioni/2007 Fratelli d'Italia (55768),"/Manifestazioni/11-01-2007 Off '700: Orlando Furioso di A. Vivaldi ovvero Il capolavoro di Ludovico Ariosto in salsa barocca (64339),/Manifestazioni/11-01-2007 Off '700: Orlando Furioso di A. Vivaldi ovvero Il capolavoro di Ludovico Ariosto in salsa barocca (64340),/Manifestazioni/12-01-2007 Off '700: Orlando Furioso di A. Vivaldi ovvero Il capolavoro di Ludovico Ariosto in salsa barocca (64341),/Recite/19-01-2007 Le ragazze della via Gluck. 
Lezione-spettacolo (Off '700) (60657),/Manifestazioni/01-02-2007 Off '800: Otello ovvero da Rossini a Verdi, da Shakespeare a Vasco Rossi (64342),/Manifestazioni/02-02-2007 Off '800: Otello ovvero da Rossini a Verdi, da Shakespeare a Vasco Rossi (64343),/Recite/09-02-2007 Il mare! Il mare! ovvero da Simon Boccanegra a Piazza Alimonda. 
Lezione-spettacolo (Off '800) (60658),/Manifestazioni/13-03-2007 Off '900: Opera o operetta, this is the question ovvero Premiata ditta Strauss (64344),/Manifestazioni/14-03-2007 Off '900: Opera o operetta, this is the question ovvero Premiata ditta Strauss (64345),/Recite/20-04-2007 La voce umana di Poulenc e Cocteau ovvero Il Novecento e le donne. 
Lezione-spettacolo (Off '900) (60659),/Recite/28-04-2007 Fratelli d'Italia (60660)",,55768,"64339, 64340, 64341, 60657, 64342, 64343, 60658, 64344, 64345, 60659, 60660",,,,
49579,Lirica,Eventi fuori stagione 1988-89,,1989-01-22,1988-10-27,1988 - 1989,/Stagioni/1988 - 1989 Eventi fuori stagione 1988-89 (49579),,,,"/Produzioni/Pa ublié (55876),/Produzioni/1989 La danza delle libellule (55877)","/Concerti/27-10-1988 Manifestazione in onore di Ferruccio Tagliavini (53048),/Recite/29-10-1988 Monologo in briciole (88802),/Recite/21-01-1989 La danza delle libellule (60806),/Recite/22-01-1989 La danza delle libellule (60807),/Manifestazioni/11-02-1989 - 12-03-1989 I De Chirico e i Savinio del Teatro alla Scala.
Bozzetti, figurini e costumi di scena (65455),/Recite/16-02-1989 Pa ublié (60804),/Recite/17-02-1989 Pa ublié (60805),/Manifestazioni/15-04-1989 - 06-05-1989 Sandro Luporini.
Mostra (65992)",,"55876, 55877","53048, 88802, 60806, 60807, 65455, 60804, 60805, 65992",,,,
49582,Lirica,Dall'Operetta al Musical [1991],,1991-12-31,1991-10-10,1991,/Stagioni/1991 Dall'Operetta al Musical [1991] (49582),,,,"/Produzioni/1991 Al cavallino bianco (55878),/Produzioni/1991 La cage aux folles (55880),/Produzioni/1991 Scugnizza (55879),/Produzioni/1991 Il paese dei campanelli (55881)","/Recite/10-10-1991 Al cavallino bianco (60819),/Recite/11-10-1991 Al cavallino bianco (60820),/Recite/13-10-1991 Al cavallino bianco (60821),/Recite/24-10-1991 Scugnizza (60822),/Recite/26-10-1991 Scugnizza (60823),/Recite/27-10-1991 Scugnizza (60824),/Recite/30-10-1991 La Cage aux Folles (60825),/Recite/31-10-1991 La Cage aux Folles (60826),/Recite/31-12-1991 Il paese dei campanelli (60827)",,"55878, 55880, 55879, 55881","60819, 60820, 60821, 60822, 60823, 60824, 60825, 60826, 60827",,,,
49597,Lirica,Musical Operetta 2007-08,,2008-04-27,2007-11-16,2007 - 2008,/Stagioni/2007 - 2008 Musical Operetta 2007-08 (49597),,,,"/Produzioni/2007 La danza delle libellule (55924),/Produzioni/2006 Grease (55948),/Produzioni/2007 Peter Pan. Il musical (55934),/Produzioni/2007 Se stasera sono qui (55883)","/Recite/16-11-2007 Se stasera sono qui (60831),/Recite/17-11-2007 Se stasera sono qui (60832),/Recite/18-11-2007 Se stasera sono qui (60833),/Recite/18-01-2008 La danza delle libellule (60949),/Recite/19-01-2008 La danza delle libellule (60950),/Recite/20-01-2008 La danza delle libellule (60951),/Recite/15-02-2008 Peter Pan. Il musical (60972),/Recite/16-02-2008 Peter Pan. Il musical (60973),/Recite/17-02-2008 Peter Pan. Il musical (60974),/Recite/17-02-2008 Peter Pan. Il musical (60975),/Recite/25-04-2008 Grease (60999),/Recite/26-04-2008 Grease (61000),/Recite/27-04-2008 Grease (61001),/Recite/27-04-2008 Grease (61002)",,"55924, 55948, 55934, 55883","60831, 60832, 60833, 60949, 60950, 60951, 60972, 60973, 60974, 60975, 60999, 61000, 61001, 61002",,,,
49609,Lirica,Stagione di operette 1992,,1992-12-06,1992-09-26,1992,/Stagioni/1992 Stagione di operette 1992 (49609),,,,"/Produzioni/1992 La principessa della Czarda (55904),/Produzioni/Lo zingaro barone (55905),/Produzioni/1992 La vedova allegra (55903)","/Recite/26-09-1992 La vedova allegra (60884),/Recite/27-09-1992 La vedova allegra (60885),/Recite/27-09-1992 La vedova allegra (60886),/Recite/20-11-1992 La principessa della Czarda (60887),/Recite/21-11-1992 La principessa della Czarda (60888),/Recite/22-11-1992 La principessa della Czarda (60889),/Recite/05-12-1992 Lo zingaro barone (60890),/Recite/06-12-1992 Lo zingaro barone (60891)",,"55904, 55905, 55903","60884, 60885, 60886, 60887, 60888, 60889, 60890, 60891",,,,
