id;fullpath;published;dcTitle;dcDescription;from;to;datetext;Luogo rappresentazione;Enti collegati;Persone collegate;Recite collegate;Opere musicali collegate;luogo_rappresentazione;luogo_rappresentazione_id;edificio_rappresentazione;edificio_rappresentazione_id;enti_collegati_clean;enti_collegati_id;enti_collegati_ruolo;persone_collegate_clean;persone_collegate_id;persone_collegate_ruolo;recite_collegate_clean;recite_collegate_id;opere_collegate_clean;opere_collegate_id;enti_collegati;persone_collegate;recite_collegate;opere_collegate
54282;/Produzioni/1985 Coccodrilli in abito da sera (54282);1.0;Coccodrilli in abito da sera;;1985-07-01;1985-07-31;1985;"[
    {
        'Id': 8360,
        'nome': 'Nervi',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8908,
        'nome': 'Festival Internazionale di Balletto',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29463,
        'Nome': 'Aterballetto',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29734,
        'Nome': 'Regione Emilia Romagna',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14255,
        'Nome': 'Corradini, Rita',
        'Ruolo': ''
    },
    {
        'Identificativo': 13338,
        'Nome': 'Troilo, Pio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58309,
        'Nome': 'Gala di balletto',
        'Ruolo': ''
    },
    {
        'Identificativo': 62999,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    },
    {
        'Identificativo': 63000,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    }
]";[];Nervi;8360;Festival Internazionale di Balletto;8908;;29463, 29734;produzione, produzione;;14255, 13338;, ;;58309, 62999, 63000;;;Aterballetto, Regione Emilia Romagna;Rita Corradini, Pio Troilo;Gala di balletto, Aterballetto, Aterballetto;
54283;/Produzioni/2002 Don Chisciotte (54283);1.0;Don Chisciotte;;2002-04-26;2002-04-26;2002;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8653,
        'nome': 'Teatro Cavallerizza',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29685,
        'Nome': 'Teatro Due',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14265,
        'Nome': 'Brockhaus, Henning',
        'Ruolo': ''
    },
    {
        'Identificativo': 14264,
        'Nome': 'Toffolutti, Ezio',
        'Ruolo': ''
    },
    {
        'Identificativo': 14257,
        'Nome': 'Toffolutti, Patricia',
        'Ruolo': ''
    },
    {
        'Identificativo': 11629,
        'Nome': 'Coloretti, Claudio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58310,
        'Nome': 'Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome',
        'Ruolo': ''
    },
    {
        'Identificativo': 58311,
        'Nome': 'Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome',
        'Ruolo': ''
    },
    {
        'Identificativo': 58312,
        'Nome': 'Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome',
        'Ruolo': ''
    },
    {
        'Identificativo': 58313,
        'Nome': 'Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome',
        'Ruolo': ''
    },
    {
        'Identificativo': 58343,
        'Nome': 'Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano',
        'Ruolo': ''
    },
    {
        'Identificativo': 58344,
        'Nome': 'Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano',
        'Ruolo': ''
    },
    {
        'Identificativo': 58345,
        'Nome': 'Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano',
        'Ruolo': ''
    },
    {
        'Identificativo': 58346,
        'Nome': 'Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano',
        'Ruolo': ''
    },
    {
        'Identificativo': 58362,
        'Nome': 'Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 58363,
        'Nome': 'Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 58364,
        'Nome': 'Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 58365,
        'Nome': 'Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 58427,
        'Nome': 'Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora',
        'Ruolo': ''
    },
    {
        'Identificativo': 58428,
        'Nome': 'Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora',
        'Ruolo': ''
    },
    {
        'Identificativo': 58429,
        'Nome': 'Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora',
        'Ruolo': ''
    },
    {
        'Identificativo': 58430,
        'Nome': 'Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti',
        'Ruolo': ''
    },
    {
        'Identificativo': 58431,
        'Nome': 'Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti',
        'Ruolo': ''
    },
    {
        'Identificativo': 58432,
        'Nome': 'Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti',
        'Ruolo': ''
    },
    {
        'Identificativo': 58433,
        'Nome': 'Don Chisciotte: Kermesse',
        'Ruolo': ''
    },
    {
        'Identificativo': 58434,
        'Nome': 'Don Chisciotte: Kermesse',
        'Ruolo': ''
    }
]";[];Reggio Emilia;187;Teatro Cavallerizza;8653;;29685, 29716;produzione, produzione;;14265, 14264, 14257, 11629;, , , ;;58310, 58311, 58312, 58313, 58343, 58344, 58345, 58346, 58362, 58363, 58364, 58365, 58427, 58428, 58429, 58430, 58431, 58432, 58433, 58434;;;Teatro Due, I Teatri di Reggio Emilia;Henning Brockhaus, Ezio Toffolutti, Patricia Toffolutti, Claudio Coloretti;Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome, Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome, Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome, Don Chisciotte: I episodio - In un piccolo borgo della Mancia di cui non voglio ricordare il nome, Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano, Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano, Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano, Don Chisciotte: II episodio - La meraviglia sarà se non ci lapidano, Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore, Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore, Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore, Don Chisciotte: III episodio - Che bella notte che bello spasso che bell'amore, Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora, Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora, Don Chisciotte: IV episodio - Fratello demonio facciamo una tregua di non oltre un'ora, Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti, Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti, Don Chisciotte: V episodio - E ora accidenti il racconto è finito e non si può più andare avanti, Don Chisciotte: Kermesse, Don Chisciotte: Kermesse;
54284;/Produzioni/1965 Mythical Hunters (54284);1.0;Mythical Hunters;Batsheva Dance Company , (EN-);1965-11-25;1965-11-25;1965;"[
    {
        'Id': 8836,
        'nome': 'Ohel-Shem (Israele)',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 14269,
        'Nome': 'Batsheva Dance Company',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14267,
        'Nome': 'Sandberg, Mathilde',
        'Ruolo': ''
    },
    {
        'Identificativo': 13986,
        'Nome': 'Read, John B.',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58314,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    },
    {
        'Identificativo': 59092,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    },
    {
        'Identificativo': 59112,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    },
    {
        'Identificativo': 59116,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    }
]";[];Ohel-Shem (Israele);8836;;;;14269;produzione;;14267, 13986;, ;;58314, 59092, 59112, 59116;;;Batsheva Dance Company;Mathilde Sandberg, John B. Read;Aterballetto, Aterballetto, Aterballetto, Aterballetto;
54285;/Produzioni/1972 Twilight (54285);1.0;Twilight;Het Nationale Ballet , (EN-);1972-06-20;1972-06-20;1972;"[
    {
        'Id': 8285,
        'nome': 'Amsterdam',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8622,
        'nome': 'Stadsschouwburg',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29940,
        'Nome': 'Het Nationale Ballet',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 13936,
        'Nome': 'Vroom, Jean-Paul',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58314,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    }
]";[];Amsterdam;8285;Stadsschouwburg;8622;;29940;produzione;;13936;;;58314;;;Het Nationale Ballet;Jean-Paul Vroom;Aterballetto;
54286;/Produzioni/1986 Non sparate all'obiettivo (54286);1.0;Non sparate all'obiettivo;Aterballetto , Reggio Emilia (EN-), Teatro Municipale Romolo Valli , Reggio Emilia (EN-);1986-07-01;1986-07-01;1986;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8715,
        'nome': 'Teatro Municipale Valli',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29463,
        'Nome': 'Aterballetto',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29664,
        'Nome': 'Teatro Municipale Romolo Valli',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14268,
        'Nome': 'Scarabotti, Lea',
        'Ruolo': ''
    },
    {
        'Identificativo': 13338,
        'Nome': 'Troilo, Pio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58314,
        'Nome': 'Aterballetto',
        'Ruolo': ''
    }
]";[];Reggio Emilia;187;Teatro Municipale Valli;8715;;29463, 29664;produzione, produzione;;14268, 13338;, ;;58314;;;Aterballetto, Teatro Municipale Romolo Valli;Lea Scarabotti, Pio Troilo;Aterballetto;
54287;/Produzioni/1986 B6 pour 1 4D (54287);1.0;B6 pour 1 4D;;1986-01-01;1986-01-31;1986;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54288;/Produzioni/Memories (54288);1.0;Memories;Mudra , (EN-);;;;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54289;/Produzioni/Mofas a Catalin, Iyaca (54289);1.0;Mofas a Catalin, Iyaca;Mudra , (EN-);;;;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54290;/Produzioni/Lyrics and Legends (54290);1.0;Lyrics and Legends;Mudra , (EN-);;;;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54291;/Produzioni/Salle d'attente (54291);1.0;Salle d'attente;Mudra , (EN-);;;;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54292;/Produzioni/1986 Contrepoint pour deux filles (54292);1.0;Contrepoint pour deux filles;;1986-01-01;1986-01-31;1986;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54293;/Produzioni/Rythme pour corps (54293);1.0;Rythme pour corps;Mudra , (EN-);;;;[];"[
    {
        'Identificativo': 29941,
        'Nome': 'Mudra',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14280,
        'Nome': 'Deheyder, Doris',
        'Ruolo': ''
    },
    {
        'Identificativo': 14279,
        'Nome': 'Brasseur, Guy',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58315,
        'Nome': 'Mudra',
        'Ruolo': ''
    }
]";[];;;;;;29941;produzione;;14280, 14279;, ;;58315;;;Mudra;Doris Deheyder, Guy Brasseur;Mudra;
54294;/Produzioni/1986 Made to Measure (54294);1.0;Made to Measure;Bronkhorst Frans von, (EN-), Senf Jacques, (EN-), Holland Festival , (EN-);1986-06-29;1986-06-29;1986;"[
    {
        'Id': 8285,
        'nome': 'Amsterdam',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8622,
        'nome': 'Stadsschouwburg',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29943,
        'Nome': 'Holland Festival',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14281,
        'Nome': 'Bronkhorst, Frans von',
        'Ruolo': ''
    },
    {
        'Identificativo': 14282,
        'Nome': 'Senf, Jacques',
        'Ruolo': ''
    },
    {
        'Identificativo': 14284,
        'Nome': 'Stokvis, Joop',
        'Ruolo': ''
    },
    {
        'Identificativo': 12662,
        'Nome': 'Caboort, Joop',
        'Ruolo': ''
    },
    {
        'Identificativo': 13820,
        'Nome': 'Dekker, Keso',
        'Ruolo': ''
    },
    {
        'Identificativo': 14289,
        'Nome': 'Westerik, Co',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58316,
        'Nome': 'Alexandra Radius/Han Ebbelaar',
        'Ruolo': ''
    }
]";[];Amsterdam;8285;Stadsschouwburg;8622;;29943;produzione;;14281, 14282, 14284, 12662, 13820, 14289;, , , , , ;;58316;;;Holland Festival;Frans von Bronkhorst, Jacques Senf, Joop Stokvis, Joop Caboort, Keso Dekker, Co Westerik;Alexandra Radius/Han Ebbelaar;
54295;/Produzioni/1973 Septet Extra (54295);1.0;Septet Extra;Scapino Ballet , (EN-);1973-01-01;1973-12-31;1973;[];"[
    {
        'Identificativo': 29942,
        'Nome': 'Scapino Ballet',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 13936,
        'Nome': 'Vroom, Jean-Paul',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58317,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    },
    {
        'Identificativo': 58320,
        'Nome': 'Scapino Ballet . Solisti dell'Het Nationale Ballet',
        'Ruolo': ''
    },
    {
        'Identificativo': 58981,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    },
    {
        'Identificativo': 59111,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    }
]";[];;;;;;29942;produzione;;13936;;;58317, 58320, 58981, 59111;;;Scapino Ballet;Jean-Paul Vroom;Scapino Ballet, Scapino Ballet . Solisti dell'Het Nationale Ballet, Scapino Ballet, Scapino Ballet;
54296;/Produzioni/Jeux (54296);1.0;Jeux;Scapino Ballet , (EN-);;;;[];"[
    {
        'Identificativo': 29942,
        'Nome': 'Scapino Ballet',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14290,
        'Nome': 'Schayk, Toer van',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58317,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    }
]";[];;;;;;29942;produzione;;14290;;;58317;;;Scapino Ballet;Toer van Schayk;Scapino Ballet;
54297;/Produzioni/Nachteiland (54297);1.0;Nachteiland;Scapino Ballet , (EN-);;;;[];"[
    {
        'Identificativo': 29942,
        'Nome': 'Scapino Ballet',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14290,
        'Nome': 'Schayk, Toer van',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58317,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    }
]";[];;;;;;29942;produzione;;14290;;;58317;;;Scapino Ballet;Toer van Schayk;Scapino Ballet;
54298;/Produzioni/Piccolo mondo (54298);1.0;Piccolo mondo;Scapino Ballet , (EN-);;;;[];"[
    {
        'Identificativo': 29942,
        'Nome': 'Scapino Ballet',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11255,
        'Nome': 'MacFarlane, John',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58317,
        'Nome': 'Scapino Ballet',
        'Ruolo': ''
    },
    {
        'Identificativo': 58320,
        'Nome': 'Scapino Ballet . Solisti dell'Het Nationale Ballet',
        'Ruolo': ''
    }
]";[];;;;;;29942;produzione;;11255;;;58317, 58320;;;Scapino Ballet;John MacFarlane;Scapino Ballet, Scapino Ballet . Solisti dell'Het Nationale Ballet;
54299;/Produzioni/Target (54299);1.0;Target;"Multi Media Foundation - Burt Stuyf &amp; Company , (EN-)";;;;[];"[
    {
        'Identificativo': 29944,
        'Nome': 'Multi Media Foundation - Burt Stuyf &amp; Company',
        'Ruolo': 'produzione'
    }
]";[];"[
    {
        'Identificativo': 58318,
        'Nome': 'Bart Stuyf & Company',
        'Ruolo': ''
    }
]";[];;;;;;29944;produzione;;;;;58318;;;"Multi Media Foundation - Burt Stuyf &amp; Company";;Bart Stuyf & Company;
54300;/Produzioni/1986 Faust (54300);1.0;Faust;;1986-10-13;1986-10-13;1986;"[
    {
        'Id': 7904,
        'nome': 'Rovigo',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9191,
        'nome': 'Teatro Sociale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29680,
        'Nome': 'Compagnia Glauco Mauri',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29737,
        'Nome': 'Teatro Comunale di Treviso',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11521,
        'Nome': 'Mauri, Glauco',
        'Ruolo': ''
    },
    {
        'Identificativo': 10073,
        'Nome': 'Carosi, Mauro',
        'Ruolo': ''
    },
    {
        'Identificativo': 10074,
        'Nome': 'Nicoletti, Odette',
        'Ruolo': ''
    },
    {
        'Identificativo': 11532,
        'Nome': 'Annecchino, Arturo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58321,
        'Nome': 'Faust',
        'Ruolo': ''
    },
    {
        'Identificativo': 58322,
        'Nome': 'Faust',
        'Ruolo': ''
    },
    {
        'Identificativo': 58323,
        'Nome': 'Faust',
        'Ruolo': ''
    },
    {
        'Identificativo': 58324,
        'Nome': 'Faust',
        'Ruolo': ''
    }
]";[];Rovigo;7904;Teatro Sociale;9191;;29680, 29737;produzione, produzione;;11521, 10073, 10074, 11532;, , , ;;58321, 58322, 58323, 58324;;;Compagnia Glauco Mauri, Teatro Comunale di Treviso;Glauco Mauri, Mauro Carosi, Odette Nicoletti, Arturo Annecchino;Faust, Faust, Faust, Faust;
54301;/Produzioni/1986 Atwood M. (54301);1.0;Atwood M.;;1986-01-01;1986-01-31;1986;[];"[
    {
        'Identificativo': 29945,
        'Nome': 'Studio's Onafhankelijk Toneel',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14298,
        'Nome': 'Oei, Angelica',
        'Ruolo': ''
    },
    {
        'Identificativo': 14308,
        'Nome': 'Haspel, Tom van den',
        'Ruolo': ''
    },
    {
        'Identificativo': 14309,
        'Nome': 'Laak, Paul van',
        'Ruolo': ''
    },
    {
        'Identificativo': 14310,
        'Nome': 'Prinsen, Corry',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58319,
        'Nome': 'Studio's Onafhankelijk Toneel',
        'Ruolo': ''
    }
]";[];;;;;;29945;produzione;;14298, 14308, 14309, 14310;, , , ;;58319;;;Studio's Onafhankelijk Toneel;Angelica Oei, Tom van den Haspel, Paul van Laak, Corry Prinsen;Studio's Onafhankelijk Toneel;
54302;/Produzioni/1986 Ik hou gewoon m'n adem in (54302);1.0;Ik hou gewoon m'n adem in;;1986-01-01;1986-01-31;1986;[];"[
    {
        'Identificativo': 29940,
        'Nome': 'Het Nationale Ballet',
        'Ruolo': 'produzione'
    }
]";[];"[
    {
        'Identificativo': 58320,
        'Nome': 'Scapino Ballet . Solisti dell'Het Nationale Ballet',
        'Ruolo': ''
    }
]";[];;;;;;29940;produzione;;;;;58320;;;Het Nationale Ballet;;Scapino Ballet . Solisti dell'Het Nationale Ballet;
54303;/Produzioni/Typhoon (54303);1.0;Typhoon;Meijerse Ellen, (EN-);;;;[];[];"[
    {
        'Identificativo': 14323,
        'Nome': 'Meijerse, Ellen',
        'Ruolo': ''
    },
    {
        'Identificativo': 14321,
        'Nome': 'Jongkind, Jilles',
        'Ruolo': ''
    },
    {
        'Identificativo': 14322,
        'Nome': 'Vermeulen, Peter',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58325,
        'Nome': 'Dansgroep Krisztina De Châtel.\nTyphoon',
        'Ruolo': ''
    }
]";[];;;;;;;;;14323, 14321, 14322;, , ;;58325;;;;Ellen Meijerse, Jilles Jongkind, Peter Vermeulen;"Dansgroep Krisztina De Châtel.
Typhoon";
54304;/Produzioni/1986 Esuli (54304);1.0;Esuli;;1986-11-13;1986-11-13;1986;"[
    {
        'Id': 187,
        'nome': 'Reggio Emilia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9415,
        'nome': 'Teatro Ariosto',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29948,
        'Nome': 'Compagnia del Teatro delle Arti',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14339,
        'Nome': 'Tolomei, Sandro',
        'Ruolo': ''
    },
    {
        'Identificativo': 11758,
        'Nome': 'Sciaccaluga, Marco',
        'Ruolo': ''
    },
    {
        'Identificativo': 14333,
        'Nome': 'Griffin, Hayden',
        'Ruolo': ''
    },
    {
        'Identificativo': 12944,
        'Nome': 'Manari, Valeria',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58327,
        'Nome': 'Esuli',
        'Ruolo': ''
    },
    {
        'Identificativo': 58328,
        'Nome': 'Esuli',
        'Ruolo': ''
    },
    {
        'Identificativo': 58329,
        'Nome': 'Esuli',
        'Ruolo': ''
    },
    {
        'Identificativo': 58330,
        'Nome': 'Esuli',
        'Ruolo': ''
    }
]";[];Reggio Emilia;187;Teatro Ariosto;9415;;29948;produzione;;14339, 11758, 14333, 12944;, , , ;;58327, 58328, 58329, 58330;;;Compagnia del Teatro delle Arti;Sandro Tolomei, Marco Sciaccaluga, Hayden Griffin, Valeria Manari;Esuli, Esuli, Esuli, Esuli;
54305;/Produzioni/1986 Solo-Duo (54305);1.0;Solo/Duo;;1986-01-01;1986-01-31;1986;[];"[
    {
        'Identificativo': 29949,
        'Nome': 'Umbrella Productions',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 14334,
        'Nome': 'Royaards, Rense',
        'Ruolo': ''
    },
    {
        'Identificativo': 13820,
        'Nome': 'Dekker, Keso',
        'Ruolo': ''
    },
    {
        'Identificativo': 14337,
        'Nome': 'Koole, Isaac',
        'Ruolo': ''
    },
    {
        'Identificativo': 14338,
        'Nome': 'Heiningen, Ide van',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58326,
        'Nome': 'Karina Holla . Ingrid Kuijpers.\r\nSolo/Duo',
        'Ruolo': ''
    }
]";[];;;;;;29949;produzione;;14334, 13820, 14337, 14338;, , , ;;58326;;;Umbrella Productions;Rense Royaards, Keso Dekker, Isaac Koole, Ide van Heiningen;"Karina Holla . Ingrid Kuijpers.
Solo/Duo";
