"id";"recite_collegate";"fullpath";"published"
"53765";"/Recite/24-03-2000 Natale in casa Cupiello (57336),/Recite/25-03-2000 Natale in casa Cupiello (57337),/Recite/26-03-2000 Natale in casa Cupiello (57338)";"/Produzioni/1999 Natale in casa Cupiello (53765)";"1"
"53766";"/Recite/07-04-2000 Miseria e nobiltà (57339),/Recite/09-04-2000 Miseria e nobiltà (57341),/Recite/08-04-2000 Miseria e nobiltà (57340)";"/Produzioni/2000 Miseria e nobiltà (53766)";"1"
"53767";"/Recite/07-03-2000 Otello (57252),/Recite/09-03-2000 Otello (57361)";"/Produzioni/2000 Otello (53767)";"1"
"53768";"/Recite/20-02-2000 In treno all'opera: Pelléas et Mélisande (57235)";"/Produzioni/2000 Pelléas et Mélisande (53768)";"1"
"53769";"/Recite/31-03-2000 Idomeneo, re di Creta (57330),/Recite/02-04-2000 Idomeneo, re di Creta (57331)";"/Produzioni/2000 Idomeneo, re di Creta (53769)";"1"
"53770";"/Recite/05-12-1999 Cullberg Ballet.
La bella addormentata (57214)";"/Produzioni/La bella addormentata (53770)";"1"
"53771";"/Recite/22-01-2000 Sosta Palmizi-Raffaella Giordano (57218)";"/Produzioni/La notte trasfigurata (53771)";"1"
"53772";"/Recite/05-02-2000 Aterballetto.
Comoedia. Canto terzo (57222),/Recite/06-02-2000 Aterballetto.
Comoedia. Canto terzo (58113)";"/Produzioni/2000 Comoedia. Canto terzo (53772)";"1"
"53773";"/Recite/07-04-2000 Les Ballets de Monte-Carlo.
Roméo et Juliette (57335),/Recite/08-04-2000 Les Ballets de Monte-Carlo.
Roméo et Juliette (58075)";"/Produzioni/Roméo et Juliette (53773)";"1"
"53774";"/Recite/20-04-2000 Balletto di Toscana.
Trio italiano (57346)";"/Produzioni/2000 Grief (53774)";"1"
"53775";"/Recite/03-05-2000 Victor Ullate Ballet.
Don Quijote (57385),/Recite/04-05-2000 Victor Ullate Ballet.
Don Quijote (57386)";"/Produzioni/1999 Don Quijote (53775)";"1"
"53776";"/Recite/02-01-1990 La traviata (57227),/Recite/05-01-1990 La traviata (57228),/Recite/07-01-1990 La traviata (57229)";"/Produzioni/1990 La Traviata (53776)";"1"
"53777";"/Recite/25-01-1990 I Capuleti e i Montecchi (57230),/Recite/28-01-1990 I Capuleti e i Montecchi (57259)";"/Produzioni/1990 I Capuleti e I Montecchi (53777)";"1"
"53778";"/Recite/08-02-1990 Maria Stuarda (57231),/Recite/12-02-1990 Maria Stuarda (57260),/Recite/14-02-1990 Maria Stuarda (57261)";"/Produzioni/1988 Maria Stuarda (53778)";"1"
"53779";"/Recite/28-02-1990 La fanciulla del West (57258),/Recite/23-02-1990 La fanciulla del West (57256),/Recite/25-02-1990 La fanciulla del West (57257)";"/Produzioni/1990 La fanciulla del West (53779)";"1"
"53780";"/Recite/03-04-1990 Il gallo d'oro (57262),/Recite/04-04-1990 Il gallo d'oro (57263)";"/Produzioni/1990 Il gallo d'oro (53780)";"1"
"53781";"/Recite/05-02-1985 Rinaldo (58704),/Recite/07-02-1985 Rinaldo (58705),/Recite/09-02-1985 Rinaldo (58706),/Recite/22-11-1991 Rinaldo (57232),/Recite/24-11-1991 Rinaldo (57305),/Recite/26-11-1991 Rinaldo (57307),/Recite/28-11-1991 Rinaldo (57308)";"/Produzioni/1985 Rinaldo (53781)";"1"
"53782";"/Recite/07-12-1991 In treno all'opera: Werther (57299)";"/Produzioni/1991 Werther (53782)";"1"
"53783";"/Recite/11-01-1992 La serva padrona - Il maestro di cappella: La serva padrona (57311),/Recite/12-01-1992 La serva padrona - Il maestro di cappella: La serva padrona (58096)";"/Produzioni/1992 La serva padrona (53783)";"1"
"53784";"/Recite/31-01-1992 Didone abbandonata (57312),/Recite/02-02-1992 Didone abbandonata (57313)";"/Produzioni/1992 Didone abbandonata (53784)";"1"
"53785";"/Recite/21-12-1994 Il turco in Italia (57233)";"/Produzioni/1994 Il turco in Italia (53785)";"1"
"53786";"/Recite/17-01-1995 Il barbiere di Siviglia (57236),/Recite/19-01-1995 Il barbiere di Siviglia (57237)";"/Produzioni/1995 Il barbiere di Siviglia (53786)";"1"
"53787";"/Recite/14-02-1995 In treno all'opera: Macbeth (57238)";"/Produzioni/1995 Macbeth (53787)";"1"
"53788";"/Recite/18-03-1995 Candide (57239),/Recite/20-03-1995 Candide (57240),/Recite/23-03-1995 Candide (57241),/Recite/15-03-1995 Candide [Anteprima] (63815),/Recite/16-03-1995 Candide [Anteprima] (63816)";"/Produzioni/1995 Candide (53788)";"1"
"53789";"/Recite/29-03-1995 Carmen (57242),/Recite/31-03-1995 Carmen (63332)";"/Produzioni/1995 Carmen (53789)";"1"
"53790";"/Recite/28-04-1995 El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro (57243),/Recite/30-04-1995 El retablo de Maese Pedro - Il cordovano: El retablo de Maese Pedro (58001)";"/Produzioni/1995 El retablo de Maese Pedro (53790)";"1"
"53791";"/Recite/28-04-1995 El retablo de Maese Pedro - Il cordovano: Il cordovano (63260),/Recite/30-04-1995 El retablo de Maese Pedro - Il cordovano: Il cordovano (63261)";"/Produzioni/1995 Il cordovano (53791)";"1"
"53792";"/Recite/15-02-2000 Lo straniero (57251)";"/Produzioni/1999 Lo straniero (53792)";"1"
"53793";"/Recite/30-03-2000 Ring (57342),/Recite/31-03-2000 Ring (63881)";"/Produzioni/2000 Ring (53793)";"1"
"53794";"/Recite/02-01-1996 La cenerentola (57253),/Recite/04-01-1996 La cenerentola (57254),/Recite/06-01-1996 La cenerentola (57255)";"/Produzioni/1996 La Cenerentola (53794)";"1"
"53795";"/Recite/26-11-1999 Il pipistrello (57347),/Recite/27-11-1999 Il pipistrello (57348),/Recite/28-11-1999 Il pipistrello (57349),/Recite/30-11-1999 Il pipistrello (57350)";"/Produzioni/1999 Il pipistrello (53795)";"1"
"53796";"/Recite/17-12-1999 My Fair Lady (57351),/Recite/18-12-1999 My Fair Lady (57352),/Recite/19-12-1999 My Fair Lady (57353),/Recite/19-12-1999 My Fair Lady (57354)";"/Produzioni/1999 My Fair Lady (53796)";"1"
"53797";"/Recite/18-02-2000 Sogno viennese (57357),/Recite/19-02-2000 Sogno viennese (57358),/Recite/20-02-2000 Sogno viennese (57359),/Recite/22-02-2000 Sogno viennese (57360)";"/Produzioni/1999 Sogno viennese (53797)";"1"
"53798";"/Recite/29-01-2000 2 ore sole ti vorrei (57355),/Recite/30-01-2000 2 ore sole ti vorrei (57356)";"/Produzioni/1999 Due ore sole ti vorrei (53798)";"1"
"53799";"/Recite/12-01-1991 La Cenerentola (57265),/Recite/13-01-1991 La Cenerentola (57266),/Recite/11-01-1991 La Cenerentola (57264)";"/Produzioni/1990 La Cenerentola (53799)";"1"
"53800";"/Recite/14-01-1996 La bohème (57267),/Recite/18-01-1996 La bohème (57268)";"/Produzioni/1995 La bohème (53800)";"1"
"53801";"/Recite/27-03-1996 In treno all'opera: Madama Butterfly (57269)";"/Produzioni/1996 Madama Butterfly (53801)";"1"
"53802";"/Recite/30-04-1996 Simon Boccanegra (57271),/Recite/28-04-1996 Simon Boccanegra (57270)";"/Produzioni/1996 Simon Boccanegra (53802)";"1"
"53803";"/Recite/26-11-1996 Norma (57273),/Recite/28-11-1996 Norma (57274),/Recite/24-11-1996 Norma (57272)";"/Produzioni/1996 Norma (53803)";"1"
"53804";"/Recite/19-02-1997 Le nozze di Figaro (57275),/Recite/20-02-1997 Le nozze di Figaro (57276)";"/Produzioni/1990 Le nozze di Figaro (53804)";"1"
"53805";"/Recite/15-03-1997 Les Martyrs (57277),/Recite/17-03-1997 Les Martyrs (57278),/Recite/19-03-1997 Les Martyrs (57279)";"/Produzioni/1997 Les Martyrs (53805)";"1"
"53806";"/Recite/24-11-1997 Saffo (57280),/Recite/26-11-1997 Saffo (57287),/Recite/28-11-1997 Saffo (57288)";"/Produzioni/1997 Saffo (53806)";"1"
"53807";"/Recite/08-02-1998 Rigoletto (57285),/Recite/10-02-1998 Rigoletto (57286)";"/Produzioni/1993 Rigoletto (53807)";"1"
"53808";"/Recite/20-03-1998 I Capuleti e i Montecchi (57289),/Recite/24-03-1998 I Capuleti e i Montecchi (57291),/Recite/22-03-1998 I Capuleti e i Montecchi (57290)";"/Produzioni/1998 I Capuleti e i Montecchi (53808)";"1"
"53809";"/Recite/11-04-1991 Evgenij Onegin' (57293),/Recite/09-04-1991 Evgenij Onegin' (57292)";"/Produzioni/1991 Evgenij Onegin' (53809)";"1"
"53810";"/Recite/14-01-1994 Barbe-bleue (57303),/Recite/16-01-1994 Barbe-bleue (57304)";"/Produzioni/1994 Barbe-bleue (53810)";"1"
"53811";"/Recite/25-02-1994 L'italiana in Algeri (57294),/Recite/27-02-1994 L'italiana in Algeri (57295)";"/Produzioni/1992 L'italiana in Algeri (53811)";"1"
"53812";"/Recite/13-03-1994 Parade - La voix humaine: Parade (57296),/Recite/15-03-1994 Parade - La voix humaine: Parade (57297),/Recite/01-07-1986 Aterballetto (58314)";"/Produzioni/1917 Parade (53812)";"1"
