"id";"recite_collegate";"fullpath";"published"
"54668";"/Recite/01-04-2003 Compagnia Rafael Amargo:
Poeta en Nueva York (59054)";"/Produzioni/2002 Poeta en Nueva York (54668)";"1"
"54669";"";"/Produzioni/Un'idea dell'India (54669)";"1"
"54670";"/Recite/31-03-2003 Tomba di cani (59055),/Recite/01-04-2003 Tomba di cani (59056),/Recite/02-04-2003 Tomba di cani (59057)";"/Produzioni/2002 Tomba di cani (54670)";"1"
"54671";"/Recite/23-05-2003 Ballett Frankfurt (59058)";"/Produzioni/2002 The Room as it was (54671)";"1"
"54672";"/Recite/23-05-2003 Ballett Frankfurt (59058),/Recite/16-01-2007 Festa della danza_Gala (dei) Ritorni (60596)";"/Produzioni/1996 Duo (54672)";"1"
"54673";"/Recite/23-05-2003 Ballett Frankfurt (59058)";"/Produzioni/2002 (N.N.N.N.) (54673)";"1"
"54674";"/Recite/23-05-2003 Ballett Frankfurt (59058)";"/Produzioni/2000 One flat thing, reproduced (54674)";"1"
"54675";"/Recite/06-06-2003 Aterballetto (59059),/Recite/07-06-2003 Aterballetto (88740)";"/Produzioni/2002 Vespro (54675)";"1"
"54676";"/Recite/06-06-2003 Aterballetto (59059),/Recite/07-06-2003 Aterballetto (88740)";"/Produzioni/2003 Sciarada (54676)";"1"
"54677";"/Recite/06-06-2003 Aterballetto (59059),/Recite/07-06-2003 Aterballetto (88740)";"/Produzioni/2003 Cantata (parte II) (54677)";"1"
"54678";"/Recite/10-06-2003 Compagnie Maguy Marin.
Les applaudissement ne se mangent pas (59060)";"/Produzioni/2002 Les applaudissement ne se mangent pas (54678)";"1"
"54679";"";"/Produzioni/2003 Raccontami una storia, o ti ammazzo! (54679)";"1"
"54680";"/Recite/18-06-2003 Artemis Danza-Monica Casadei.
Kiss time (59061)";"/Produzioni/2003 Kiss Time (54680)";"1"
"54681";"/Recite/20-06-2003 Rui Horta-Centro Coreografico de Montemor-o-Novo.
Pixel (59063),/Recite/20-06-2003 Rui Horta-Centro Coreografico de Montemor-o-Novo.
Pixel (59062)";"/Produzioni/Pixel (54681)";"1"
"54682";"/Recite/11-06-2003 Aterballetto . Associazione Romagna Danza (59064),/Recite/11-06-2003 Aterballetto . Associazione Romagna Danza (59065),/Recite/12-06-2003 Aterballetto . Associazione Romagna Danza (59066),/Recite/12-06-2003 Aterballetto . Associazione Romagna Danza (59067),/Recite/13-06-2003 Aterballetto . Associazione Romagna Danza (88741),/Recite/13-06-2003 Aterballetto . Associazione Romagna Danza (88742)";"/Produzioni/2003 Rosa mystica (54682)";"1"
"54683";"/Recite/11-06-2003 Aterballetto . Associazione Romagna Danza (59064),/Recite/11-06-2003 Aterballetto . Associazione Romagna Danza (59065),/Recite/12-06-2003 Aterballetto . Associazione Romagna Danza (59066),/Recite/12-06-2003 Aterballetto . Associazione Romagna Danza (59067),/Recite/13-06-2003 Aterballetto . Associazione Romagna Danza (88741),/Recite/13-06-2003 Aterballetto . Associazione Romagna Danza (88742)";"/Produzioni/2003 Di Notte (54683)";"1"
"54684";"/Recite/19-06-2003 Compagnie Marie Chouinard (59068)";"/Produzioni/2001 Étude #1 (54684)";"1"
"54685";"/Recite/19-06-2003 Compagnie Marie Chouinard (59068)";"/Produzioni/2003 Chorale (54685)";"1"
"54686";"/Recite/21-06-2003 Compagnie Marie Chouinard (59069)";"/Produzioni/1999 Les 24 préludes de Chopin (54686)";"1"
"54687";"/Recite/21-06-2003 Compagnie Marie Chouinard (59069)";"/Produzioni/2000 Le Cri du monde (54687)";"1"
"54688";"/Recite/16-10-2003 Tea for Two (No, no Nanette) (59070),/Recite/18-10-2003 Tea for Two (No, no Nanette) (59071),/Recite/19-10-2003 Tea for Two (No, no Nanette) (59072),/Recite/21-10-2003 Tea for Two (No, no Nanette) (59073)";"/Produzioni/2003 Tea for two (No, no Nanette) (54688)";"1"
"54689";"";"/Produzioni/2003 Othello Syndrome (54689)";"1"
"54690";"/Recite/09-10-2003 Aterballetto.
Picl & MIx 1 (59074)";"/Produzioni/2003 Pick & Mix 1 (54690)";"1"
"54691";"/Recite/23-10-2003 L'Angelo e il Golem (59075),/Recite/24-10-2003 L'Angelo e il Golem (59076)";"/Produzioni/2000 L'Angelo e il Golem (54691)";"1"
"54692";"/Recite/29-10-2003 Nunzio (59077)";"/Produzioni/1994 Nunzio (54692)";"1"
"54693";"/Recite/30-10-2003 Bar (59078)";"/Produzioni/1997 Bar (54693)";"1"
"54694";"/Recite/31-10-2003 La festa (59079)";"/Produzioni/1999 La festa (54694)";"1"
"54695";"/Recite/02-03-1982 Lectura Dantis (59081),/Recite/03-03-1982 Lectura Dantis (59082)";"/Produzioni/Lectura Dantis (54695)";"1"
"54696";"/Recite/05-03-1982 Ah! Le soavi melarance.
Frammenti danzati-mimati: audiovisuali (59083)";"/Produzioni/1982 Ah! Le soavi melarance (54696)";"1"
"54697";"/Recite/07-03-1982 Slips (59084)";"/Produzioni/Slips (54697)";"1"
"54698";"/Recite/22-03-1982 Candido, ovvero... (59085)";"/Produzioni/1982 Candido, ovvero... (54698)";"1"
"54699";"/Recite/26-03-1982 Crowsnest (59086),/Recite/27-03-1982 Crowsnest (59087)";"/Produzioni/1982 It don't mean a thing (54699)";"1"
"54700";"/Recite/26-03-1982 Crowsnest (59086),/Recite/27-03-1982 Crowsnest (59087)";"/Produzioni/1982 Haiku (54700)";"1"
"54701";"/Recite/26-03-1982 Crowsnest (59086),/Recite/27-03-1982 Crowsnest (59087)";"/Produzioni/1979 Nocturne (54701)";"1"
"54702";"/Recite/26-03-1982 Crowsnest (59086),/Recite/27-03-1982 Crowsnest (59087)";"/Produzioni/Terleton resurrection (54702)";"1"
"54703";"/Recite/26-03-1982 Crowsnest (59086),/Recite/27-03-1982 Crowsnest (59087)";"/Produzioni/The Garden of Villandry (54703)";"1"
"54704";"/Recite/09-04-1982 Finale di partita (59088),/Recite/10-04-1982 Finale di partita (59089)";"/Produzioni/1982 Finale di partita (54704)";"1"
"54705";"/Recite/13-04-1982 Recita fantastica del famosissimo Angelo Beolco, detto il Ruzante, alla Corte dei Cardinali Marco e Francesco Cornaro (59090),/Recite/14-04-1982 Recita fantastica del famosissimo Angelo Beolco, detto il Ruzante, alla Corte dei Cardinali Marco e Francesco Cornaro (59091)";"/Produzioni/1981 Recita fantastica del famosissimo Angelo Beolco, detto il Ruzante... (54705)";"1"
"54706";"/Recite/14-04-1984 Aterballetto . I Corso di Perfezionamento Professionale di Balletto (61037),/Recite/13-04-1984 Aterballetto . I Corso di Perfezionamento Professionale di Balletto (61036),/Recite/14-07-1982 Aterballetto (61051),/Recite/10-04-1984 Aterballetto . I Corso di Perfezionamento professionale di Balletto (63229),/Recite/10-04-1984 Aterballetto . I Corso di Perfezionamento professionale di Balletto (63230),/Recite/11-04-1984 Aterballetto . I Corso di Perfezionamento professionale di Balletto (63231),/Recite/11-04-1984 Aterballetto . I Corso di Perfezionamento professionale di Balletto (63232)";"/Produzioni/1981 Mythical Hunters (54706)";"1"
"54707";"/Recite/27-04-1982 Andria (59093)";"/Produzioni/1979 Andria (54707)";"1"
"54708";"/Recite/29-04-1982 Al pappagallo verde (59094),/Recite/30-04-1982 Al pappagallo verde (59095)";"/Produzioni/1981 Al pappagallo verde (54708)";"1"
"54709";"/Recite/15-05-1982 Anni affollati (59096),/Recite/16-05-1982 Anni affollati (59097)";"/Produzioni/1982 Anni affollati (54709)";"1"
"54710";"/Recite/19-11-1980 Sidney Dance Company (59098),/Recite/20-11-1980 Sydney Dance Company (59099)";"/Produzioni/1979 Shéhérazade (54710)";"1"
"54711";"/Recite/19-11-1980 Sidney Dance Company (59098),/Recite/20-11-1980 Sydney Dance Company (59099)";"/Produzioni/1979 Rumours I (54711)";"1"
"54712";"/Recite/19-11-1980 Sidney Dance Company (59098),/Recite/20-11-1980 Sydney Dance Company (59099)";"/Produzioni/Toccata (54712)";"1"
"54713";"/Recite/19-11-1980 Sidney Dance Company (59098),/Recite/20-11-1980 Sydney Dance Company (59099)";"/Produzioni/1979 Viridian (54713)";"1"
"54714";"/Recite/05-12-1980 Danza prospettiva (59100),/Recite/06-12-1980 Danza prospettiva (59101)";"/Produzioni/Requiem senza parole (54714)";"1"
"54715";"/Recite/05-12-1980 Danza prospettiva (59100),/Recite/06-12-1980 Danza prospettiva (59101)";"/Produzioni/1980 Don Giovanni: Tema e variazioni (54715)";"1"
"54716";"/Recite/04-01-1981 Balletto del Teatro Comunale di Firenze.
Giselle (59104)";"/Produzioni/1980 Giselle (54716)";"1"
"54717";"/Recite/10-01-1981 Étoiles dell'Opéra di Parigi (59105),/Recite/11-01-1981 Étoiles dell'Opera di Parigi (59106)";"/Produzioni/1953 Afternoon of a Faune (54717)";"1"
"54718";"/Recite/01-02-1981 Corpo di ballo del Teatro Nazionale dell'Opera di Praga.
Giselle (59107),/Recite/02-02-1981 Corpo di ballo del Teatro Nazionale dell'Opera di Praga.
Giselle (59108)";"/Produzioni/1981 Giselle (54718)";"1"
"54719";"/Recite/03-07-1981 Aterballetto (59112),/Recite/12-07-1981 Aterballetto (59116)";"/Produzioni/1981 E perché no (54719)";"1"
"54720";"/Recite/03-07-1981 Aterballetto (59112),/Recite/12-07-1981 Aterballetto (59116)";"/Produzioni/1981 Donizetti variations (54720)";"1"
"54721";"/Recite/07-07-1981 Ballet Théâtre Joseph Russillo (59114)";"/Produzioni/1980 Orphée (54721)";"1"
"54722";"/Recite/09-07-1981 Ballet du Grand Théâtre de Genève (59115)";"/Produzioni/Tango (54722)";"1"
"54723";"/Recite/15-07-1981 North Carolina Dance Theater (59117)";"/Produzioni/Square Dance (54723)";"1"
"54724";"/Recite/15-07-1981 North Carolina Dance Theater (59117)";"/Produzioni/Women (54724)";"1"
"54725";"/Recite/15-07-1981 North Carolina Dance Theater (59117)";"/Produzioni/Piano concerto (54725)";"1"
"54726";"/Recite/17-12-1978 Balletto Nazionale di Cuba (59311),/Recite/16-12-1978 Balletto Nazionale di Cuba (59310),/Recite/29-07-1979 Balletto Nazionale Spagnolo (59331),/Recite/16-07-1981 Balletto Spagnolo (59118)";"/Produzioni/1974 Bodas de sangre (54726)";"1"
"54727";"/Recite/22-07-1981 Balletto Nazionale di Cuba (59120),/Recite/03-05-1957 Grand Ballets du marquis de Cuevas (59162),/Recite/11-01-1959 Compagnia del Balletto Italiano (60706),/Recite/14-06-1958 Compagnia del Balletto Italiano (60707)";"/Produzioni/1909 Les Sylphides (54727)";"1"
"54728";"/Recite/22-07-1981 Balletto Nazionale di Cuba (59120)";"/Produzioni/Paso a tres (54728)";"1"
"54729";"/Recite/22-07-1981 Balletto Nazionale di Cuba (59120)";"/Produzioni/Prologue for a tregedy (54729)";"1"
"54730";"/Recite/22-07-1981 Balletto Nazionale di Cuba (59120)";"/Produzioni/Rara avis (54730)";"1"
"54731";"/Recite/17-03-1957 La bohème (59123),/Recite/20-03-1957 La bohème (59124),/Recite/14-03-1957 La bohème (59122)";"/Produzioni/1957 La bohème (54731)";"1"
"54732";"/Recite/12-12-2003 La bisbetica domata ovvero L'iniziazione di Sly (59125),/Recite/13-12-2003 La bisbetica domata ovvero L'iniziazione di Sly (59126),/Recite/14-12-2003 La bisbetica domata ovvero L'iniziazione di Sly (59127)";"/Produzioni/La bisbetica domata ovvero L'iniziazione di Sly (54732)";"1"
"54733";"/Recite/19-12-2003 Il signor Rossi e la Costituzione. 
Adunata popolare di delirio organizzato (59128),/Recite/20-12-2003 Il signor Rossi e la Costituzione. 
Adunata popolare di delirio organizzato (59129),/Recite/21-12-2003 Il signor Rossi e la Costituzione. 
Adunata popolare di delirio organizzato (59130)";"/Produzioni/2003 Il signor Rossi e la Costituzione (54733)";"1"
"54734";"/Recite/21-11-2003 Victor Victoria (59131),/Recite/22-11-2003 Victor Victoria (59132),/Recite/23-11-2003 Victor Victoria (59133),/Recite/23-11-2003 Victor Victoria (59134)";"/Produzioni/2003 Victor Victoria (54734)";"1"
"54735";"/Recite/29-11-2003 Emio Greco PC.
Extra dry (59135)";"/Produzioni/1999 Extra Dry (54735)";"1"
"54736";"/Recite/10-12-2003 Théâtre de la Mezzanine.
Shooting Stars (59136),/Recite/11-12-2003 Théâtre de la Mezzanine.
Shooting Stars (59137)";"/Produzioni/Shooting Star (54736)";"1"
"54737";"/Recite/05-12-2003 Aterballetto.
Tre parti di noi (59138),/Recite/06-12-2003 Aterballetto.
Tre parti di noi (59139)";"/Produzioni/2003 Tre parti di noi. Dedicato a Italo Calvino (54737)";"1"
"54738";"/Recite/13-01-2004 Sei personaggi in cerca d'autore (59140),/Recite/14-01-2004 Sei personaggi in cerca d'autore (59141),/Recite/15-01-2004 Sei personaggi in cerca d'autore (59142)";"/Produzioni/Sei personaggi in cerca d'autore (54738)";"1"
"54739";"/Recite/24-03-1957 Falstaff (59144),/Recite/21-03-1957 Falstaff (59143)";"/Produzioni/1957 Falstaff (54739)";"1"
"54740";"/Recite/29-03-1957 La Walkiria (59145),/Recite/31-03-1957 La Walkiria (59146)";"/Produzioni/1957 La Walkiria (54740)";"1"
"54741";"/Recite/22-04-1957 Kovancina (59147),/Recite/24-04-1957 Kovancina (59148)";"/Produzioni/1957 Kovancina (54741)";"1"
"54742";"/Recite/30-04-1957 Nabucco (59149),/Recite/02-05-1957 Nabucco (59150)";"/Produzioni/1957 Nabucco (54742)";"1"
"54743";"/Recite/28-03-1957 Il diario di Anna Frank (59151)";"/Produzioni/1957 Il diario di Anna Frank (54743)";"1"
"54744";"/Recite/15-04-1957 Liolà (59156)";"/Produzioni/Liolà (54744)";"1"
"54745";"/Recite/23-04-1957 Arlecchino servitore di due padroni (59157)";"/Produzioni/1947 Arlecchino servitore di due padroni (54745)";"1"
"54746";"/Recite/27-04-1957 Ornifle (59158)";"/Produzioni/Ornifle (54746)";"1"
"54747";"/Recite/28-04-1957 Oreste (59159)";"/Produzioni/1957 Oreste (54747)";"1"
"54748";"/Recite/07-05-1957 Contessina Giulia (59160)";"/Produzioni/1957 Contessina Giulia (54748)";"1"
"54749";"/Recite/22-03-1957 Balletto sinfonico Parigi 1956 (59161)";"/Produzioni/La Dryade (54749)";"1"
"54750";"/Recite/22-03-1957 Balletto sinfonico Parigi 1956 (59161)";"/Produzioni/Le rideau rouge (54750)";"1"
"54751";"/Recite/22-03-1957 Balletto sinfonico Parigi 1956 (59161)";"/Produzioni/L'échelle (54751)";"1"
"54752";"/Recite/22-03-1957 Balletto sinfonico Parigi 1956 (59161)";"/Produzioni/1957 Annabel Lee (54752)";"1"
"54753";"/Recite/22-03-1957 Balletto sinfonico Parigi 1956 (59161)";"/Produzioni/Prométhée (54753)";"1"
"54754";"/Recite/03-05-1957 Grand Ballets du marquis de Cuevas (59162)";"/Produzioni/Pastorale (54754)";"1"
"54755";"/Recite/03-05-1957 Grand Ballets du marquis de Cuevas (59162)";"/Produzioni/Le pont (54755)";"1"
"54756";"/Recite/03-05-1957 Grand Ballets du marquis de Cuevas (59162)";"/Produzioni/1957 Fiesta (54756)";"1"
"54757";"";"/Produzioni/1999 The Rape of Lucretia (54757)";"1"
"54758";"/Recite/02-03-2004 Così fan tutte (59168),/Recite/04-03-2004 Così fan tutte (59169)";"/Produzioni/2000 Così fan tutte (54758)";"1"
"54759";"/Recite/13-03-2004 Orlando (59170),/Recite/15-03-2004 Orlando (59171)";"/Produzioni/2004 Orlando (54759)";"1"
"54760";"/Recite/27-01-2004 Traviata. L'intelligenza del cuore (59172),/Recite/28-01-2004 Traviata. L'intelligenza del cuore (59173),/Recite/02-12-2017 Traviata. L'intelligenza del cuore (62526),/Recite/03-12-2017 Traviata. L'intelligenza del cuore (62527)";"/Produzioni/2004 Traviata. L'intelligenza del cuore (54760)";"1"
"54761";"/Recite/12-02-2004 Miracolo a Milano (59174),/Recite/13-02-2004 Miracolo a Milano (59175),/Recite/14-02-2004 Miracolo a Milano (59176),/Recite/15-02-2004 Miracolo a Milano (59177)";"/Produzioni/2004 Miracolo a Milano (54761)";"1"
"54762";"/Recite/21-02-2004 Il violinista sul tetto (59178),/Recite/22-02-2004 Il violinista sul tetto (59179),/Recite/22-02-2004 Il violinista sul tetto (59180),/Recite/24-02-2004 Il violinista sul tetto (59181)";"/Produzioni/2003 Il violinista sul tetto (54762)";"1"
"54763";"/Recite/05-03-2004 La memoria dell'acqua (59182),/Recite/06-03-2004 La memoria dell'acqua (59183),/Recite/07-03-2004 La memoria dell'acqua (59184),/Recite/09-03-2004 La memoria dell'acqua (59185)";"/Produzioni/La memoria dell'acqua (54763)";"1"
"54764";"/Recite/12-03-2004 Eduardo al Kursaal (59186),/Recite/13-03-2004 Eduardo al Kursaal (59187),/Recite/14-03-2004 Eduardo al Kursaal (59188)";"/Produzioni/2003 Eduardo al Kursaal (54764)";"1"
"54765";"/Recite/18-03-2004 Pene d'amor perdute (59189),/Recite/19-03-2004 Pene d'amor perdute (59190),/Recite/20-03-2004 Pene d'amor perdute (59191),/Recite/21-03-2004 Pene d'amor perdute (59192),/Recite/23-03-2004 Pene d'amor perdute (59193),/Recite/24-03-2004 Pene d'amor perdute (59194),/Recite/25-03-2004 Pene d'amor perdute (59195),/Recite/26-03-2004 Pene d'amor perdute (59196),/Recite/27-03-2004 Pene d'amor perdute (59197),/Recite/28-03-2004 Pene d'amor perdute (59198)";"/Produzioni/Pene d'amor perdute (54765)";"1"
"54766";"/Recite/20-12-2003 Azione simultanea
 (59200)";"/Produzioni/2003 Azione simultanea (54766)";"1"
"54767";"/Recite/26-01-2004 La shoah. 
Letture con musica (59202)";"/Produzioni/2004 La shoah (54767)";"1"
"54768";"/Recite/25-02-2004 Otto (59203)";"/Produzioni/Otto (54768)";"1"
"54769";"/Recite/26-03-2004 Bukowski (Confessione di un genio) (59204),/Recite/27-03-2004 Bukowski (Confessione di un genio) (59205),/Recite/28-03-2004 Bukowski (Confessione di un genio) (59206)";"/Produzioni/2004 Bukowski (Confessione di un genio) (54769)";"1"
"54770";"/Recite/01-04-2004 I pescecani - ovvero Cosa resta di Bertolt Brecht (59207),/Recite/02-04-2004 I pescecani - ovvero Cosa resta di Bertolt Brecht (59208),/Recite/03-04-2004 I pescecani - ovvero Cosa resta di Bertolt Brecht (59209)";"/Produzioni/2004 I pescecani (54770)";"1"
"54771";"/Recite/04-04-2004 Le Comte Ory (59210),/Recite/06-04-2004 Le Comte Ory (59211)";"/Produzioni/2003 Le Comte Ory (54771)";"1"
"54772";"/Recite/04-05-2004 Hamburg Ballet. 
Bernstein Dances (59212)";"/Produzioni/1998 Bernstein Dances (54772)";"1"
"54773";"/Recite/07-05-2004 Hamburg Ballet. 
Nijinsky (59213),/Recite/08-05-2004 Hamburg Ballet.
Nijinsky (59214)";"/Produzioni/2000 Nijinsky (54773)";"1"
"54774";"/Recite/15-05-2004 Batsheva Dance Company.
Naharin's Virus (59215)";"/Produzioni/Naharin's Virus (54774)";"1"
"54775";"/Recite/13-05-2004 Aterballetto. 
Il corpo che narra (59218),/Recite/12-05-2004 Aterballetto. 
Il corpo che narra (59217),/Recite/11-05-2004 Aterballetto. 
Il corpo che narra (59216),/Recite/11-12-2005 Aterballetto.
Il corpo che narra (60771)";"/Produzioni/2004 Il corpo che narra (54775)";"1"
"54776";"/Recite/19-05-2004 Les Philosophes (59219),/Recite/20-05-2004 Les Philosophes (59220),/Recite/21-05-2004 Les Philosophes (59221),/Recite/22-05-2004 Les Philosophes (59222),/Recite/23-05-2004 Les Philosophes (59223)";"/Produzioni/2001 Les Philosophes (54776)";"1"
"54777";"/Recite/28-05-2004 Aterballetto (59224),/Recite/29-05-2004 Aterballetto (59225)";"/Produzioni/2004 ToBeOrNotToBe (54777)";"1"
"54778";"/Recite/28-05-2004 Aterballetto (59224),/Recite/29-05-2004 Aterballetto (59225)";"/Produzioni/2004 Baby Gang (54778)";"1"
"54779";"/Recite/10-03-2004 Aterballetto (59230),/Recite/28-05-2004 Aterballetto (59224),/Recite/29-05-2004 Aterballetto (59225),/Recite/03-05-2011 Aterballetto (61491)";"/Produzioni/2004 Rossini Cards (54779)";"1"
"54780";"/Recite/20-01-2004 Balletto del Teatro Stanislavskij di Mosca.
Lo schiaccianoci (59226),/Recite/21-01-2004 Balletto del Teatro Stanislavskij di Mosca.
Lo schiaccianoci (59227)";"/Produzioni/Schiaccianoci (54780)";"1"
"54781";"/Recite/31-01-2004 Eifman Ballet Theatre di San Pietroburgo.
Red Giselle (59228)";"/Produzioni/Red Giselle (54781)";"1"
"54782";"/Recite/07-02-2004 Compagnia Virgilio Sieni Danza.
Messaggero muto (59229)";"/Produzioni/2004 Messaggero muto (54782)";"1"
"54783";"/Recite/14-05-2004 Avi Kaiser & Sergio Antonino.
Piazza Figure Due (59231)";"/Produzioni/Piazza Figure Due (54783)";"1"
"54784";"/Recite/16-05-2004 Virgilio Sieni: Uah&gt;Ahu (59232)";"/Produzioni/2004 Uah-Ahu (54784)";"1"
"54785";"/Recite/17-05-2004 Aterballetto. 
Solo in chiesa (59234),/Recite/18-05-2004 Aterballetto. 
Solo in chiesa (59235),/Recite/24-05-2004 Aterballetto. 
Solo in chiesa (59236),/Recite/25-05-2004 Aterballetto. 
Solo in chiesa (59237),/Recite/16-05-2004 Aterballetto. 
Solo in chiesa (59233)";"/Produzioni/2004 Solo in chiesa (54785)";"1"
"54786";"/Recite/26-12-2003 Il paese del sorriso
(Tu che m'hai preso il cuor) (59241),/Recite/27-12-2003 Il paese del sorriso
(Tu che m'hai preso il cuor) (59243),/Recite/26-12-2003 Il paese del sorriso
(Tu che m'hai preso il cuor) (59242),/Recite/28-12-2003 Il paese del sorriso
(Tu che m'hai preso il cuor) (59244)";"/Produzioni/2003 Il paese del sorriso (54786)";"1"
"54787";"/Recite/20-04-2004 Il ritratto di Dorian Gray (59245),/Recite/21-04-2004 Il ritratto di Dorian Gray (59246)";"/Produzioni/2004 Il ritratto di Dorian Gray (54787)";"1"
"54788";"/Recite/09-10-2004 Rwanda 94 (59247),/Recite/10-10-2004 Rwanda 94 (59248)";"/Produzioni/Rwanda 94 (54788)";"1"
"54790";"/Recite/03-11-2004 Quando l'uomo principale è una donna (59249),/Recite/04-11-2004 Quando l'uomo principale è una donna (59250)";"/Produzioni/Quando l'uomo principale è una donna (54790)";"1"
"54792";"/Recite/05-11-2004 La vedova allegra (59252),/Recite/06-11-2004 La vedova allegra (59253),/Recite/07-11-2004 La vedova allegra (59254),/Recite/07-11-2004 La vedova allegra (59255),/Recite/31-12-2021 La vedova allegra (63433)";"/Produzioni/2004 La vedova allegra (54792)";"1"
"54793";"/Recite/08-11-2004 Aterballetto . Teatro Gioco Vita (59256),/Recite/09-11-2004 Aterballetto . Teatro Gioco Vita (63460)";"/Produzioni/L'uccello di fuoco e altre storie (54793)";"1"
"54794";"/Recite/14-11-2004 Scemo di guerra (59257)";"/Produzioni/2004 Scemo di guerra (54794)";"1"
"54795";"/Recite/20-11-2004 Il Signor Rossi contro l'impero del male (59258),/Recite/21-11-2004 Il Signor Rossi contro l'impero del male (59259),/Recite/22-11-2004 Il Signor Rossi contro l'impero del male (59260)";"/Produzioni/2004 Il Signor Rossi contro l'impero del male (54795)";"1"
"54796";"/Recite/26-11-2004 Ivanov (59261),/Recite/27-11-2004 Ivanov (59262),/Recite/28-11-2004 Ivanov (59263)";"/Produzioni/Ivanov (54796)";"1"
"54797";"/Recite/29-11-2004 El Cimarrón (59264),/Recite/29-11-2004 El Cimarrón (59265)";"/Produzioni/2004 El Cimarrón (54797)";"1"
"54798";"/Recite/03-12-2004 Predisporsi al micidiale (59266),/Recite/04-12-2004 Predisporsi al micidiale (59267)";"/Produzioni/Predisporsi al micidiale (54798)";"1"
"54799";"/Recite/12-12-2004 Guerra (59268),/Recite/13-12-2004 Guerra (59269),/Recite/14-12-2004 Guerra (59270)";"/Produzioni/2004 Guerra (54799)";"1"
"54800";"/Recite/17-12-2004 Lady Day (59271),/Recite/18-12-2004 Lady Day (59272),/Recite/19-12-2004 Lady Day (59273)";"/Produzioni/2004 Lady Day (54800)";"1"
"54801";"/Recite/31-12-2004 Sogno di un valzer (59274),/Recite/01-01-2005 Sogno di un valzer (59275)";"/Produzioni/2004 Sogno di un valzer (54801)";"1"
"54802";"/Recite/27-11-1979 Les Ballets-Jazz de Montréal (59278),/Recite/28-11-1979 Les Ballets-Jazz de Montréal (59279)";"/Produzioni/1979 Gershwin. Raccolta di melodie (54802)";"1"
"54803";"/Recite/27-11-1979 Les Ballets-Jazz de Montréal (59278),/Recite/28-11-1979 Les Ballets-Jazz de Montréal (59279)";"/Produzioni/Kew Drive (54803)";"1"
"54804";"/Recite/27-11-1979 Les Ballets-Jazz de Montréal (59278),/Recite/28-11-1979 Les Ballets-Jazz de Montréal (59279)";"/Produzioni/La Perfecty swell (54804)";"1"
"54805";"/Recite/05-12-1979 The Eliot Feld Ballet (59280)";"/Produzioni/The Consort (54805)";"1"
"54806";"/Recite/05-12-1979 The Eliot Feld Ballet (59280)";"/Produzioni/L'histoire du soldat (54806)";"1"
"54807";"/Recite/05-12-1979 The Eliot Feld Ballet (59280)";"/Produzioni/1977 A footstep of air (54807)";"1"
"54808";"/Recite/06-12-1979 The Eliot Feld Ballet (59431)";"/Produzioni/1967 Harbinger (54808)";"1"
"54809";"/Recite/06-12-1979 The Eliot Feld Ballet (59431)";"/Produzioni/1969 Intermezzo (54809)";"1"
"54810";"/Recite/06-12-1979 The Eliot Feld Ballet (59431)";"/Produzioni/1978 Half Time (54810)";"1"
"54811";"/Recite/07-01-2005 Il ritorno di Ulisse in patria (59281),/Recite/09-01-2005 Il ritorno di Ulisse in patria (59282)";"/Produzioni/2004 Il ritorno di Ulisse in patria (54811)";"1"
"54812";"/Recite/06-12-2011 Roman e il suo cucciolo (61504),/Recite/07-12-2011 Roman e il suo cucciolo (61505)";"/Produzioni/2011 Roman e il suo cucciolo (54812)";"1"
"54813";"/Recite/01-03-1980 Serata Barock (59285),/Recite/02-03-1980 Serata Barock (59286)";"/Produzioni/1980 Consecutio Temporum (54813)";"1"
"54814";"/Recite/21-05-1980 Cullberg Ballet (59288),/Recite/22-05-1980 Cullberg Ballet (59433)";"/Produzioni/1975 Notte trasfigurata (54814)";"1"
"54815";"/Recite/21-05-1980 Cullberg Ballet (59288),/Recite/22-05-1980 Cullberg Ballet (59433)";"/Produzioni/1980 Attraverso il bianco e il nero (54815)";"1"
"54816";"/Recite/21-05-1980 Cullberg Ballet (59288),/Recite/22-05-1980 Cullberg Ballet (59433)";"/Produzioni/1978 La casa di Bernarda (54816)";"1"
"54817";"/Recite/11-01-2005 La monaca di Monza (59289),/Recite/12-01-2005 La monaca di Monza (59290),/Recite/13-01-2005 La monaca di Monza (59291)";"/Produzioni/La monaca di Monza (54817)";"1"
"54818";"/Recite/11-01-2005 Didone e Penelope
ovvero donne in attesa tra dei ed eroi (59292)";"/Produzioni/2005 Didone e Penelope (54818)";"1"
"54819";"/Recite/04-07-1980 Serata a quattro (59295)";"/Produzioni/1975 Greening (54819)";"1"
"54820";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/Opening (54820)";"1"
"54821";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/Minuetto (54821)";"1"
"54822";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/La domestique romantique (54822)";"1"
"54823";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/1980 Duetto per organismi gemellari (54823)";"1"
"54824";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/Jacques & Janine (54824)";"1"
"54825";"/Recite/08-07-1980 Bowyer & Bruggeman Dance Company (59298)";"/Produzioni/1980 Black Cockroach: Pas de deux (54825)";"1"
